|6.6.6
Archiving\03_Data\Dfrac/QFM_m1.5/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1819.55        2500.00        99.2062       0.775855       0.179349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.6609       0.331474       0.762897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3094       0.675074       0.154898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.3898       0.596534       0.136425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.3877       0.598641       0.136462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.3853       0.601141       0.136069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4402       0.547402       0.124228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.3279       0.657367       0.147420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.3790       0.607489       0.135581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.3767       0.609723       0.135450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3715       0.614862       0.135990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.3644       0.621916       0.136671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.0691       0.910981       0.198817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.7023       0.291397       0.628635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3271       0.658709       0.142346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3625       0.624138       0.133965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3577       0.628884       0.134105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.3522       0.634282       0.134687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3474       0.639138       0.134575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3456       0.641024       0.134218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3427       0.643898       0.134034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.3460       0.640733       0.132520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3229       0.663496       0.136535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3280       0.658542       0.134386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        98.9238        1.05485       0.213584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.8537       0.143395       0.288930E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.1849       0.799180       0.159503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3113       0.675281       0.133785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3108       0.675892       0.133225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.3019       0.684692       0.133989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.2967       0.689886       0.133942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2914       0.695197       0.134145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.2877       0.698915       0.133961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.2813       0.705315       0.134209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.2720       0.714563       0.134806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.2763       0.710422       0.133209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.2672       0.719425       0.133863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.2637       0.722881       0.133900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2571       0.729510       0.134143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.2486       0.737831       0.135472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.1735       0.812057       0.144865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3196       0.668203       0.121613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2396       0.747002       0.133746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2326       0.753938       0.134361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2291       0.757457       0.134257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2866       0.701018       0.123452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.1579       0.827551       0.145114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2163       0.770330       0.134056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2120       0.774534       0.134299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2059       0.780625       0.134675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2054       0.781210       0.134060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2008       0.785782       0.134336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1971       0.789485       0.134261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.1933       0.793297       0.134330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.1751       0.811140       0.137322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2031       0.783778       0.131397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1841       0.802526       0.134165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.1831       0.803524       0.134229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.1795       0.807046       0.134333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.1795       0.807127       0.133910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.1772       0.809426       0.133939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.1749       0.811738       0.134035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.1739       0.812754       0.133902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.1734       0.813223       0.133910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.1711       0.815499       0.134066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.1739       0.812737       0.133220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.7567       0.655714       0.636549E-002  0.581260                 NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        97.9975       0.324428                 NaN   1.67809                 NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.0251       0.318992                 NaN   1.65591                 NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.0609       0.312846                 NaN   1.62623                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.0980       0.305061                 NaN   1.59694                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.1342       0.301299                 NaN   1.56453                 NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.1625       0.297641                 NaN   1.53990                 NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2006       0.289136                 NaN   1.51024                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2303       0.283725                 NaN   1.48598                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2643       0.278186                 NaN   1.45756                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.2942       0.272344                 NaN   1.43348                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.3221       0.267791                 NaN   1.41013                 NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.7290       0.202763                 NaN   1.06820                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        97.9551       0.322984                 NaN   1.72193                 NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4583       0.251967                 NaN   1.28977                 NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.4270       0.249637                 NaN   1.32335                 NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.4547       0.241396                 NaN   1.30388                 NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.4842       0.237558                 NaN   1.27822                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5045       0.233018                 NaN   1.26248                 NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5238       0.229368                 NaN   1.24683                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5546       0.225815                 NaN   1.21954                 NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.5715       0.220497                 NaN   1.20803                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5797       0.222525                 NaN   1.19773                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6278       0.211279                 NaN   1.16094                 NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9339       0.148590                 NaN  0.917550                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.3483       0.254581                 NaN   1.39716                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6731       0.198522                 NaN   1.12834                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6917       0.194005                 NaN   1.11429                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7049       0.194612                 NaN   1.10044                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7328       0.187431                 NaN   1.07981                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7455       0.184500                 NaN   1.07000                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.5200       0.229134                 NaN   1.25086                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0215       0.141413                 NaN  0.837042                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7935       0.173294                 NaN   1.03316                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8036       0.171874                 NaN   1.02456                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8277       0.171060                 NaN   1.00128                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8467       0.163634                 NaN  0.989696                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8546       0.160362                 NaN  0.985006                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8692       0.158538                 NaN  0.972237                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.7793       0.164046                 NaN   1.05661                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9983       0.141295                 NaN  0.860438                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9088       0.147997                 NaN  0.943181                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9209       0.146141                 NaN  0.932957                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9345       0.141808                 NaN  0.923645                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9467       0.140004                 NaN  0.913273                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9512       0.144020                 NaN  0.904749                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9769       0.132964                 NaN  0.890136                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9816       0.131025                 NaN  0.887382                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9919       0.128992                 NaN  0.879111                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.0017       0.124737                 NaN  0.873576                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.0112       0.123091                 NaN  0.865692                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.0221       0.118999                 NaN  0.858922                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.0313       0.116160                 NaN  0.852519                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0429       0.115725                 NaN  0.841413                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.0447       0.108216                 NaN  0.847096                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0632       0.107725                 NaN  0.829061                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0677       0.105092                 NaN  0.827164                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0782       0.106712                 NaN  0.815068                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0839       0.100926                 NaN  0.815132                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.0927       0.973181E-001            NaN  0.809989                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0993       0.946339E-001            NaN  0.806115                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.1068       0.908412E-001            NaN  0.802394                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.1145       0.895458E-001            NaN  0.795981                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.1074       0.970882E-001            NaN  0.795549                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.0770       0.568672E-001            NaN  0.499587       0.366518                 NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        98.8810                 NaN            NaN            NaN   1.11902                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.8758                 NaN            NaN            NaN   1.12416                 NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        98.8717                 NaN            NaN            NaN   1.12828                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.8563                 NaN            NaN            NaN   1.14371                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.8465                 NaN            NaN            NaN   1.15346                 NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.8287       0.147879E-005            NaN            NaN   1.17129                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.8015                 NaN            NaN            NaN   1.19847                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        98.7737                 NaN            NaN            NaN   1.22625                 NaN            NaN            NaN            NaN            NaN
  1471.18        2500.00        98.7316                 NaN            NaN            NaN   1.26837                 NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00        98.5341                 NaN            NaN            NaN  0.450088        1.01579                 NaN            NaN            NaN            NaN
  1466.17        2500.00        98.2331                 NaN            NaN            NaN  0.326018        1.44084                 NaN            NaN            NaN            NaN
  1463.66        2500.00        98.2525                 NaN            NaN            NaN  0.321647        1.42586                 NaN            NaN            NaN            NaN
  1461.15        2500.00        98.2696       0.208628E-005            NaN            NaN   1.40738       0.323033                 NaN            NaN            NaN            NaN
  1458.65        2500.00        98.2861                 NaN            NaN            NaN   1.39219       0.321734                 NaN            NaN            NaN            NaN
  1456.14        2500.00        98.3020       0.470392E-005            NaN            NaN   1.37924       0.318747                 NaN            NaN            NaN            NaN
  1453.63        2500.00        98.3156       0.172364E-002            NaN            NaN  0.311828        1.37089                 NaN            NaN            NaN            NaN
  1451.13        2500.00        98.3433       0.121858                 NaN            NaN   1.44370       0.911287E-001            NaN            NaN            NaN            NaN
  1448.62        2500.00        98.3579       0.130383                 NaN            NaN  0.732335E-001   1.43844                 NaN            NaN            NaN            NaN
  1446.12        2500.00        98.3707       0.126095                 NaN            NaN   1.42472       0.784435E-001            NaN            NaN            NaN            NaN
  1443.61        2500.00        98.3828       0.122290                 NaN            NaN  0.868057E-001   1.40806                 NaN            NaN            NaN            NaN
  1441.10        2500.00        98.3941       0.117109                 NaN            NaN   1.41323       0.755129E-001            NaN            NaN            NaN            NaN
  1438.60        2500.00        98.4071       0.113906                 NaN            NaN   1.38055       0.984786E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00        98.4152       0.110086                 NaN            NaN  0.104237        1.37044                 NaN            NaN            NaN            NaN
  1433.58        2500.00        98.4196       0.106858                 NaN            NaN   1.36688       0.106693                 NaN            NaN            NaN            NaN
  1431.08        2500.00        98.4330       0.101506                 NaN            NaN  0.116276        1.34917                 NaN            NaN            NaN            NaN
  1428.57        2500.00        97.5350       0.325832                 NaN            NaN  0.232430        1.48086       0.425920                 NaN            NaN            NaN
  1426.07        2500.00        95.6897       0.811630                 NaN            NaN  0.434756        1.75361        1.31034                 NaN            NaN            NaN
  1423.56        2500.00        95.7958       0.815676                 NaN            NaN   1.74556       0.364869        1.27807                 NaN            NaN            NaN
  1421.05        2500.00        95.8946       0.820152                 NaN            NaN  0.297603        1.73995        1.24771                 NaN            NaN            NaN
  1418.55        2500.00        95.9900       0.824297                 NaN            NaN  0.232379        1.73519        1.21817                 NaN            NaN            NaN
  1416.04        2500.00        96.0717       0.830870                 NaN            NaN   1.73406       0.170091        1.19326                 NaN            NaN            NaN
  1413.53        2500.00        96.1795       0.829907                 NaN            NaN  0.102907        1.72781        1.15984                 NaN            NaN            NaN
  1411.03        2500.00        96.2532       0.836151                 NaN            NaN  0.388959E-001   1.73421        1.13757                 NaN            NaN            NaN
  1408.52        2500.00        96.3291       0.832789                 NaN            NaN  0.838502E-002   1.71617        1.11360                 NaN            NaN            NaN
  1406.02        2500.00        96.4070       0.826542                 NaN            NaN   1.67838                 NaN   1.08803                 NaN            NaN            NaN
  1403.51        2500.00        96.4650       0.802822                 NaN            NaN  0.107126E-001   1.65260        1.06886                 NaN            NaN            NaN
  1401.00        2500.00        96.5495       0.862312                 NaN            NaN   1.54045                 NaN   1.04774                 NaN            NaN            NaN
  1398.50        2500.00        96.6297       0.796233                 NaN            NaN   1.56073                 NaN   1.01330                 NaN            NaN            NaN
  1395.99        2500.00        96.6691       0.799475                 NaN            NaN   1.53059                 NaN   1.00084                 NaN            NaN            NaN
  1393.48        2500.00        96.7246       0.756510                 NaN            NaN   1.53930                 NaN  0.979635                 NaN            NaN            NaN
