|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.155094E-001   95.7583        3.03299        1.11762                 NaN  0.756107E-001            NaN            NaN            NaN            NaN
  1425.21        2500.00       0.487598E-004   99.5696       0.609570E-001  0.327138                 NaN  0.423040E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.921953E-004   99.5648       0.310856       0.107336                 NaN  0.168807E-001            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.850267E-004   99.5659       0.107132       0.309959                 NaN  0.169240E-001            NaN            NaN            NaN            NaN
  1422.01        2500.00       0.722014E-004   99.5682       0.308379       0.107002                 NaN  0.162994E-001            NaN            NaN            NaN            NaN
  1420.94        2500.00       0.654883E-004   99.5696       0.107254       0.307098                 NaN  0.159458E-001            NaN            NaN            NaN            NaN
  1419.87        2500.00       0.588601E-004   99.5715       0.107596       0.305381                 NaN  0.154535E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.500489E-004   99.5731       0.304431       0.107117                 NaN  0.153383E-001            NaN            NaN            NaN            NaN
  1417.73        2500.00       0.437515E-004   99.5563       0.316486       0.111611                 NaN  0.155175E-001            NaN            NaN            NaN            NaN
  1416.66        2500.00       0.152869E-004   99.8439       0.111553       0.389902E-001            NaN  0.551211E-002            NaN            NaN            NaN            NaN
  1415.60        2500.00       0.603411E-004   99.3279       0.171808       0.477793                 NaN  0.223938E-001            NaN            NaN            NaN            NaN
  1414.53        2500.00                 NaN   99.1178       0.170568       0.336446                 NaN  0.106374       0.268838                 NaN            NaN            NaN
  1413.46        2500.00                 NaN   98.8983       0.357247       0.199244                 NaN  0.150454       0.394745                 NaN            NaN            NaN
  1412.39        2500.00       0.211070E-003   98.9650       0.335922       0.184845                 NaN  0.142658       0.371324                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   98.9484       0.343440       0.184918                 NaN  0.145925       0.377311                 NaN            NaN            NaN
  1410.25        2500.00                 NaN   98.9604       0.341309       0.179636                 NaN  0.145509       0.373174                 NaN            NaN            NaN
  1409.19        2500.00                 NaN   98.9110       0.185368       0.359050                 NaN  0.153402       0.391169                 NaN            NaN            NaN
  1408.12        2500.00                 NaN   99.0444       0.315554       0.160825                 NaN  0.135905       0.343351                 NaN            NaN            NaN
  1407.05        2500.00                 NaN   98.9928       0.167608       0.333337                 NaN  0.144168       0.362059                 NaN            NaN            NaN
  1405.98        2500.00                 NaN   97.9036       0.327753       0.711340                 NaN  0.304721       0.752633                 NaN            NaN            NaN
  1404.91        2500.00                 NaN   99.9843       0.542372E-002  0.167198E-002            NaN  0.289980E-002  0.573220E-002            NaN            NaN            NaN
  1403.84        2500.00       0.122979E-003   99.9821       0.556445E-002  0.309163E-002            NaN  0.263340E-002  0.646073E-002            NaN            NaN            NaN
  1402.78        2500.00                 NaN   98.2338       0.593289       0.278097                 NaN  0.259148       0.635661                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   99.0439       0.146259       0.322348                 NaN  0.142402       0.345057                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   99.0697       0.141933       0.313946                 NaN  0.139481       0.334947                 NaN            NaN            NaN
  1399.57        2500.00                 NaN   99.0728       0.138817       0.314470                 NaN  0.139705       0.334237                 NaN            NaN            NaN
  1398.50        2500.00                 NaN   99.0821       0.312556       0.134781                 NaN  0.139500       0.331052                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   99.0920       0.131088       0.310216                 NaN  0.138986       0.327663                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   99.1013       0.308870       0.127089                 NaN  0.138440       0.324288                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   99.1072       0.307263       0.125127                 NaN  0.137866       0.322587                 NaN            NaN            NaN
  1394.23        2500.00                 NaN   99.1240       0.303475       0.119305                 NaN  0.137063       0.316195                 NaN            NaN            NaN
  1393.16        2500.00                 NaN   99.1306       0.301638       0.116979                 NaN  0.136700       0.314087                 NaN            NaN            NaN
  1392.09        2500.00                 NaN   99.1386       0.113178       0.299904                 NaN  0.136884       0.311437                 NaN            NaN            NaN
  1391.02        2500.00                 NaN   99.1468       0.110323       0.298873                 NaN  0.135638       0.308330                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.1583       0.294953       0.108499                 NaN  0.134184       0.304057                 NaN            NaN            NaN
  1388.89        2500.00                 NaN   99.1658       0.293639       0.104749                 NaN  0.134177       0.301619                 NaN            NaN            NaN
  1387.82        2500.00                 NaN   99.1734       0.101186       0.292355                 NaN  0.134065       0.298955                 NaN            NaN            NaN
  1386.75        2500.00                 NaN   99.1826       0.976580E-001  0.290232                 NaN  0.133778       0.295692                 NaN            NaN            NaN
  1385.68        2500.00                 NaN   99.1923       0.281510       0.112507                 NaN  0.123514       0.290196                 NaN            NaN            NaN
  1384.61        2500.00                 NaN   99.1982       0.774747E-001  0.292131                 NaN  0.140381       0.291804                 NaN            NaN            NaN
  1383.55        2500.00                 NaN   99.2071       0.284381       0.901305E-001            NaN  0.131514       0.286886                 NaN            NaN            NaN
  1382.48        2500.00                 NaN   99.2150       0.282840       0.876398E-001            NaN  0.130508       0.283995                 NaN            NaN            NaN
  1381.41        2500.00                 NaN   99.2228       0.281019       0.849238E-001            NaN  0.130048       0.281240                 NaN            NaN            NaN
  1380.34        2500.00                 NaN   99.2306       0.815902E-001  0.279823                 NaN  0.129495       0.278487                 NaN            NaN            NaN
  1379.27        2500.00                 NaN   99.0755       0.952571E-001  0.338590                 NaN  0.155870       0.334747                 NaN            NaN            NaN
  1378.20        2500.00                 NaN   99.4087       0.216562       0.596834E-001            NaN  0.101032       0.214021                 NaN            NaN            NaN
  1377.13        2500.00                 NaN   99.2544       0.272804       0.763174E-001            NaN  0.126815       0.269643                 NaN            NaN            NaN
  1376.07        2500.00                 NaN   99.2545       0.278294       0.668285E-001            NaN  0.129524       0.270859                 NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.2723       0.266164       0.765148E-001            NaN  0.122710       0.262359                 NaN            NaN            NaN
  1373.93        2500.00                 NaN   99.2744       0.269491       0.685259E-001            NaN  0.125122       0.262436                 NaN            NaN            NaN
  1372.86        2500.00                 NaN   99.2815       0.666326E-001  0.267426                 NaN  0.124480       0.259937                 NaN            NaN            NaN
  1371.79        2500.00                 NaN   99.2850       0.266839       0.653156E-001            NaN  0.124139       0.258668                 NaN            NaN            NaN
  1370.72        2500.00                 NaN   99.1083       0.809786E-001  0.333469                 NaN  0.154685       0.322587                 NaN            NaN            NaN
  1369.66        2500.00                 NaN   99.4877       0.192845       0.455509E-001            NaN  0.891343E-001  0.184771                 NaN            NaN            NaN
  1368.59        2500.00                 NaN   99.3085       0.260831       0.593483E-001            NaN  0.121369       0.249925                 NaN            NaN            NaN
  1367.52        2500.00                 NaN   99.3142       0.259914       0.574412E-001            NaN  0.120589       0.247831                 NaN            NaN            NaN
  1366.45        2500.00                 NaN   99.3209       0.257985       0.559663E-001            NaN  0.119812       0.245370                 NaN            NaN            NaN
  1365.38        2500.00                 NaN   99.3260       0.257697       0.533983E-001            NaN  0.119399       0.243472                 NaN            NaN            NaN
  1364.31        2500.00                 NaN   99.3331       0.255824       0.524609E-001            NaN  0.118012       0.240641                 NaN            NaN            NaN
  1363.25        2500.00                 NaN   99.3395       0.253524       0.514619E-001            NaN  0.117144       0.238364                 NaN            NaN            NaN
  1362.18        2500.00                 NaN   99.3448       0.497237E-001  0.252323                 NaN  0.116691       0.236450                 NaN            NaN            NaN
  1361.11        2500.00                 NaN   99.3511       0.251064       0.480090E-001            NaN  0.115747       0.234091                 NaN            NaN            NaN
  1360.04        2500.00                 NaN   99.3567       0.476871E-001  0.249431                 NaN  0.114407       0.231811                 NaN            NaN            NaN
  1358.97        2500.00                 NaN   99.3630       0.248419       0.448022E-001            NaN  0.114130       0.229670                 NaN            NaN            NaN
  1357.90        2500.00                 NaN   99.3683       0.455806E-001  0.245805                 NaN  0.112763       0.227507                 NaN            NaN            NaN
  1356.84        2500.00                 NaN   99.3773       0.234394E-001  0.255686                 NaN  0.118220       0.225343                 NaN            NaN            NaN
  1355.77        2500.00                 NaN   99.9567                 NaN            NaN            NaN  0.248045E-001  0.185145E-001            NaN            NaN            NaN
