|6.6.6
Archiving\03_Data\DeqLP/QFM_m1.75/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.9608       0.392486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9608       0.392485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9608       0.392485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.9608       0.392484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.9608       0.392483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.9608       0.392482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.9608       0.392482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.9608       0.392481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.9608       0.392480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.9608       0.392479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.9608       0.392478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.9608       0.392477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.9608       0.392477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.9608       0.392476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.9608       0.392475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.9608       0.392474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.9608       0.392473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.9608       0.392472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.9608       0.392471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.9608       0.392470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.9608       0.392469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.9608       0.392469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.5635       0.281469E-001  0.408326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.6680       0.290175E-002   1.32911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.4140                 NaN   1.58601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.0460                 NaN   1.95403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        97.6780                 NaN   2.32204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        97.3099                 NaN   2.69006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        96.9419                 NaN   3.05808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        96.5739                 NaN   3.42611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.2059                 NaN   3.79413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        95.8378                 NaN   4.16215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.4698                 NaN   4.53018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.9128                 NaN   5.08717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.3211                 NaN   5.67835       0.554396E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        93.6956                 NaN   6.28525       0.191524E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        93.0701                 NaN   6.89215       0.377506E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        92.4211                 NaN   7.52261       0.562647E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.7721                 NaN   8.15308       0.747790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        91.1232                 NaN   8.78355       0.932935E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        90.4742                 NaN   9.41404       0.111808                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        89.8282                 NaN   10.0427       0.129161                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        89.1822                 NaN   10.6713       0.146515                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        88.5362                 NaN   11.2999       0.163869                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        87.8902                 NaN   11.9286       0.181223                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        87.2442                 NaN   12.5572       0.198577                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        86.5982                 NaN   13.1859       0.215931                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        85.9521                 NaN   13.8146       0.233286                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        85.3061                 NaN   14.4432       0.250641                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        84.6820                 NaN   15.0513       0.266702                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.0578                 NaN   15.6594       0.282763                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        83.4337                 NaN   16.2675       0.298824                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        82.8095                 NaN   16.8756       0.314886                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.1853                 NaN   17.4837       0.330948                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        81.5611                 NaN   18.0919       0.347010                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        80.9369                 NaN   18.7000       0.363072                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        80.3127                 NaN   19.3081       0.379135                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        79.7128                 NaN   19.8931       0.394103                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.1129                 NaN   20.4781       0.409071                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        78.5129                 NaN   21.0630       0.424039                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        77.9130                 NaN   21.6480       0.439007                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        77.3130                 NaN   22.2330       0.453976                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        76.7130                 NaN   22.8180       0.468944                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.1131                 NaN   23.4030       0.483913                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        75.5131                 NaN   23.9880       0.498883                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        74.9321                 NaN   24.5551       0.512738                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        74.3512                 NaN   25.1222       0.526594                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        73.7702                 NaN   25.6893       0.540450                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        73.1892                 NaN   26.2564       0.554306                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        72.6083                 NaN   26.8236       0.568163                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        72.0273                 NaN   27.3907       0.582019                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        71.4463                 NaN   27.9578       0.595876                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        70.8653                 NaN   28.5250       0.609733                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        70.3000                 NaN   29.0773       0.622781                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        69.7346                 NaN   29.6295       0.635828                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        69.1693                 NaN   30.1818       0.648876                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        68.6040                 NaN   30.7341       0.661924                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        68.0386                 NaN   31.2864       0.674973                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        67.4733                 NaN   31.8387       0.688021                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        66.9079                 NaN   32.3910       0.701070                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        66.3425                 NaN   32.9434       0.714119                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        65.7947                 NaN   33.4791       0.726242                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        65.2468                 NaN   34.0148       0.738366                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        64.6990                 NaN   34.5505       0.750490                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        64.1512                 NaN   35.0862       0.762614                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        63.6033                 NaN   35.6220       0.774738                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        63.0554                 NaN   36.1577       0.786863                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        62.5075                 NaN   36.6935       0.798987                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        61.9597                 NaN   37.2292       0.811112                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        61.4315                 NaN   37.7459       0.822566                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        60.9034                 NaN   38.2626       0.834020                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        60.3752                 NaN   38.7793       0.845475                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        59.8470                 NaN   39.2960       0.856929                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        59.3188                 NaN   39.8128       0.868384                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        58.7907                 NaN   40.3295       0.879839                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        58.2625                 NaN   40.8463       0.891294                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        57.7342                 NaN   41.3630       0.902749                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        57.2316                 NaN   41.8548       0.913550                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        56.7290                 NaN   42.3467       0.924350                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        56.2263                 NaN   42.8385       0.935151                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        55.7237                 NaN   43.3304       0.945951                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        55.2210                 NaN   43.8222       0.956752                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        54.7184                 NaN   44.3141       0.967553                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        54.2157                 NaN   44.8060       0.978354                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        53.7130                 NaN   45.2978       0.989156                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        53.2416                 NaN   45.7589       0.999451                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        52.7702                 NaN   46.2200        1.00975                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        52.2988                 NaN   46.6812        1.02004                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        51.8274                 NaN   47.1423        1.03034                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        51.3560                 NaN   47.6034        1.04063                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        50.8845                 NaN   48.0645        1.05093                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        50.4131                 NaN   48.5257        1.06122                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        49.9416                 NaN   48.9868        1.07152                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        49.5064                 NaN   49.4123        1.08137                 NaN            NaN            NaN            NaN            NaN            NaN
