|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/TAY13/TAY13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        95.6646       0.446255        3.86525       0.239090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        95.6314       0.446297        3.89843       0.239113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        95.5981       0.446339        3.93160       0.239135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        95.5649       0.446381        3.96479       0.239158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        95.5317       0.446423        3.99798       0.239180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        95.4984       0.446465        4.03118       0.239203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        95.4652       0.446507        4.06438       0.239225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        95.4319       0.446549        4.09759       0.239248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        95.3987       0.446592        4.13081       0.239271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        95.3662       0.446633        4.16325       0.239293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.3337       0.446674        4.19570       0.239315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.3012       0.446715        4.22815       0.239337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.2687       0.446756        4.26061       0.239359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.2362       0.446797        4.29307       0.239381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.2037       0.446838        4.32554       0.239403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.1712       0.446880        4.35802       0.239425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.1386       0.446921        4.39050       0.239447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.1069       0.446961        4.42221       0.239468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.0751       0.447001        4.45392       0.239490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.0434       0.447041        4.48564       0.239511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.0116       0.447081        4.51736       0.239533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        94.9798       0.447122        4.54909       0.239555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        94.9481       0.447162        4.58083       0.239576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        94.9163       0.447202        4.61257       0.239598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        94.8845       0.447242        4.64431       0.239619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.8533       0.447282        4.67548       0.239640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        94.8221       0.447321        4.70666       0.239662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        94.7908       0.447361        4.73784       0.239683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        94.7596       0.447400        4.76903       0.239704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        94.7287       0.447439        4.79993       0.239725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        94.6977       0.447479        4.83084       0.239746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        94.6669       0.447518        4.86159       0.239767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        93.9822       0.447521        4.86475       0.233387E-001  0.682223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        91.8313       0.978660E-001   4.95266       0.216835E-001   2.45047       0.646019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        90.7265                 NaN   4.97524       0.207330E-001   3.45066       0.826830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        90.0325                 NaN   4.97108       0.200461E-001   4.14960       0.826820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        89.3384                 NaN   4.96692       0.193592E-001   4.84852       0.826809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        88.6675                 NaN   4.95933       0.186693E-001   5.52771       0.826791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        87.9966                 NaN   4.95174       0.179795E-001   6.20687       0.826772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        87.3258                 NaN   4.94416       0.172896E-001   6.88600       0.826754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        86.6550                 NaN   4.93657       0.165998E-001   7.56510       0.826735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
