|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1544.87        500.000        99.7847       0.195206       0.201051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.50        500.000        99.4995       0.490822       0.964237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.14        500.000        99.5001       0.499872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000        99.5095       0.478066       0.123928E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.41        500.000        99.5064       0.470024       0.236019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        500.000        99.5221       0.455808       0.220714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.68        500.000        99.5191       0.460050       0.208389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.31        500.000        99.5235       0.455605       0.208793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.95        500.000        99.5273       0.452414       0.202421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000        99.5305       0.449007       0.204564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        500.000        99.5340       0.446679       0.192885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        500.000        99.5390       0.441827       0.191735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.48        500.000        99.5118       0.465835       0.224129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        500.000        99.9355       0.624284E-001  0.211355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.1868       0.784483       0.287123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.39        500.000        99.5511       0.431595       0.173337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.02        500.000        99.5561       0.427045       0.168492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.65        500.000        99.5584       0.424356       0.172411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.29        500.000        99.5624       0.422962       0.146588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000        99.5648       0.419851       0.153848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.56        500.000        99.5673       0.419037       0.136233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000        99.5696       0.417205       0.131515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.83        500.000        99.5738       0.413357       0.128165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.2955       0.678732       0.257673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.10        500.000        99.8666       0.121515       0.119013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.5815       0.415576       0.289136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.36        500.000        99.5852       0.402866       0.119162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.5884       0.401100       0.105229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.63        500.000        99.5892       0.402088       0.873260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000        99.5925       0.398435       0.902740E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.90        500.000        99.5955       0.396329       0.812089E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
