|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.143186E-002   99.9597       0.132911E-001            NaN  0.255709E-001            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.843772E-003   99.4590       0.186518       0.353609                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.545694E-003   99.3960       0.176936       0.426513                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.996126E-003   98.8413       0.819011       0.338656                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.427968E-004   99.9480       0.158816E-001  0.360940E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.469514E-003   99.4196       0.409958       0.170000                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.461442E-003   99.4098       0.172901       0.416837                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.437674E-003   99.4129       0.414411       0.172209                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.431404E-003   99.4088       0.173074       0.417724                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.688949E-004   99.9041       0.302751E-001  0.655127E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.712154E-003   98.9450       0.306793       0.747462                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.354264E-003   99.4257       0.168375       0.405606                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.342660E-003   99.4285       0.404049       0.167074                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.868076E-004   99.8423       0.111643       0.459263E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.546137E-003   99.0234       0.285676       0.690390                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.287070E-003   99.4372       0.164307       0.398157                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.313959E-003   99.3833       0.435896       0.180537                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.227886E-003   99.5000       0.145680       0.354079                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.110419E-003   99.4332       0.145497       0.421208                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.328717E-003   99.4612       0.176908       0.361564                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.248474E-003   99.3759       0.181060       0.442807                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.167651E-003   99.5296       0.136803       0.333468                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.185725E-003   99.4550       0.158047       0.386763                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.167848E-003   99.4590       0.157186       0.383553                 NaN  0.845639E-004            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.170942E-003   99.4195       0.168064       0.412225                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.115481E-002   99.1106       0.353391       0.328577                 NaN            NaN  0.206274                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.5402       0.582012       0.393134                 NaN  0.565725E-003  0.484081                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.5270       0.452110       0.392690                 NaN  0.115431       0.512798                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.5265       0.269798       0.487853                 NaN  0.187565       0.528246                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.5484       0.261002       0.483009                 NaN  0.186689       0.520885                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5614       0.257475       0.476681                 NaN  0.187061       0.517400                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5917       0.243502       0.474859                 NaN  0.184975       0.504976                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5542       0.246774       0.487724                 NaN  0.191410       0.519904                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.6862       0.218530       0.446180                 NaN  0.176285       0.472792                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.6452       0.221867       0.461865                 NaN  0.183274       0.487817                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6644       0.213863       0.458087                 NaN  0.182402       0.481295                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6816       0.454299       0.206938                 NaN  0.181802       0.475355                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6998       0.450247       0.199848                 NaN  0.180997       0.469081                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.7168       0.446867       0.192813                 NaN  0.180250       0.463243                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.7333       0.444402       0.184943                 NaN  0.179729       0.457662                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6016       0.489326       0.202273                 NaN  0.200858       0.505988                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.9186       0.151067       0.382954                 NaN  0.156493       0.390891                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7816       0.433428       0.166420                 NaN  0.177703       0.440897                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7959       0.160531       0.430808                 NaN  0.176805       0.435956                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.8128       0.152851       0.427681                 NaN  0.176539       0.430150                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.8275       0.424434       0.147316                 NaN  0.175714       0.425014                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.8335       0.424021       0.143494                 NaN  0.175252       0.423712                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.8654       0.416151       0.133057                 NaN  0.174142       0.411286                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8693       0.129732       0.416714                 NaN  0.173764       0.410495                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8834       0.414089       0.123745                 NaN  0.173151       0.405645                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8978       0.118988       0.410834                 NaN  0.172005       0.400365                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.9088       0.409550       0.113098                 NaN  0.171881       0.396677                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.9233       0.406795       0.107190                 NaN  0.171165       0.391570                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.9358       0.103935       0.403514                 NaN  0.169720       0.387060                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.9480       0.401816       0.976338E-001            NaN  0.169779       0.382787                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.2195       0.153006       0.689820                 NaN  0.288144       0.649545                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   99.7233       0.219134E-001  0.107593                 NaN  0.469731E-001  0.100247                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   99.0426       0.745044E-001  0.374531                 NaN  0.158843       0.349472                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9383       0.414807       0.856382E-001            NaN  0.175152       0.386128                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.0091       0.389476       0.749630E-001            NaN  0.165369       0.361093                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.0185       0.693482E-001  0.389338                 NaN  0.165012       0.357835                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.0297       0.657269E-001  0.386468                 NaN  0.164248       0.353872                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   99.0406       0.606790E-001  0.385628                 NaN  0.163290       0.349805                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0506       0.383946       0.566846E-001            NaN  0.162526       0.346205                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0616       0.382019       0.523366E-001            NaN  0.161768       0.342281                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0723       0.379440       0.488801E-001            NaN  0.160914       0.338475                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0813       0.380024       0.433276E-001            NaN  0.160160       0.335156                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0782       0.473299E-001  0.376691                 NaN  0.160624       0.337161                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.1135       0.347623E-001  0.373223                 NaN  0.156105       0.322420                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.1103       0.313108E-001  0.375602                 NaN  0.157964       0.324851                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.1122       0.304825E-001  0.363842                 NaN  0.166619       0.326877                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.1417       0.274657E-001  0.376299                 NaN  0.144275       0.310214                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.1396       0.400401E-001  0.361391                 NaN  0.146705       0.312218                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.1470       0.377364       0.180642E-002            NaN  0.161156       0.312662                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.1572       0.366282       0.169979E-001            NaN  0.152241       0.307279                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.1659       0.135895E-001  0.365131                 NaN  0.151336       0.304089                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.1743       0.364160       0.101625E-001            NaN  0.150401       0.300950                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.1825       0.730119E-002  0.363206                 NaN  0.149167       0.297792                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.1903       0.597555E-002  0.360593                 NaN  0.148174       0.295007                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.2001       0.177682E-002  0.359901                 NaN  0.146955       0.291249                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.2054       0.352396       0.109420E-001            NaN  0.142643       0.288581                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.2146       0.356042                 NaN            NaN  0.143826       0.285560                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.2229       0.351980                 NaN            NaN  0.142691       0.282462                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.2296       0.404063E-002  0.347584                 NaN  0.139275       0.279549                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.2349       0.339655       0.143608E-001            NaN  0.134489       0.276585                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.2451       0.342775                 NaN            NaN  0.138303       0.273811                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.2522       0.338814                 NaN            NaN  0.137859       0.271150                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.2517       0.333607                 NaN            NaN  0.142135       0.272607                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.2477       0.236710       0.172959                 NaN  0.807895E-001  0.261812                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.2744       0.332256                 NaN            NaN  0.131453       0.261850                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.2789       0.332238                 NaN            NaN  0.128942       0.259905                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.2842       0.331356                 NaN            NaN  0.126414       0.258033                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.2944       0.325038                 NaN            NaN  0.126604       0.253984                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2993       0.322629                 NaN            NaN  0.125845       0.252268                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.3048       0.315930                 NaN            NaN  0.127931       0.251347                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.3125       0.320340                 NaN            NaN  0.121197       0.245972                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.2086       0.355538                 NaN            NaN  0.150014       0.285897                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.4388       0.260261                 NaN            NaN  0.999707E-001  0.200998                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.3234       0.304423       0.236272E-001            NaN  0.108008       0.240523                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.3374       0.310581                 NaN            NaN  0.115462       0.236576                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.3429       0.305856                 NaN            NaN  0.116304       0.234989                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.3477       0.302823                 NaN            NaN  0.116243       0.233217                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.3539       0.304845                 NaN            NaN  0.111212       0.230036                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.3573       0.306448                 NaN            NaN  0.107880       0.228362                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.3647       0.301667                 NaN            NaN  0.107951       0.225647                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.3692       0.300476                 NaN            NaN  0.106701       0.223651                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.3736       0.301102                 NaN            NaN  0.103658       0.221615                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.3803       0.291988                 NaN            NaN  0.107675       0.220015                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.3884       0.290990                 NaN            NaN  0.104140       0.216489                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.3830       0.282697                 NaN            NaN  0.112044       0.222213                 NaN            NaN            NaN
