|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1439.56        2500.00       0.500349E-003   99.3693       0.208742       0.421419                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.378167E-003   99.2696       0.213738       0.516300                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.254961E-003   99.4491       0.161607       0.389057                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.282292E-003   99.3616       0.186778       0.451367                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.254932E-003   99.3660       0.185857       0.447808                 NaN  0.107044E-003            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.259496E-003   99.3194       0.198828       0.481516                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.175253E-002   98.9993       0.412915       0.388878                 NaN            NaN  0.197130                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.3882       0.689054       0.459475                 NaN  0.717867E-003  0.462511                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.3692       0.528777       0.465287                 NaN  0.146676       0.490083                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.3652       0.319988       0.571080                 NaN  0.238713       0.505049                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3880       0.309832       0.565887                 NaN  0.238003       0.498238                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4010       0.305984       0.558907                 NaN  0.238953       0.495131                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4328       0.289710       0.557243                 NaN  0.236742       0.483474                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3901       0.293805       0.572930                 NaN  0.245172       0.497984                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5354       0.260483       0.524693                 NaN  0.226342       0.453128                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4882       0.264706       0.543600                 NaN  0.235737       0.467727                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5082       0.255419       0.539665                 NaN  0.234988       0.461707                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5260       0.535755       0.247394                 NaN  0.234626       0.456242                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.5449       0.531422       0.239164                 NaN  0.234017       0.450454                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5625       0.527970       0.230993                 NaN  0.233458       0.445082                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5796       0.525534       0.221791                 NaN  0.233170       0.439955                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.4305       0.579099       0.242771                 NaN  0.261015       0.486620                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.7845       0.181577       0.453863                 NaN  0.203788       0.376249                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6294       0.514074       0.200195                 NaN  0.231789       0.424537                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.6441       0.193323       0.511499                 NaN  0.231043       0.420015                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.6618       0.184254       0.508267                 NaN  0.231063       0.414659                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.6771       0.504866       0.177762                 NaN  0.230376       0.409945                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6828       0.504831       0.173323                 NaN  0.230140       0.408925                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7168       0.496044       0.160906                 NaN  0.229127       0.397173                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.7200       0.157057       0.497255                 NaN  0.229049       0.396641                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.7347       0.494587       0.149957                 NaN  0.228612       0.392192                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7496       0.144355       0.491234                 NaN  0.227512       0.387323                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7606       0.490256       0.137353                 NaN  0.227796       0.383991                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.7758       0.487425       0.130321                 NaN  0.227201       0.379285                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.7887       0.126494       0.484016                 NaN  0.225679       0.375152                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8012       0.482471       0.118965                 NaN  0.226159       0.371245                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   97.9704       0.186479       0.828889                 NaN  0.384221       0.630002                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   99.6833       0.267879E-001  0.129602                 NaN  0.628728E-001  0.974532E-001            NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9054       0.910593E-001  0.451131                 NaN  0.212779       0.339606                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7847       0.500167       0.104792                 NaN  0.234905       0.375423                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8645       0.470142       0.918329E-001            NaN  0.222201       0.351345                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8739       0.850471E-001  0.470489                 NaN  0.222124       0.348406                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.8855       0.806958E-001  0.467533                 NaN  0.221480       0.344779                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8968       0.745769E-001  0.467008                 NaN  0.220572       0.341048                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.9071       0.465486       0.697448E-001            NaN  0.219947       0.337767                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9184       0.463626       0.644632E-001            NaN  0.219298       0.334169                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.9296       0.460988       0.602739E-001            NaN  0.218490       0.330682                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.9387       0.462253       0.534847E-001            NaN  0.217849       0.327666                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.9338       0.584978E-001  0.458756                 NaN  0.219107       0.329853                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9733       0.430071E-001  0.454995                 NaN  0.213074       0.315664                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9686       0.387795E-001  0.458421                 NaN  0.215973       0.318263                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9691       0.377943E-001  0.444564                 NaN  0.228058       0.320478                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0033       0.340919E-001  0.460287                 NaN  0.197975       0.304364                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   98.9996       0.497528E-001  0.442534                 NaN  0.201607       0.306541                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0060       0.462665       0.224720E-002            NaN  0.221890       0.307199                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0172       0.449552       0.211681E-001            NaN  0.209961       0.302132                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0262       0.169412E-001  0.448623                 NaN  0.209067       0.299213                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.0349       0.447968       0.126836E-001            NaN  0.208107       0.296341                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0433       0.912241E-002  0.447309                 NaN  0.206787       0.293448                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.0512       0.747403E-002  0.444568                 NaN  0.205792       0.290918                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0617       0.222474E-002  0.444212                 NaN  0.204391       0.287426                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0671       0.435497       0.137163E-001            NaN  0.198709       0.285004                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0765       0.440515                 NaN            NaN  0.200730       0.282232                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0853       0.435870                 NaN            NaN  0.199468       0.279380                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0922       0.508141E-002  0.431003                 NaN  0.195009       0.276705                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0976       0.421665       0.180791E-001            NaN  0.188637       0.273976                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1084       0.425858                 NaN            NaN  0.194278       0.271434                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1156       0.421383                 NaN            NaN  0.194012       0.268999                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1134       0.415523                 NaN            NaN  0.200393       0.270651                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1119       0.295223       0.218664                 NaN  0.114089       0.260122                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1391       0.414672                 NaN            NaN  0.185894       0.260358                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.1435       0.415184                 NaN            NaN  0.182658       0.258620                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.1491       0.414627                 NaN            NaN  0.179315       0.256953                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.1599       0.407039                 NaN            NaN  0.179956       0.253115                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1648       0.404458                 NaN            NaN  0.179159       0.251597                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1702       0.396339                 NaN            NaN  0.182583       0.250871                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.1787       0.402500                 NaN            NaN  0.173124       0.245697                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.0531       0.446575                 NaN            NaN  0.214589       0.285774                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.3278       0.327812                 NaN            NaN  0.143288       0.201129                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.1898       0.384258       0.301905E-001            NaN  0.154972       0.240808                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.2049       0.392057                 NaN            NaN  0.165956       0.237041                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.2106       0.386369                 NaN            NaN  0.167441       0.235633                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2154       0.382930                 NaN            NaN  0.167662       0.234037                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.2222       0.386128                 NaN            NaN  0.160646       0.231025                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.2257       0.388720                 NaN            NaN  0.156088       0.229520                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2337       0.382966                 NaN            NaN  0.156385       0.226967                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2381       0.381903                 NaN            NaN  0.154852       0.225133                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.2428       0.383239                 NaN            NaN  0.150665       0.223256                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.2497       0.371702                 NaN            NaN  0.156785       0.221817                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.2588       0.370944                 NaN            NaN  0.151853       0.218432                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.2517       0.360376                 NaN            NaN  0.163574       0.224382                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2795       0.375066                 NaN            NaN  0.137588       0.207878                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.2730       0.368492                 NaN            NaN  0.145255       0.213224                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.2759       0.372773                 NaN            NaN  0.139962       0.211335                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.2823       0.367697                 NaN            NaN  0.140403       0.209562                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.2845       0.375207                 NaN            NaN  0.132318       0.208017                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.2911       0.368638                 NaN            NaN  0.134248       0.206021                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.2959       0.366145                 NaN            NaN  0.133512       0.204401                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.3003       0.368200                 NaN            NaN  0.128687       0.202817                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.2895       0.402837                 NaN            NaN  0.104470       0.203188                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.3170       0.365299                 NaN            NaN  0.120606       0.197144                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3165       0.359476                 NaN            NaN  0.126980       0.197019                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3194       0.362094                 NaN            NaN  0.122748       0.195769                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.3231       0.363274                 NaN            NaN  0.119347       0.194264                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3274       0.364221                 NaN            NaN  0.115647       0.192747                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.3330       0.358421                 NaN            NaN  0.117617       0.190956                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3365       0.359789                 NaN            NaN  0.114282       0.189399                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.3408       0.360566                 NaN            NaN  0.110830       0.187821                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.3473       0.350337                 NaN            NaN  0.116071       0.186291                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.3493       0.358870                 NaN            NaN  0.107088       0.184706                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.3550       0.351899                 NaN            NaN  0.109938       0.183154                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.3555       0.362747                 NaN            NaN  0.996163E-001  0.182141                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.3602       0.358308                 NaN            NaN  0.100748       0.180725                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.3641       0.360674                 NaN            NaN  0.961117E-001  0.179160                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   90.2379        2.47861                 NaN            NaN  0.627534        1.30799        5.34792                 NaN            NaN
  1306.54        2500.00                 NaN   89.1659        2.76679                 NaN            NaN  0.669363        1.44042        5.95751                 NaN            NaN
  1305.38        2500.00                 NaN   89.7079        2.67678                 NaN            NaN  0.618741        1.37349        5.62305                 NaN            NaN
  1304.22        2500.00                 NaN   90.2067        2.56779                 NaN            NaN  0.592569        1.31168        5.32130                 NaN            NaN
  1303.07        2500.00                 NaN   90.6490        2.50676                 NaN            NaN  0.540638        1.25703        5.04652                 NaN            NaN
  1301.91        2500.00                 NaN   91.0486        2.43518                 NaN            NaN  0.507262        1.20772        4.80121                 NaN            NaN
  1300.75        2500.00                 NaN   91.4101        2.38041                 NaN            NaN  0.468941        1.16315        4.57744                 NaN            NaN
  1299.60        2500.00                 NaN   87.5641        3.25149                 NaN            NaN  0.638735        1.66793        6.61655       0.261232                 NaN
  1298.44        2500.00                 NaN   83.9983        4.02983                 NaN            NaN  0.835575        2.13218        8.49290       0.511199                 NaN
  1297.28        2500.00                 NaN   85.0078        3.75688                 NaN            NaN  0.836401        1.99822        7.92570       0.475048                 NaN
  1296.13        2500.00                 NaN   86.0318        3.52600                 NaN            NaN  0.792775        1.86347        7.34927       0.436687                 NaN
  1294.97        2500.00                 NaN   86.9813        3.30967                 NaN            NaN  0.749631        1.73853        6.81895       0.401888                 NaN
  1293.81        2500.00                 NaN   87.8469        3.12019                 NaN            NaN  0.701544        1.62458        6.33665       0.370120                 NaN
  1292.66        2500.00                 NaN   88.6315        2.94952                 NaN            NaN  0.654943        1.52154        5.90077       0.341727                 NaN
  1291.50        2500.00                 NaN   89.3381        2.79379                 NaN            NaN  0.612611        1.42837        5.51058       0.316596                 NaN
  1290.34        2500.00                 NaN   89.9289        2.64977                 NaN            NaN  0.588274        1.35085        5.18611       0.296080                 NaN
  1289.19        2500.00                 NaN   89.1993        2.78260                 NaN            NaN  0.667295        1.44162        5.58896       0.320197                 NaN
  1288.03        2500.00                 NaN   91.9073        2.31245                 NaN            NaN  0.401041        1.09266        4.06358       0.222984                 NaN
  1286.87        2500.00                 NaN   90.9889        2.48360                 NaN            NaN  0.420793        1.21393        4.63191       0.260829                 NaN
  1285.72        2500.00                 NaN   84.0464        5.09054                 NaN            NaN  0.393046        2.17588        7.89820       0.395944                 NaN
  1284.56        2500.00                 NaN   99.6028       0.947588E-001            NaN            NaN  0.352101E-002  0.463255E-001  0.172349       0.802447E-001            NaN
  1283.40        2500.00                 NaN   79.8025        5.81799                 NaN            NaN  0.988424        2.71995        10.1834       0.487787                 NaN
  1282.25        2500.00                 NaN   96.5976        1.03457                 NaN            NaN  0.105168       0.471960        1.68508       0.105599                 NaN
  1281.09        2500.00                 NaN   97.8179       0.850478                 NaN            NaN            NaN  0.278218       0.992795       0.606298E-001            NaN
  1279.93        2500.00                 NaN   99.6535                 NaN            NaN            NaN  0.136483       0.513522E-001  0.158671                 NaN            NaN
  1278.77        2500.00                 NaN   95.2013        1.01285                 NaN            NaN  0.456645       0.691534        2.52332       0.114349                 NaN
  1277.62        2500.00                 NaN   95.7960        1.53914                 NaN            NaN            NaN  0.537305        2.01853       0.109075                 NaN
  1276.46        2500.00                 NaN   94.5776        1.86169                 NaN            NaN  0.239700E-001  0.722775        2.67945       0.134572                 NaN
  1275.30        2500.00                 NaN   93.6641        1.51670                 NaN            NaN  0.422763       0.883410        3.33431       0.178733                 NaN
  1274.15        2500.00                 NaN   94.5058        1.63177                 NaN            NaN  0.316127       0.801426        2.57769       0.167190                 NaN
  1272.99        2500.00                 NaN   96.2948        1.33344                 NaN            NaN            NaN  0.432078        1.87920       0.605053E-001            NaN
  1271.83        2500.00                 NaN   93.1489        1.47025       0.810483                 NaN            NaN  0.932572        3.47629       0.161515                 NaN
  1270.68        2500.00                 NaN   95.9935        1.12058                 NaN            NaN            NaN  0.429639        2.27825       0.178051                 NaN
  1269.52        2500.00                 NaN   96.2436        1.64225                 NaN            NaN            NaN  0.602576        1.51153                 NaN            NaN
  1268.36        2500.00                 NaN   96.6918        1.26090                 NaN            NaN            NaN  0.443104        1.53035       0.738594E-001            NaN
  1267.21        2500.00                 NaN   91.9740        2.73799                 NaN            NaN            NaN   1.13376        3.91877       0.235513                 NaN
  1266.05        2500.00                 NaN   98.4840       0.409471                 NaN            NaN            NaN  0.222646       0.848334       0.355603E-001            NaN
  1264.89        2500.00                 NaN   99.3029       0.148261                 NaN            NaN            NaN  0.112528       0.399429       0.368826E-001            NaN
  1263.74        2500.00                 NaN   99.1970       0.365764                 NaN            NaN            NaN  0.932939E-001  0.329264       0.146786E-001            NaN
  1262.58        2500.00                 NaN   90.9088        3.38100                 NaN            NaN            NaN   1.12490        4.45482       0.130443                 NaN
  1261.42        2500.00                 NaN   96.1636        1.35700                 NaN            NaN            NaN  0.513043        1.88388       0.824638E-001            NaN
  1260.27        2500.00                 NaN   96.1765       0.999699                 NaN            NaN            NaN  0.412894        2.26481       0.146109                 NaN
  1259.11        2500.00                 NaN   96.5906        1.51150                 NaN            NaN            NaN  0.562874        1.32999       0.503639E-002            NaN
  1257.95        2500.00                 NaN   96.3740       0.204185        1.01821                 NaN            NaN  0.515465        1.77261       0.115538                 NaN
  1256.80        2500.00                 NaN   96.0021        1.46355                 NaN            NaN            NaN  0.555196        1.91447       0.646765E-001            NaN
  1255.64        2500.00                 NaN   97.6674       0.743928                 NaN            NaN            NaN  0.258495        1.29987       0.303147E-001            NaN
  1254.48        2500.00                 NaN   96.7546       0.430686       0.684783                 NaN            NaN  0.431272        1.63015       0.684640E-001            NaN
  1253.33        2500.00                 NaN   87.6709        3.35373                 NaN            NaN            NaN   1.65828        6.95261       0.364529                 NaN
  1252.17        2500.00                 NaN   99.5810       0.418951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1251.01        2500.00                 NaN   99.7721       0.115615                 NaN            NaN            NaN  0.112244                 NaN            NaN            NaN
  1249.86        2500.00                 NaN   99.6967       0.303305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1248.70        2500.00                 NaN   99.7248       0.274710                 NaN            NaN            NaN  0.475986E-003            NaN            NaN            NaN
  1247.54        2500.00                 NaN   97.8595       0.814562                 NaN            NaN            NaN  0.280437        1.04547                 NaN            NaN
  1246.39        2500.00                 NaN   96.2994        1.06102                 NaN            NaN            NaN  0.407166        2.14463       0.877895E-001            NaN
  1245.23        2500.00                 NaN   98.0762       0.844423                 NaN            NaN            NaN  0.357380       0.705340       0.166665E-001            NaN
  1244.07        2500.00                 NaN   98.2683       0.676188                 NaN            NaN            NaN  0.258691       0.769390       0.274179E-001            NaN
  1242.92        2500.00                 NaN   97.7817       0.657417                 NaN            NaN            NaN  0.243420        1.28405       0.333816E-001            NaN
  1241.76        2500.00                 NaN   90.4892        1.71089                 NaN            NaN            NaN   1.21573        6.20184       0.382379                 NaN
  1240.60        2500.00                 NaN   99.4704       0.824445E-001  0.358033                 NaN            NaN  0.891169E-001            NaN            NaN            NaN
  1239.45        2500.00                 NaN   99.5197       0.381193       0.153009E-001            NaN            NaN  0.838418E-001            NaN            NaN            NaN
  1238.29        2500.00                 NaN   99.1859       0.752306                 NaN            NaN            NaN  0.491474E-001            NaN  0.126147E-001            NaN
  1237.13        2500.00                 NaN   99.5871       0.400796E-001  0.301889                 NaN            NaN  0.691405E-001            NaN  0.175501E-002            NaN
  1235.98        2500.00                 NaN   98.3389                 NaN            NaN            NaN            NaN  0.212745        1.44834                 NaN            NaN
  1234.82        2500.00                 NaN   98.8698       0.857400                 NaN            NaN            NaN  0.174776                 NaN  0.980235E-001            NaN
  1233.66        2500.00                 NaN   97.1839       0.767754                 NaN            NaN            NaN  0.357938        1.67762       0.127797E-001            NaN
  1232.51        2500.00                 NaN   99.2372       0.239312       0.356244                 NaN            NaN  0.823970E-001  0.848107E-001            NaN            NaN
  1231.35        2500.00                 NaN   82.5167        1.19413       0.362434                 NaN            NaN   1.31505        8.11750       0.181502        6.31270     
  1230.19        2500.00                 NaN  0.282224E-002   12.3281        4.20850                 NaN            NaN   8.34953        43.4728       0.969619        30.6686     
  1229.03        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1227.88        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1226.72        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1225.56        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1224.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1223.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1222.09        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1220.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1219.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1218.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1217.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1216.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1215.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1214.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1212.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1211.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1210.53        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1209.37        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1208.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1207.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1205.90        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1204.74        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1203.59        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1202.43        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1201.27        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1200.12        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1198.96        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1197.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1196.65        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1195.49        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
  1194.33        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   100.000     
