|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.5/WD94/WD94_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.1348                 NaN  0.736799       0.128436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        98.9887                 NaN  0.953003       0.583401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        98.9988                 NaN  0.943972       0.572462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.0048                 NaN  0.940188       0.549756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.0055                 NaN  0.942155       0.523724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.0439                 NaN  0.901908       0.541610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.0387                 NaN  0.910770       0.505062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.0538                 NaN  0.895896       0.502936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.0377                 NaN  0.911413       0.509038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.0943                 NaN  0.857335       0.483660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.0776                 NaN  0.876639       0.457905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.0892                 NaN  0.864264       0.465466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.0972                 NaN  0.856966       0.458652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.1077                 NaN  0.848746       0.435349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.1145                 NaN  0.842117       0.434256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.1260                 NaN  0.831111       0.428608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.1293                 NaN  0.831344       0.393383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.1450                 NaN  0.815906       0.391055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.1420                 NaN  0.819866       0.381235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.1628                 NaN  0.798978       0.382164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.0916                 NaN  0.867859       0.405133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.2525                 NaN  0.716277       0.312140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.1807                 NaN  0.784674       0.346712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.1880                 NaN  0.779409       0.325449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.1963                 NaN  0.772111       0.315418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2019                 NaN  0.767574       0.305482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.2089                 NaN  0.761560       0.295308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2168                 NaN  0.754963       0.282675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.0875                 NaN  0.867179       0.452970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3749                 NaN  0.603961       0.211092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.9601                 NaN  0.399041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        98.5246                 NaN   1.42300       0.524394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2514                 NaN  0.724811       0.237760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.2560                 NaN  0.721674       0.223543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.2618                 NaN  0.718120       0.201139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.2681                 NaN  0.712800       0.190978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.2750                 NaN  0.705745       0.192697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.2785                 NaN  0.704633       0.168599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.2895                 NaN  0.620401       0.900689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.2958                 NaN  0.704225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.2975                 NaN  0.684724       0.177745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.3017                 NaN  0.698350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.8496                 NaN            NaN  0.150442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        98.7890                 NaN   1.21098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.2455                 NaN  0.752899       0.161975E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.6344                 NaN  0.365620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.0836                 NaN  0.916377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.3358                 NaN  0.664211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.2624                 NaN  0.728224       0.935540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.5007                 NaN  0.499298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.2652                 NaN  0.734791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.3498                 NaN  0.650193       0.104847E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.1777                 NaN  0.822328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.6641                 NaN  0.335894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.2448                 NaN  0.755171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.3718                 NaN  0.628209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3771                 NaN  0.622945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.4336                 NaN  0.452782       0.113573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.3475                 NaN  0.652506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.3857                 NaN  0.614297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.3663                 NaN  0.633677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.5894                 NaN  0.410596       0.844914E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.2275                 NaN  0.771992       0.547397E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.4039                 NaN  0.596119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.4072                 NaN  0.592840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.4121                 NaN  0.587898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.4139                 NaN  0.586103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
