|6.6.6
Archiving\03_Data\Deq/QFM_m4.5/T13/T13_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7154       0.275914       0.867203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7002       0.291079       0.867361E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6851       0.306250       0.867519E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.6699       0.321428       0.867677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.6547       0.336613       0.867835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.6395       0.351803       0.867994E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.6243       0.367001       0.868152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.6091       0.382205       0.868310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5939       0.397416       0.868469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5790       0.412312       0.868625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5641       0.427215       0.868781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.5492       0.442125       0.868937E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.5343       0.457040       0.869093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5193       0.471962       0.869249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.5044       0.486891       0.869405E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.4895       0.501825       0.869561E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.4745       0.516766       0.869717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9758       0.521822       0.847590E-002  0.493909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.1175       0.518909       0.808386E-002   1.35548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.2759       0.515069       0.769014E-002   2.20131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.4334       0.511224       0.729601E-002   3.04811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.6242       0.505608       0.690030E-002   3.86334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.8141       0.499985       0.650421E-002   4.67944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        94.0031       0.494355       0.610773E-002   5.49642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        93.1913       0.488718       0.571086E-002   6.31428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.4324       0.479189       0.530264E-002   7.08310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        91.6728       0.469651       0.489408E-002   7.85265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
