|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1546.88        500.000                 NaN   99.2745       0.725492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN   99.2496       0.750442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.3668       0.633159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000                 NaN   99.2332       0.766811       0.275655E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000                 NaN   99.2956       0.704433       0.174646E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000                 NaN   99.3008       0.699225       0.277055E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000                 NaN   99.3097       0.690307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000                 NaN   99.3107       0.689332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN   99.3169       0.683081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000                 NaN   99.3184       0.681641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN   99.3341       0.665919       0.131855E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000                 NaN   99.3323       0.667739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000                 NaN   99.3323       0.667683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000                 NaN   99.3466       0.653392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN   99.3453       0.654705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000                 NaN   99.3525       0.647452       0.334052E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.3561       0.643944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000                 NaN   99.3585       0.641456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN   99.3666       0.633391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000                 NaN   99.3701       0.629926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000                 NaN   99.3769       0.623085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000                 NaN   99.3783       0.621745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.3857       0.614321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000                 NaN   99.3857       0.614342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000                 NaN   99.3866       0.613353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000                 NaN   99.3949       0.605087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN   99.3987       0.601308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000                 NaN   99.4003       0.599680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.4075       0.592511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000                 NaN   99.4095       0.590456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN   99.4121       0.587890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000                 NaN   99.4156       0.584352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000                 NaN   99.4207       0.579311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000                 NaN   99.4258       0.574227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000                 NaN   99.4288       0.571190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000                 NaN   99.4259       0.574052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000                 NaN   99.4327       0.567286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000                 NaN   99.4375       0.562464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN   99.3448       0.175106                 NaN            NaN  0.480075                 NaN            NaN            NaN            NaN            NaN
  1488.92        500.000                 NaN   99.2783                 NaN            NaN            NaN  0.721735                 NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.2814                 NaN            NaN            NaN  0.718625                 NaN            NaN            NaN            NaN            NaN
  1485.95        500.000                 NaN   99.2806       0.267042E-001            NaN            NaN  0.692703                 NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.2787                 NaN            NaN            NaN  0.721308                 NaN            NaN            NaN            NaN            NaN
  1482.98        500.000                 NaN   99.2748                 NaN            NaN            NaN  0.725215                 NaN            NaN            NaN            NaN            NaN
  1481.49        500.000                 NaN   99.2682                 NaN            NaN            NaN  0.731754                 NaN            NaN            NaN            NaN            NaN
  1480.01        500.000                 NaN   99.0921                 NaN            NaN            NaN  0.254901       0.653020                 NaN            NaN            NaN            NaN
  1478.52        500.000                 NaN   98.7961                 NaN            NaN            NaN  0.510183       0.693718                 NaN            NaN            NaN            NaN
  1477.03        500.000                 NaN   98.8095                 NaN            NaN            NaN  0.685932       0.504543                 NaN            NaN            NaN            NaN
  1475.55        500.000                 NaN   98.8243                 NaN            NaN            NaN  0.678018       0.497676                 NaN            NaN            NaN            NaN
  1474.06        500.000                 NaN   98.8348                 NaN            NaN            NaN  0.673014       0.492213                 NaN            NaN            NaN            NaN
  1472.58        500.000                 NaN   98.8489                 NaN            NaN            NaN  0.665303       0.485771                 NaN            NaN            NaN            NaN
  1471.09        500.000                 NaN   98.8613                 NaN            NaN            NaN  0.480577       0.658161                 NaN            NaN            NaN            NaN
  1469.60        500.000                 NaN   98.8750                 NaN            NaN            NaN  0.650707       0.474303                 NaN            NaN            NaN            NaN
  1468.12        500.000                 NaN   98.6519       0.201236E-003            NaN            NaN  0.782390       0.565474                 NaN            NaN            NaN            NaN
  1466.63        500.000                 NaN   99.1318                 NaN            NaN            NaN  0.365346       0.502902                 NaN            NaN            NaN            NaN
  1465.15        500.000                 NaN   98.9089                 NaN            NaN            NaN  0.456882       0.634254                 NaN            NaN            NaN            NaN
  1463.66        500.000                 NaN   98.9197                 NaN            NaN            NaN  0.628784       0.451559                 NaN            NaN            NaN            NaN
  1462.17        500.000                 NaN   98.9330                 NaN            NaN            NaN  0.621051       0.445937                 NaN            NaN            NaN            NaN
  1460.69        500.000                 NaN   98.9423                 NaN            NaN            NaN  0.441057       0.616642                 NaN            NaN            NaN            NaN
  1459.20        500.000                 NaN   98.9509                 NaN            NaN            NaN  0.436988       0.612128                 NaN            NaN            NaN            NaN
  1457.72        500.000                 NaN   98.9662                 NaN            NaN            NaN  0.604016       0.429802                 NaN            NaN            NaN            NaN
  1456.23        500.000                 NaN   98.9754                 NaN            NaN            NaN  0.425888       0.598722                 NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   98.9849                 NaN            NaN            NaN  0.594034       0.421085                 NaN            NaN            NaN            NaN
  1453.26        500.000                 NaN   98.9950                 NaN            NaN            NaN  0.588880       0.416147                 NaN            NaN            NaN            NaN
  1451.77        500.000                 NaN   99.0040                 NaN            NaN            NaN  0.584065       0.411916                 NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN   99.0139                 NaN            NaN            NaN  0.578677       0.407472                 NaN            NaN            NaN            NaN
  1448.80        500.000                 NaN   99.0227                 NaN            NaN            NaN  0.574197       0.403129                 NaN            NaN            NaN            NaN
  1447.31        500.000                 NaN   99.0304                 NaN            NaN            NaN  0.569875       0.399719                 NaN            NaN            NaN            NaN
  1445.83        500.000                 NaN   99.0440                 NaN            NaN            NaN  0.392789       0.563197                 NaN            NaN            NaN            NaN
  1444.34        500.000                 NaN   99.0490                 NaN            NaN            NaN  0.560308       0.390702                 NaN            NaN            NaN            NaN
  1442.85        500.000                 NaN   99.0594                 NaN            NaN            NaN  0.385206       0.555394                 NaN            NaN            NaN            NaN
  1441.37        500.000                 NaN   99.0678                 NaN            NaN            NaN  0.550350       0.381827                 NaN            NaN            NaN            NaN
  1439.88        500.000                 NaN   99.0801                 NaN            NaN            NaN  0.544320       0.375542                 NaN            NaN            NaN            NaN
  1438.40        500.000                 NaN   99.0853                 NaN            NaN            NaN  0.541847       0.372826                 NaN            NaN            NaN            NaN
  1436.91        500.000                 NaN   97.9731                 NaN            NaN            NaN  0.866080       0.697883       0.462895                 NaN            NaN            NaN
  1435.42        500.000                 NaN   97.2851                 NaN            NaN            NaN   1.17152       0.786787       0.756608                 NaN            NaN            NaN
  1433.94        500.000                 NaN   97.3481                 NaN            NaN            NaN   1.14404       0.768646       0.739246                 NaN            NaN            NaN
  1432.45        500.000                 NaN   97.4111                 NaN            NaN            NaN   1.11585       0.751557       0.721527                 NaN            NaN            NaN
  1430.97        500.000                 NaN   97.4732                 NaN            NaN            NaN   1.08909       0.732896       0.704769                 NaN            NaN            NaN
  1429.48        500.000                 NaN   97.5277                 NaN            NaN            NaN   1.06571       0.716716       0.689840                 NaN            NaN            NaN
  1427.99        500.000                 NaN   97.5851                 NaN            NaN            NaN   1.04052       0.700309       0.674024                 NaN            NaN            NaN
  1426.51        500.000                 NaN   97.6376                 NaN            NaN            NaN   1.01793       0.684832       0.659657                 NaN            NaN            NaN
  1425.02        500.000                 NaN   97.6895                 NaN            NaN            NaN  0.669846       0.995341       0.645272                 NaN            NaN            NaN
  1423.54        500.000                 NaN   97.7390                 NaN            NaN            NaN  0.974246       0.655187       0.631578                 NaN            NaN            NaN
  1422.05        500.000                 NaN   97.7864                 NaN            NaN            NaN  0.641363       0.953699       0.618505                 NaN            NaN            NaN
  1420.56        500.000                 NaN   97.8310                 NaN            NaN            NaN  0.628167       0.934731       0.606102                 NaN            NaN            NaN
  1419.08        500.000                 NaN   97.8766                 NaN            NaN            NaN  0.914539       0.615360       0.593469                 NaN            NaN            NaN
  1417.59        500.000                 NaN   97.9204                 NaN            NaN            NaN  0.896153       0.602139       0.581300                 NaN            NaN            NaN
  1416.11        500.000                 NaN   97.9594                 NaN            NaN            NaN  0.590649       0.879572       0.570357                 NaN            NaN            NaN
  1414.62        500.000                 NaN   97.9993                 NaN            NaN            NaN  0.579351       0.861977       0.559369                 NaN            NaN            NaN
  1413.13        500.000                 NaN   98.0391                 NaN            NaN            NaN  0.845869       0.566687       0.548312                 NaN            NaN            NaN
  1411.65        500.000                 NaN   98.0749                 NaN            NaN            NaN  0.556744       0.830064       0.538327                 NaN            NaN            NaN
  1410.16        500.000                 NaN   98.1112                 NaN            NaN            NaN  0.545546       0.815121       0.528174                 NaN            NaN            NaN
  1408.67        500.000                 NaN   98.1468                 NaN            NaN            NaN  0.535297       0.799915       0.518030                 NaN            NaN            NaN
  1407.19        500.000                 NaN   98.1786                 NaN            NaN            NaN  0.786012       0.526120       0.509264                 NaN            NaN            NaN
  1405.70        500.000                 NaN   98.2134                 NaN            NaN            NaN  0.515394       0.771724       0.499467                 NaN            NaN            NaN
  1404.22        500.000                 NaN   98.2419                 NaN            NaN            NaN  0.760069       0.507029       0.491040                 NaN            NaN            NaN
  1402.73        500.000                 NaN   98.2747                 NaN            NaN            NaN  0.746055       0.496959       0.482285                 NaN            NaN            NaN
  1401.24        500.000                 NaN   98.3055                 NaN            NaN            NaN  0.733373       0.487499       0.473676                 NaN            NaN            NaN
  1399.76        500.000                 NaN   98.3340                 NaN            NaN            NaN  0.721465       0.478850       0.465664                 NaN            NaN            NaN
  1398.27        500.000                 NaN   98.3601                 NaN            NaN            NaN  0.470965       0.710654       0.458233                 NaN            NaN            NaN
  1396.79        500.000                 NaN   98.3898                 NaN            NaN            NaN  0.462149       0.698301       0.449776                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.4145                 NaN            NaN            NaN  0.688016       0.454634       0.442840                 NaN            NaN            NaN
  1393.81        500.000                 NaN   98.4414                 NaN            NaN            NaN  0.676832       0.446527       0.435228                 NaN            NaN            NaN
  1392.33        500.000                 NaN   98.4660                 NaN            NaN            NaN  0.438904       0.666759       0.428338                 NaN            NaN            NaN
  1390.84        500.000                 NaN   98.4889                 NaN            NaN            NaN  0.657501       0.431996       0.421617                 NaN            NaN            NaN
  1389.36        500.000                 NaN   98.5129                 NaN            NaN            NaN  0.647509       0.424608       0.414956                 NaN            NaN            NaN
  1387.87        500.000                 NaN   98.5381                 NaN            NaN            NaN  0.416728       0.637342       0.407879                 NaN            NaN            NaN
  1386.38        500.000                 NaN   98.5596                 NaN            NaN            NaN  0.410262       0.628438       0.401659                 NaN            NaN            NaN
  1384.90        500.000                 NaN   98.5809                 NaN            NaN            NaN  0.403736       0.619738       0.395599                 NaN            NaN            NaN
  1383.41        500.000                 NaN   98.6011                 NaN            NaN            NaN  0.611488       0.397453       0.389911                 NaN            NaN            NaN
  1381.93        500.000                 NaN   98.6238                 NaN            NaN            NaN  0.390472       0.602431       0.383329                 NaN            NaN            NaN
  1380.44        500.000                 NaN   98.6418                 NaN            NaN            NaN  0.384754       0.595200       0.378284                 NaN            NaN            NaN
  1378.95        500.000                 NaN   98.6621                 NaN            NaN            NaN  0.587003       0.378516       0.372346                 NaN            NaN            NaN
  1377.47        500.000                 NaN   98.6816                 NaN            NaN            NaN  0.579245       0.372357       0.366830                 NaN            NaN            NaN
  1375.98        500.000                 NaN   98.7006                 NaN            NaN            NaN  0.571459       0.366548       0.361375                 NaN            NaN            NaN
  1374.49        500.000                 NaN   98.7185                 NaN            NaN            NaN  0.564488       0.360758       0.356282                 NaN            NaN            NaN
  1373.01        500.000                 NaN   98.7358                 NaN            NaN            NaN  0.355353       0.557583       0.351296                 NaN            NaN            NaN
  1371.52        500.000                 NaN   98.7530                 NaN            NaN            NaN  0.550755       0.349879       0.346358                 NaN            NaN            NaN
  1370.04        500.000                 NaN   98.7699                 NaN            NaN            NaN  0.543919       0.344715       0.341436                 NaN            NaN            NaN
  1368.55        500.000                 NaN   98.7867                 NaN            NaN            NaN  0.537256       0.339405       0.336664                 NaN            NaN            NaN
  1367.06        500.000                 NaN   98.8025                 NaN            NaN            NaN  0.530897       0.334532       0.332023                 NaN            NaN            NaN
  1365.58        500.000                 NaN   98.8177                 NaN            NaN            NaN  0.329826       0.524840       0.327635                 NaN            NaN            NaN
  1364.09        500.000                 NaN   98.8334                 NaN            NaN            NaN  0.324584       0.518708       0.323352                 NaN            NaN            NaN
  1362.61        500.000                 NaN   98.8490                 NaN            NaN            NaN  0.319344       0.512949       0.318729                 NaN            NaN            NaN
  1361.12        500.000                 NaN   98.8634                 NaN            NaN            NaN  0.507331       0.314774       0.314476                 NaN            NaN            NaN
  1359.63        500.000                 NaN   98.8777                 NaN            NaN            NaN  0.310263       0.501694       0.310329                 NaN            NaN            NaN
  1358.15        500.000                 NaN   98.8890                 NaN            NaN            NaN  0.306768       0.497179       0.307100                 NaN            NaN            NaN
  1356.66        500.000                 NaN   98.9071                 NaN            NaN            NaN  0.490104       0.301101       0.301741                 NaN            NaN            NaN
  1355.18        500.000                 NaN   98.9189                 NaN            NaN            NaN  0.486139       0.296556       0.298432                 NaN            NaN            NaN
  1353.69        500.000                 NaN   98.9317                 NaN            NaN            NaN  0.480732       0.292977       0.294621                 NaN            NaN            NaN
  1352.20        500.000                 NaN   98.9447                 NaN            NaN            NaN  0.288832       0.475703       0.290742                 NaN            NaN            NaN
  1350.72        500.000                 NaN   98.9563                 NaN            NaN            NaN  0.471077       0.285199       0.287472                 NaN            NaN            NaN
  1349.23        500.000                 NaN   98.9703                 NaN            NaN            NaN  0.280518       0.465839       0.283360                 NaN            NaN            NaN
  1347.75        500.000                 NaN   98.9812                 NaN            NaN            NaN  0.276780       0.461748       0.280254                 NaN            NaN            NaN
  1346.26        500.000                 NaN   98.9934                 NaN            NaN            NaN  0.456956       0.272906       0.276694                 NaN            NaN            NaN
  1344.77        500.000                 NaN   99.0047                 NaN            NaN            NaN  0.269419       0.452518       0.273395                 NaN            NaN            NaN
  1343.29        500.000                 NaN   99.0171                 NaN            NaN            NaN  0.447908       0.265245       0.269742                 NaN            NaN            NaN
  1341.80        500.000                 NaN   99.0274                 NaN            NaN            NaN  0.261882       0.443966       0.266757                 NaN            NaN            NaN
  1340.31        500.000                 NaN   99.0385                 NaN            NaN            NaN  0.258237       0.439620       0.263655                 NaN            NaN            NaN
  1338.83        500.000                 NaN   99.0489                 NaN            NaN            NaN  0.436137       0.254583       0.260402                 NaN            NaN            NaN
  1337.34        500.000                 NaN   99.0585                 NaN            NaN            NaN  0.251324       0.432624       0.257538                 NaN            NaN            NaN
  1335.86        500.000                 NaN   99.0674                 NaN            NaN            NaN  0.428659       0.248957       0.255028                 NaN            NaN            NaN
  1334.37        500.000                 NaN   99.0801                 NaN            NaN            NaN  0.424591       0.244190       0.251085                 NaN            NaN            NaN
  1332.88        500.000                 NaN   99.0893                 NaN            NaN            NaN  0.241249       0.420885       0.248583                 NaN            NaN            NaN
  1331.40        500.000                 NaN   99.0988                 NaN            NaN            NaN  0.238124       0.417213       0.245864                 NaN            NaN            NaN
  1329.91        500.000                 NaN   99.1058                 NaN            NaN            NaN  0.414798       0.235796       0.243591                 NaN            NaN            NaN
  1328.43        500.000                 NaN   99.1178                 NaN            NaN            NaN  0.231214       0.410757       0.240215                 NaN            NaN            NaN
  1326.94        500.000                 NaN   99.1270                 NaN            NaN            NaN  0.406870       0.228618       0.237462                 NaN            NaN            NaN
  1325.45        500.000                 NaN   99.1353                 NaN            NaN            NaN  0.225718       0.403994       0.235037                 NaN            NaN            NaN
  1323.97        500.000                 NaN   99.1438                 NaN            NaN            NaN  0.222702       0.400976       0.232526                 NaN            NaN            NaN
  1322.48        500.000                 NaN   99.1519                 NaN  0.327408E-005            NaN  0.397755       0.220220       0.230094                 NaN            NaN            NaN
  1321.00        500.000                 NaN   99.1638                 NaN  0.212604E-001            NaN  0.359651       0.226352       0.228889                 NaN            NaN            NaN
  1319.51        500.000                 NaN   99.1878                 NaN  0.138307                 NaN  0.276169       0.163687       0.234006                 NaN            NaN            NaN
  1318.02        500.000                 NaN   99.1969                 NaN  0.137234                 NaN  0.161429       0.273247       0.231191                 NaN            NaN            NaN
  1316.54        500.000                 NaN   99.2058                 NaN  0.136505                 NaN  0.270895       0.158345       0.228438                 NaN            NaN            NaN
  1315.05        500.000                 NaN   99.2144                 NaN  0.136774                 NaN  0.267314       0.155326       0.226144                 NaN            NaN            NaN
  1313.57        500.000                 NaN   99.2150                 NaN  0.115556                 NaN  0.256350       0.189250       0.223863                 NaN            NaN            NaN
  1312.08        500.000                 NaN   99.2427                 NaN  0.149997                 NaN  0.268346       0.120548       0.218446                 NaN            NaN            NaN
  1310.59        500.000                 NaN   99.2392                 NaN  0.131379                 NaN  0.152223       0.259349       0.217885                 NaN            NaN            NaN
  1309.11        500.000                 NaN   99.2470                 NaN  0.129200                 NaN  0.256041       0.152434       0.215275                 NaN            NaN            NaN
  1307.62        500.000                 NaN   99.2552                 NaN  0.128271                 NaN  0.253478       0.150253       0.212782                 NaN            NaN            NaN
  1306.13        500.000                 NaN   99.2628                 NaN  0.126560                 NaN  0.149794       0.250585       0.210308                 NaN            NaN            NaN
  1304.65        500.000                 NaN   99.2705                 NaN  0.125742                 NaN  0.147234       0.248565       0.207927                 NaN            NaN            NaN
  1303.16        500.000                 NaN   99.2779                 NaN  0.123028                 NaN  0.244790       0.148850       0.205423                 NaN            NaN            NaN
  1301.68        500.000                 NaN   99.2851                 NaN  0.124601                 NaN  0.242261       0.144140       0.203903                 NaN            NaN            NaN
  1300.19        500.000                 NaN   99.2969                 NaN  0.119584                 NaN  0.144743       0.239616       0.199179                 NaN            NaN            NaN
  1298.70        500.000                 NaN   99.2999                 NaN  0.118002                 NaN  0.236295       0.147437       0.198355                 NaN            NaN            NaN
  1297.22        500.000                 NaN   99.3067                 NaN  0.116664                 NaN  0.233879       0.146548       0.196221                 NaN            NaN            NaN
  1295.73        500.000                 NaN   99.3122                 NaN  0.114583                 NaN  0.231413       0.147504       0.194271                 NaN            NaN            NaN
  1294.25        500.000                 NaN   99.3200                 NaN  0.112327                 NaN  0.147801       0.228036       0.191794                 NaN            NaN            NaN
  1292.76        500.000                 NaN   99.3265                 NaN  0.110889                 NaN  0.147296       0.225552       0.189716                 NaN            NaN            NaN
  1291.27        500.000                 NaN   99.3327                 NaN  0.108737                 NaN  0.148203       0.222642       0.187671                 NaN            NaN            NaN
  1289.79        500.000                 NaN   99.3395                 NaN  0.106443                 NaN  0.219451       0.149182       0.185448                 NaN            NaN            NaN
  1288.30        500.000                 NaN   99.3458                 NaN  0.104556                 NaN  0.216681       0.149533       0.183476                 NaN            NaN            NaN
  1286.82        500.000                 NaN   99.3518                 NaN  0.102354                 NaN  0.214090       0.150361       0.181441                 NaN            NaN            NaN
  1285.33        500.000                 NaN   99.1842                 NaN  0.206268                 NaN  0.122446       0.243893       0.243240                 NaN            NaN            NaN
  1283.84        500.000                 NaN   99.5386                 NaN  0.177156E-002            NaN  0.178111       0.167232       0.114326                 NaN            NaN            NaN
  1282.36        500.000                 NaN   99.3670                 NaN  0.829204E-001            NaN  0.176386       0.198372       0.175321                 NaN            NaN            NaN
  1280.87        500.000                 NaN   99.3753                 NaN  0.936106E-001            NaN  0.154744       0.202638       0.173731                 NaN            NaN            NaN
  1279.38        500.000                 NaN   99.3803                 NaN  0.925830E-001            NaN  0.200979       0.153913       0.172249                 NaN            NaN            NaN
  1277.90        500.000                 NaN   99.3874                 NaN  0.880336E-001            NaN  0.158854       0.196089       0.169644                 NaN            NaN            NaN
  1276.41        500.000                 NaN   99.3920                 NaN  0.870348E-001            NaN  0.158437       0.194233       0.168267                 NaN            NaN            NaN
  1274.93        500.000                 NaN   98.0227                 NaN  0.815602                 NaN  0.544296                 NaN  0.617406                 NaN            NaN            NaN
  1273.44        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1271.95        500.000                 NaN   99.9802                 NaN            NaN            NaN  0.198195E-001            NaN            NaN            NaN            NaN            NaN
  1270.47        500.000                 NaN   99.6443                 NaN            NaN            NaN  0.287358                 NaN  0.683789E-001            NaN            NaN            NaN
  1268.98        500.000                 NaN   69.3897                 NaN   3.70765                 NaN   4.88132                 NaN   3.68360        18.3377                 NaN            NaN
  1267.50        500.000                 NaN   95.9970                 NaN  0.445587                 NaN  0.651226                 NaN  0.461902        2.44432                 NaN            NaN
  1266.01        500.000                 NaN   97.2260                 NaN  0.302434                 NaN  0.457667                 NaN  0.319050        1.69483                 NaN            NaN
  1264.52        500.000                 NaN   97.8590                 NaN  0.227517                 NaN  0.359953                 NaN  0.245336        1.30815                 NaN            NaN
  1263.04        500.000                 NaN   97.9779                 NaN  0.211126                 NaN  0.343299                 NaN  0.231212        1.23649                 NaN            NaN
  1261.55        500.000                 NaN   85.4312                 NaN   1.30310                 NaN   2.23268       0.464082        1.64528        8.92368                 NaN            NaN
  1260.07        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
