|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        500.000       0.459692E-003   99.6687       0.330879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000                 NaN   99.1628       0.801267       0.359687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000                 NaN   99.1670       0.833038       0.880910E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000                 NaN   99.9495                 NaN  0.504955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000                 NaN   98.4195        1.57234       0.818429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000                 NaN   99.1940       0.806021       0.117174E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000                 NaN   99.1938       0.793415       0.127602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000                 NaN   99.2152       0.762807       0.220191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000                 NaN   99.2203       0.757686       0.220473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000                 NaN   99.2283       0.749133       0.225361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000                 NaN   99.2297       0.749971       0.203736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000                 NaN   99.2460       0.733211       0.207557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000                 NaN   99.1957       0.782914       0.214340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000                 NaN   99.3077       0.674466       0.178006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000                 NaN   99.2655       0.716974       0.175191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000                 NaN   99.2706       0.713067       0.163697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000                 NaN   99.2544       0.729522       0.161199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000                 NaN   99.3045       0.680194       0.152934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000                 NaN   99.2850       0.699320       0.157026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000                 NaN   98.7144        1.26134       0.242276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000                 NaN   99.8910       0.105442       0.354411E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000                 NaN   99.3206       0.666802       0.126257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
