|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/LAR/LAR_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1391.03        500.000       0.758986E-002   99.9846       0.641453E-002            NaN  0.140971E-002            NaN            NaN            NaN            NaN
  1390.05        500.000       0.282137E-003   99.6264       0.132821       0.240452       0.232517E-004            NaN            NaN            NaN            NaN
  1389.07        500.000       0.286206E-003   99.6040       0.160159       0.235586       0.293960E-005            NaN            NaN            NaN            NaN
  1388.09        500.000       0.276482E-003   99.6057       0.234659       0.159404       0.402551E-005            NaN            NaN            NaN            NaN
  1387.11        500.000                 NaN   99.2451       0.291211       0.254539       0.126336E-001  0.196513                 NaN            NaN            NaN
  1386.13        500.000                 NaN   99.1014       0.272841       0.269950       0.670551E-001  0.288787                 NaN            NaN            NaN
  1385.15        500.000       0.113176E-002   99.1112       0.267741       0.249514       0.817541E-001  0.288669                 NaN            NaN            NaN
  1384.17        500.000                 NaN   99.1184       0.269139       0.242803       0.830134E-001  0.286661                 NaN            NaN            NaN
  1383.19        500.000                 NaN   99.1271       0.238458       0.267060       0.833830E-001  0.284030                 NaN            NaN            NaN
  1382.21        500.000                 NaN   99.8302       0.456698E-001  0.518382E-001  0.168142E-001  0.554750E-001            NaN            NaN            NaN
  1381.23        500.000       0.123817E-002   98.4529       0.420951       0.470320       0.150455       0.504104                 NaN            NaN            NaN
  1380.25        500.000                 NaN   99.1570       0.258803       0.226131       0.834699E-001  0.274563                 NaN            NaN            NaN
  1379.27        500.000                 NaN   99.1622       0.222011       0.257746       0.846619E-001  0.273353                 NaN            NaN            NaN
  1378.29        500.000                 NaN   99.1506       0.260962       0.223267       0.867456E-001  0.278434                 NaN            NaN            NaN
  1377.31        500.000                 NaN   99.1939       0.209345       0.249895       0.839299E-001  0.262925                 NaN            NaN            NaN
  1376.33        500.000                 NaN   99.1882       0.211514       0.250429       0.846319E-001  0.265219                 NaN            NaN            NaN
  1375.35        500.000                 NaN   99.1548       0.217203       0.261509       0.899061E-001  0.276553                 NaN            NaN            NaN
  1374.37        500.000                 NaN   99.2415       0.235139       0.193053       0.819920E-001  0.248308                 NaN            NaN            NaN
  1373.39        500.000                 NaN   99.2098       0.199805       0.245190       0.863417E-001  0.258908                 NaN            NaN            NaN
  1372.41        500.000                 NaN   99.2167       0.195713       0.243545       0.870563E-001  0.256967                 NaN            NaN            NaN
  1371.43        500.000                 NaN   99.1659       0.207312       0.259612       0.935796E-001  0.273599                 NaN            NaN            NaN
  1370.45        500.000                 NaN   99.2917       0.220752       0.174826       0.802490E-001  0.232453                 NaN            NaN            NaN
  1369.47        500.000                 NaN   99.2399       0.237416       0.185403       0.875930E-001  0.249702                 NaN            NaN            NaN
  1368.49        500.000                 NaN   99.2460       0.235882       0.182229       0.878706E-001  0.247993                 NaN            NaN            NaN
  1367.51        500.000                 NaN   99.2540       0.233689       0.179335       0.877022E-001  0.245292                 NaN            NaN            NaN
  1366.53        500.000                 NaN   99.2603       0.175425       0.232216       0.884161E-001  0.243625                 NaN            NaN            NaN
  1365.55        500.000                 NaN   99.2669       0.172686       0.230356       0.885883E-001  0.241513                 NaN            NaN            NaN
  1364.57        500.000                 NaN   99.2752       0.169867       0.227928       0.882395E-001  0.238735                 NaN            NaN            NaN
  1363.59        500.000                 NaN   99.2804       0.166467       0.226673       0.890953E-001  0.237354                 NaN            NaN            NaN
  1362.61        500.000                 NaN   99.2876       0.163545       0.224873       0.890293E-001  0.234952                 NaN            NaN            NaN
  1361.63        500.000                 NaN   99.2926       0.160934       0.223389       0.894254E-001  0.233604                 NaN            NaN            NaN
  1360.65        500.000                 NaN   99.2954       0.220767       0.165290       0.861841E-001  0.232384                 NaN            NaN            NaN
  1359.67        500.000                 NaN   99.3107       0.220609       0.147926       0.927300E-001  0.228032                 NaN            NaN            NaN
  1358.69        500.000                 NaN   99.3098       0.219410       0.151578       0.907816E-001  0.228419                 NaN            NaN            NaN
  1357.71        500.000                 NaN   99.3201       0.216413       0.149739       0.891261E-001  0.224638                 NaN            NaN            NaN
  1356.73        500.000                 NaN   99.3246       0.215375       0.146275       0.901195E-001  0.223594                 NaN            NaN            NaN
  1355.75        500.000                 NaN   99.3305       0.213978       0.143256       0.904254E-001  0.221883                 NaN            NaN            NaN
  1354.77        500.000                 NaN   99.3358       0.212291       0.141585       0.902621E-001  0.220102                 NaN            NaN            NaN
  1353.79        500.000                 NaN   99.3418       0.138536       0.210882       0.905584E-001  0.218252                 NaN            NaN            NaN
  1352.81        500.000                 NaN   99.3477       0.209337       0.135909       0.906893E-001  0.216410                 NaN            NaN            NaN
  1351.83        500.000                 NaN   99.3526       0.133643       0.208101       0.907733E-001  0.214902                 NaN            NaN            NaN
  1350.85        500.000                 NaN   99.6768       0.651236E-001  0.104558       0.460765E-001  0.107409                 NaN            NaN            NaN
  1349.87        500.000       0.283424E-003   99.7476       0.133374       0.425289E-001            NaN  0.761806E-001            NaN            NaN            NaN
  1348.89        500.000                 NaN   98.6659       0.190405       0.467953       0.225394       0.450317                 NaN            NaN            NaN
  1347.91        500.000                 NaN   99.3092       0.223506       0.136488       0.101006       0.229788                 NaN            NaN            NaN
  1346.93        500.000                 NaN   99.4459       0.108847       0.179670       0.813323E-001  0.184209                 NaN            NaN            NaN
  1345.95        500.000                 NaN   99.3853       0.119425       0.199697       0.910904E-001  0.204445                 NaN            NaN            NaN
  1344.97        500.000                 NaN   99.3901       0.117276       0.198228       0.912887E-001  0.203060                 NaN            NaN            NaN
  1343.99        500.000                 NaN   99.3941       0.116121       0.197398       0.907499E-001  0.201657                 NaN            NaN            NaN
  1343.01        500.000                 NaN   99.4004       0.195634       0.113228       0.910436E-001  0.199672                 NaN            NaN            NaN
  1342.03        500.000                 NaN   99.4049       0.111335       0.194395       0.910918E-001  0.198281                 NaN            NaN            NaN
  1341.05        500.000                 NaN   99.4093       0.193179       0.109690       0.910004E-001  0.196839                 NaN            NaN            NaN
  1340.07        500.000                 NaN   99.4146       0.191866       0.107408       0.909814E-001  0.195182                 NaN            NaN            NaN
  1339.09        500.000                 NaN   99.4194       0.190554       0.105402       0.909870E-001  0.193670                 NaN            NaN            NaN
  1338.11        500.000                 NaN   99.4229       0.189881       0.103723       0.909406E-001  0.192565                 NaN            NaN            NaN
  1337.13        500.000                 NaN   99.4288       0.101412       0.188312       0.908264E-001  0.190617                 NaN            NaN            NaN
  1336.15        500.000                 NaN   99.4328       0.187110       0.100378       0.905677E-001  0.189178                 NaN            NaN            NaN
  1335.17        500.000                 NaN   99.4376       0.186092       0.979026E-001  0.906543E-001  0.187781                 NaN            NaN            NaN
  1334.19        500.000                 NaN   99.4412       0.998325E-001  0.183999       0.887303E-001  0.186239                 NaN            NaN            NaN
  1333.21        500.000                 NaN   99.4475       0.917425E-001  0.184002       0.919861E-001  0.184746                 NaN            NaN            NaN
  1332.23        500.000                 NaN   99.4504       0.182333       0.934987E-001  0.902035E-001  0.183557                 NaN            NaN            NaN
  1331.25        500.000                 NaN   99.6082       0.662511E-001  0.129546       0.649223E-001  0.131081                 NaN            NaN            NaN
  1330.27        500.000                 NaN   99.3053       0.116638       0.231552       0.114849       0.231658                 NaN            NaN            NaN
  1329.29        500.000                 NaN   99.4626       0.888844E-001  0.179129       0.898251E-001  0.179544                 NaN            NaN            NaN
  1328.31        500.000                 NaN   99.3702       0.209847       0.101477       0.107580       0.210878                 NaN            NaN            NaN
  1327.33        500.000                 NaN   99.5693       0.732436E-001  0.143072       0.710602E-001  0.143364                 NaN            NaN            NaN
  1326.35        500.000                 NaN   99.4704       0.161769       0.147848       0.504914E-001  0.169517                 NaN            NaN            NaN
  1325.37        500.000                 NaN   99.4837       0.188361       0.211247E-001  0.126968       0.179807                 NaN            NaN            NaN
  1324.39        500.000                 NaN   99.4829       0.173243       0.828191E-001  0.883133E-001  0.172757                 NaN            NaN            NaN
  1323.41        500.000                 NaN   99.4866       0.172302       0.817486E-001  0.878941E-001  0.171434                 NaN            NaN            NaN
  1322.43        500.000                 NaN   99.4907       0.804966E-001  0.171056       0.876327E-001  0.170071                 NaN            NaN            NaN
  1321.45        500.000                 NaN   99.4938       0.170257       0.797075E-001  0.872584E-001  0.169006                 NaN            NaN            NaN
  1320.47        500.000                 NaN   99.3199       0.106956       0.229643       0.116691       0.226836                 NaN            NaN            NaN
  1319.49        500.000                 NaN   99.6781       0.502987E-001  0.108611       0.558051E-001  0.107234                 NaN            NaN            NaN
  1318.51        500.000                 NaN   99.5050       0.166996       0.764835E-001  0.863091E-001  0.165236                 NaN            NaN            NaN
  1317.53        500.000                 NaN   99.5015       0.158603       0.101316       0.745299E-001  0.164079                 NaN            NaN            NaN
  1316.55        500.000                 NaN   99.5197       0.171894       0.491792E-001  0.966845E-001  0.162549                 NaN            NaN            NaN
  1315.57        500.000                 NaN   99.5152       0.742183E-001  0.163863       0.850422E-001  0.161702                 NaN            NaN            NaN
  1314.59        500.000                 NaN   99.5193       0.736589E-001  0.162558       0.842912E-001  0.160159                 NaN            NaN            NaN
  1313.61        500.000                 NaN   99.5226       0.724226E-001  0.161581       0.842151E-001  0.159147                 NaN            NaN            NaN
  1312.63        500.000                 NaN   99.5256       0.160735       0.716642E-001  0.838116E-001  0.158197                 NaN            NaN            NaN
  1311.65        500.000                 NaN   99.5298       0.159420       0.712020E-001  0.830462E-001  0.156558                 NaN            NaN            NaN
  1310.67        500.000                 NaN   99.5326       0.158418       0.707482E-001  0.825425E-001  0.155644                 NaN            NaN            NaN
  1309.69        500.000                 NaN   99.5350       0.708506E-001  0.157534       0.819027E-001  0.154729                 NaN            NaN            NaN
  1308.71        500.000                 NaN   99.5395       0.690061E-001  0.156469       0.818230E-001  0.153252                 NaN            NaN            NaN
  1307.73        500.000                 NaN   99.5732       0.145579       0.613166E-001  0.773577E-001  0.142503                 NaN            NaN            NaN
  1306.75        500.000                 NaN   99.5140       0.766109E-001  0.164342       0.841047E-001  0.160960                 NaN            NaN            NaN
  1305.77        500.000                 NaN   99.5482       0.685858E-001  0.153250       0.798767E-001  0.150114                 NaN            NaN            NaN
  1304.79        500.000                 NaN   99.5512       0.680222E-001  0.152485       0.793084E-001  0.149013                 NaN            NaN            NaN
  1303.81        500.000                 NaN   99.5541       0.151396       0.677797E-001  0.787451E-001  0.147983                 NaN            NaN            NaN
  1302.83        500.000                 NaN   99.5571       0.677361E-001  0.150400       0.779518E-001  0.146857                 NaN            NaN            NaN
  1301.85        500.000                 NaN   99.5599       0.149469       0.674342E-001  0.773653E-001  0.145827                 NaN            NaN            NaN
