|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1583.33        2500.00       0.103513E-001            NaN            NaN   99.7563       0.223962       0.933779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00                 NaN            NaN            NaN   99.2948       0.659521       0.457092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00       0.262682E-003            NaN            NaN   98.3586        1.47829       0.162890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00                 NaN            NaN            NaN   99.9373       0.565698E-001  0.614274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00                 NaN            NaN            NaN   99.6288       0.336077       0.351251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN            NaN            NaN   99.3196       0.616512       0.638456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00                 NaN            NaN            NaN   99.3214       0.615314       0.633255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN            NaN            NaN   98.5412        1.31605       0.142753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00                 NaN            NaN            NaN   99.9660                 NaN  0.339546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00                 NaN            NaN            NaN   99.4991       0.494698       0.615285E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00                 NaN            NaN            NaN   99.3454       0.595283       0.593516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN            NaN            NaN   98.6631        1.23132       0.105544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00                 NaN            NaN            NaN   99.9857       0.128928E-001  0.143278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00                 NaN            NaN            NaN   99.7540       0.227474       0.185732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00                 NaN            NaN            NaN   99.0305       0.882606       0.868716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN            NaN            NaN   98.9604       0.951708       0.878961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00                 NaN            NaN            NaN   99.7912       0.191081       0.177621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00                 NaN            NaN            NaN   99.3801       0.565469       0.544112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00                 NaN            NaN            NaN   99.3895       0.557878       0.526581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN            NaN   99.3900       0.557668       0.523502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00                 NaN            NaN            NaN   99.3983       0.550422       0.513177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN            NaN   99.4011       0.549526       0.493882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00                 NaN            NaN            NaN   99.4056       0.545277       0.491245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN            NaN            NaN   99.4095       0.541497       0.490272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00                 NaN            NaN            NaN   99.4163       0.558202       0.255475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
