|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           Sp(TH)         an             San(TH)        ilm            q             
  1402.03        500.000        98.9535       0.321687       0.355021                 NaN            NaN  0.131029E-001            NaN  0.356712                 NaN            NaN            NaN
  1400.94        500.000        98.9737       0.315204       0.348665                 NaN            NaN  0.127066E-001            NaN  0.349759                 NaN            NaN            NaN
  1399.85        500.000        98.9893       0.343292       0.310310                 NaN            NaN  0.124631E-001            NaN  0.344629                 NaN            NaN            NaN
  1398.76        500.000        99.0087       0.304107       0.337143                 NaN            NaN  0.121225E-001            NaN  0.337893                 NaN            NaN            NaN
  1397.66        500.000        99.0244       0.332053       0.299156                 NaN            NaN  0.118319E-001            NaN  0.332509                 NaN            NaN            NaN
  1396.57        500.000        99.0403       0.326807       0.294225                 NaN            NaN  0.115421E-001            NaN  0.327159                 NaN            NaN            NaN
  1395.48        500.000        99.0566       0.321515       0.289004                 NaN            NaN  0.112697E-001            NaN  0.321614                 NaN            NaN            NaN
  1394.39        500.000        99.0715       0.284149       0.316783                 NaN            NaN  0.110037E-001            NaN  0.316521                 NaN            NaN            NaN
  1393.29        500.000        99.0873       0.279081       0.311852                 NaN            NaN  0.107062E-001            NaN  0.311102                 NaN            NaN            NaN
  1392.20        500.000        99.1013       0.274791       0.307096                 NaN            NaN  0.104647E-001            NaN  0.306362                 NaN            NaN            NaN
  1391.11        500.000        99.1162       0.302341       0.270018                 NaN            NaN  0.102285E-001            NaN  0.301227                 NaN            NaN            NaN
  1390.02        500.000        99.1280       0.266199       0.298509                 NaN            NaN  0.100120E-001            NaN  0.297235                 NaN            NaN            NaN
  1388.92        500.000        99.1435       0.261454       0.293515                 NaN            NaN  0.973634E-002            NaN  0.291838                 NaN            NaN            NaN
  1387.83        500.000        99.1574       0.256966       0.289080                 NaN            NaN  0.948411E-002            NaN  0.287075                 NaN            NaN            NaN
  1386.74        500.000        99.1691       0.253114       0.285360                 NaN            NaN  0.926592E-002            NaN  0.283115                 NaN            NaN            NaN
  1385.65        500.000        99.1816       0.281383       0.249100                 NaN            NaN  0.905621E-002            NaN  0.278873                 NaN            NaN            NaN
  1384.55        500.000        99.1943       0.245055       0.277373                 NaN            NaN  0.884403E-002            NaN  0.274454                 NaN            NaN            NaN
  1383.46        500.000        99.2060       0.241336       0.273566                 NaN            NaN  0.863590E-002            NaN  0.270468                 NaN            NaN            NaN
  1382.37        500.000        99.2173       0.237922       0.269739                 NaN            NaN  0.843228E-002            NaN  0.266656                 NaN            NaN            NaN
  1381.28        500.000        99.2297       0.233487       0.266421                 NaN            NaN  0.819703E-002            NaN  0.262221                 NaN            NaN            NaN
  1380.18        500.000        99.2392       0.263281       0.230528                 NaN            NaN  0.799958E-002            NaN  0.258962                 NaN            NaN            NaN
  1379.09        500.000        98.9903       0.349821       0.305843                 NaN            NaN  0.104126E-001            NaN  0.343655                 NaN            NaN            NaN
  1378.00        500.000        99.5244       0.143791       0.165190                 NaN            NaN  0.490251E-002            NaN  0.161766                 NaN            NaN            NaN
  1376.91        500.000        99.2717       0.220074       0.253000                 NaN            NaN  0.744744E-002            NaN  0.247788                 NaN            NaN            NaN
  1375.81        500.000        99.2830       0.216441       0.249504                 NaN            NaN  0.724167E-002            NaN  0.243858                 NaN            NaN            NaN
  1374.72        500.000        99.2924       0.213383       0.246480                 NaN            NaN  0.707810E-002            NaN  0.240631                 NaN            NaN            NaN
  1373.63        500.000        99.3019       0.243674       0.210234                 NaN            NaN  0.687288E-002            NaN  0.237294                 NaN            NaN            NaN
  1372.54        500.000        99.3101       0.241338       0.207241                 NaN            NaN  0.675662E-002            NaN  0.234552                 NaN            NaN            NaN
  1371.44        500.000        99.3205       0.237859       0.204101                 NaN            NaN  0.654795E-002            NaN  0.230970                 NaN            NaN            NaN
  1370.35        500.000        99.3325       0.234586       0.200090                 NaN            NaN  0.631201E-002            NaN  0.226546                 NaN            NaN            NaN
  1369.26        500.000        99.3391       0.198023       0.232288                 NaN            NaN  0.619973E-002            NaN  0.224419                 NaN            NaN            NaN
  1368.17        500.000        99.3468       0.195264       0.230113                 NaN            NaN  0.602352E-002            NaN  0.221810                 NaN            NaN            NaN
  1367.07        500.000        99.3571       0.192113       0.226835                 NaN            NaN  0.585706E-002            NaN  0.218102                 NaN            NaN            NaN
  1365.98        500.000        99.3618       0.190221       0.225578                 NaN            NaN  0.577961E-002            NaN  0.216616                 NaN            NaN            NaN
  1364.89        500.000        99.3761       0.221274       0.185776                 NaN            NaN  0.550069E-002            NaN  0.211365                 NaN            NaN            NaN
  1363.80        500.000        99.3805       0.184331       0.219765                 NaN            NaN  0.539425E-002            NaN  0.209975                 NaN            NaN            NaN
  1362.70        500.000        99.3871       0.182047       0.217800                 NaN            NaN  0.526303E-002            NaN  0.207774                 NaN            NaN            NaN
  1361.61        500.000        99.3981       0.178682       0.214323                 NaN            NaN  0.511699E-002            NaN  0.203768                 NaN            NaN            NaN
  1360.52        500.000        99.4051       0.176194       0.212381                 NaN            NaN  0.494811E-002            NaN  0.201372                 NaN            NaN            NaN
  1359.43        500.000        99.4116       0.173878       0.210557                 NaN            NaN  0.482574E-002            NaN  0.199160                 NaN            NaN            NaN
  1358.33        500.000        99.4191       0.171428       0.208242                 NaN            NaN  0.468805E-002            NaN  0.196513                 NaN            NaN            NaN
  1357.24        500.000        99.4261       0.206251       0.169074                 NaN            NaN  0.453083E-002            NaN  0.194031                 NaN            NaN            NaN
  1356.15        500.000        99.4312       0.167673       0.204290                 NaN            NaN  0.447057E-002            NaN  0.192388                 NaN            NaN            NaN
  1355.06        500.000        99.4420       0.201873       0.163543                 NaN            NaN  0.421810E-002            NaN  0.188348                 NaN            NaN            NaN
  1353.96        500.000        99.4465       0.200411       0.162010                 NaN            NaN  0.413268E-002            NaN  0.186945                 NaN            NaN            NaN
  1352.87        500.000        99.4533       0.198363       0.159849                 NaN            NaN  0.398181E-002            NaN  0.184466                 NaN            NaN            NaN
  1351.78        500.000        99.4600       0.196279       0.157460                 NaN            NaN  0.393030E-002            NaN  0.182347                 NaN            NaN            NaN
  1350.69        500.000        99.4667       0.194563       0.155139                 NaN            NaN  0.375050E-002            NaN  0.179822                 NaN            NaN            NaN
  1349.59        500.000        99.4728       0.153186       0.192716                 NaN            NaN  0.362362E-002            NaN  0.177664                 NaN            NaN            NaN
  1348.50        500.000        99.4788       0.191090       0.151053                 NaN            NaN  0.350764E-002            NaN  0.175581                 NaN            NaN            NaN
  1347.41        500.000        99.4844       0.149276       0.189358                 NaN            NaN  0.339605E-002            NaN  0.173591                 NaN            NaN            NaN
  1346.32        500.000        99.4908       0.187738       0.146918                 NaN            NaN  0.323686E-002            NaN  0.171304                 NaN            NaN            NaN
  1345.22        500.000        99.4962       0.186169       0.145070                 NaN            NaN  0.313579E-002            NaN  0.169444                 NaN            NaN            NaN
  1344.13        500.000        99.5023       0.142939       0.184457                 NaN            NaN  0.301040E-002            NaN  0.167276                 NaN            NaN            NaN
  1343.04        500.000        99.5079       0.183005       0.140919                 NaN            NaN  0.287831E-002            NaN  0.165264                 NaN            NaN            NaN
  1341.95        500.000        99.5132       0.181355       0.139190                 NaN            NaN  0.279085E-002            NaN  0.163498                 NaN            NaN            NaN
  1340.85        500.000        99.5188       0.179925       0.137142                 NaN            NaN  0.266606E-002            NaN  0.161419                 NaN            NaN            NaN
  1339.76        500.000        99.5238       0.178525       0.135451                 NaN            NaN  0.255031E-002            NaN  0.159708                 NaN            NaN            NaN
  1338.67        500.000        99.5293       0.133610       0.176918                 NaN            NaN  0.245292E-002            NaN  0.157768                 NaN            NaN            NaN
  1337.58        500.000        99.5340       0.175728       0.131909                 NaN            NaN  0.232034E-002            NaN  0.156068                 NaN            NaN            NaN
  1336.48        500.000        99.5392       0.130007       0.174276                 NaN            NaN  0.224083E-002            NaN  0.154276                 NaN            NaN            NaN
  1335.39        500.000        99.5446       0.128023       0.172936                 NaN            NaN  0.211444E-002            NaN  0.152317                 NaN            NaN            NaN
  1334.30        500.000        99.5491       0.171761       0.126406                 NaN            NaN  0.201580E-002            NaN  0.150759                 NaN            NaN            NaN
  1333.21        500.000        99.5539       0.124685       0.170530                 NaN            NaN  0.189508E-002            NaN  0.149023                 NaN            NaN            NaN
  1332.11        500.000        99.5585       0.122817       0.169438                 NaN            NaN  0.180250E-002            NaN  0.147462                 NaN            NaN            NaN
  1331.02        500.000        99.5633       0.121210       0.168073                 NaN            NaN  0.169799E-002            NaN  0.145674                 NaN            NaN            NaN
  1329.93        500.000        99.5676       0.166951       0.119660                 NaN            NaN  0.159212E-002            NaN  0.144183                 NaN            NaN            NaN
  1328.84        500.000        99.5722       0.118097       0.165691                 NaN            NaN  0.150392E-002            NaN  0.142546                 NaN            NaN            NaN
  1327.74        500.000        99.5763       0.164824       0.116427                 NaN            NaN  0.135863E-002            NaN  0.141071                 NaN            NaN            NaN
  1326.65        500.000        99.5811       0.163564       0.114728                 NaN            NaN  0.127562E-002            NaN  0.139370                 NaN            NaN            NaN
  1325.56        500.000        99.5849       0.162440       0.113383                 NaN            NaN  0.120263E-002            NaN  0.138055                 NaN            NaN            NaN
  1324.47        500.000        99.6305       0.231404                 NaN            NaN            NaN            NaN            NaN  0.138088                 NaN            NaN            NaN
  1323.37        500.000        99.6102       0.266164                 NaN            NaN            NaN  0.519975E-002            NaN  0.118408                 NaN            NaN            NaN
  1322.28        500.000        99.5370       0.722314E-001  0.237274                 NaN            NaN  0.683022E-003            NaN  0.152833                 NaN            NaN            NaN
  1321.19        500.000        99.6019       0.162422       0.104655                 NaN            NaN            NaN            NaN  0.131070                 NaN            NaN            NaN
  1320.10        500.000        99.6055       0.103741       0.160868                 NaN            NaN            NaN            NaN  0.129876                 NaN            NaN            NaN
  1319.00        500.000        99.6094       0.102331       0.159667                 NaN            NaN            NaN            NaN  0.128588                 NaN            NaN            NaN
  1317.91        500.000        99.6129       0.101198       0.158399                 NaN            NaN            NaN            NaN  0.127455                 NaN            NaN            NaN
  1316.82        500.000        99.6164       0.156037       0.100765                 NaN            NaN  0.205914E-003            NaN  0.126561                 NaN            NaN            NaN
  1315.73        500.000        99.6200       0.999139E-001  0.154282                 NaN            NaN  0.322980E-003            NaN  0.125527                 NaN            NaN            NaN
  1314.63        500.000        99.6231       0.986119E-001  0.153603                 NaN            NaN  0.229652E-003            NaN  0.124439                 NaN            NaN            NaN
  1313.54        500.000        99.6273       0.971156E-001  0.152556                 NaN            NaN  0.134174E-003            NaN  0.122892                 NaN            NaN            NaN
  1312.45        500.000        99.6304       0.957438E-001  0.151996                 NaN            NaN  0.481727E-004            NaN  0.121837                 NaN            NaN            NaN
  1311.36        500.000        99.6335       0.947949E-001  0.150953                 NaN            NaN            NaN            NaN  0.120746                 NaN            NaN            NaN
  1310.26        500.000        99.6376       0.149633       0.933516E-001            NaN            NaN            NaN            NaN  0.119374                 NaN            NaN            NaN
  1309.17        500.000        99.6402       0.965671E-001  0.141867                 NaN            NaN  0.129578E-002            NaN  0.120057                 NaN            NaN            NaN
  1308.08        500.000        99.6652       0.927094E-001  0.113441                 NaN            NaN  0.853197E-002            NaN  0.120069                 NaN            NaN            NaN
  1306.99        500.000        99.6252       0.155562       0.957699E-001            NaN            NaN            NaN            NaN  0.123487                 NaN            NaN            NaN
  1305.89        500.000        99.6502       0.897811E-001  0.144733                 NaN            NaN            NaN            NaN  0.115280                 NaN            NaN            NaN
  1304.80        500.000        99.6540       0.143828       0.881316E-001            NaN            NaN            NaN            NaN  0.114016                 NaN            NaN            NaN
  1303.71        500.000        99.6565       0.872647E-001  0.142971                 NaN            NaN            NaN            NaN  0.113284                 NaN            NaN            NaN
  1302.62        500.000        99.9411       0.153029E-001  0.239985E-001            NaN            NaN            NaN            NaN  0.195555E-001            NaN            NaN            NaN
  1301.52        500.000        99.3817       0.155943       0.258452                 NaN            NaN            NaN            NaN  0.203862                 NaN            NaN            NaN
  1300.43        500.000        99.6655       0.845071E-001  0.139716                 NaN            NaN            NaN            NaN  0.110291                 NaN            NaN            NaN
  1299.34        500.000        99.6690       0.138549       0.832719E-001            NaN            NaN            NaN            NaN  0.109186                 NaN            NaN            NaN
  1298.25        500.000        99.6715       0.824635E-001  0.137668                 NaN            NaN            NaN            NaN  0.108418                 NaN            NaN            NaN
  1297.15        500.000        99.6742       0.815045E-001  0.136744                 NaN            NaN            NaN            NaN  0.107570                 NaN            NaN            NaN
  1296.06        500.000        99.6772       0.806731E-001  0.135545                 NaN            NaN            NaN            NaN  0.106557                 NaN            NaN            NaN
  1294.97        500.000        99.6829       0.133351       0.790582E-001            NaN            NaN            NaN            NaN  0.104717                 NaN            NaN            NaN
  1293.88        500.000        99.6801       0.793676E-001  0.134962                 NaN            NaN            NaN            NaN  0.105557                 NaN            NaN            NaN
  1292.78        500.000        99.6855       0.777698E-001  0.132868                 NaN            NaN            NaN            NaN  0.103885                 NaN            NaN            NaN
  1291.69        500.000        99.6882       0.132050       0.767099E-001            NaN            NaN            NaN            NaN  0.103070                 NaN            NaN            NaN
  1290.60        500.000        95.6430       0.373953       0.673581                 NaN            NaN            NaN            NaN  0.517058        2.79238                 NaN            NaN
  1289.51        500.000        94.4891       0.817316       0.458546                 NaN            NaN            NaN            NaN  0.631874        3.60317                 NaN            NaN
  1288.42        500.000        94.9030       0.428003       0.751518                 NaN            NaN            NaN            NaN  0.586347        3.33112                 NaN            NaN
  1287.32        500.000        95.2675       0.693856       0.400394                 NaN            NaN            NaN            NaN  0.545971        3.09228                 NaN            NaN
  1286.23        500.000        95.5790       0.377186       0.644449                 NaN            NaN            NaN            NaN  0.511496        2.88786                 NaN            NaN
  1285.14        500.000        95.8570       0.600618       0.356028                 NaN            NaN            NaN            NaN  0.480620        2.70574                 NaN            NaN
  1284.05        500.000        96.1003       0.561730       0.338026                 NaN            NaN            NaN            NaN  0.453439        2.54651                 NaN            NaN
  1282.95        500.000        95.8543       0.675535       0.236059                 NaN            NaN            NaN            NaN  0.492919        2.74121                 NaN            NaN
  1281.86        500.000        92.2462        1.51159                 NaN            NaN            NaN            NaN            NaN  0.946168        5.29607                 NaN            NaN
  1280.77        500.000        93.7355        1.20468                 NaN            NaN            NaN            NaN            NaN  0.762523        4.29734                 NaN            NaN
  1279.68        500.000        95.6735       0.832832                 NaN            NaN            NaN            NaN            NaN  0.528664        2.96498                 NaN            NaN
  1278.58        500.000        96.7512       0.626083                 NaN            NaN            NaN            NaN            NaN  0.398478        2.22423                 NaN            NaN
  1277.49        500.000        97.4201       0.498485                 NaN            NaN            NaN            NaN            NaN  0.317663        1.76371                 NaN            NaN
  1276.40        500.000        97.8711       0.412431                 NaN            NaN            NaN            NaN            NaN  0.262970        1.45351                 NaN            NaN
  1275.31        500.000        98.1895       0.351307                 NaN            NaN            NaN            NaN            NaN  0.224354        1.23487                 NaN            NaN
  1274.21        500.000        98.4233       0.307073                 NaN            NaN            NaN            NaN            NaN  0.195959        1.07367                 NaN            NaN
  1273.12        500.000        98.6023       0.272798                 NaN            NaN            NaN            NaN            NaN  0.174156       0.950746                 NaN            NaN
  1272.03        500.000        98.7433       0.246937                 NaN            NaN            NaN            NaN            NaN  0.157037       0.852715                 NaN            NaN
  1270.94        500.000        98.8552       0.226274                 NaN            NaN            NaN            NaN            NaN  0.143380       0.775186                 NaN            NaN
  1269.84        500.000        98.9209       0.149887       0.872461E-001            NaN            NaN            NaN            NaN  0.126514       0.715427                 NaN            NaN
  1268.75        500.000        98.9839       0.115621       0.118463                 NaN            NaN            NaN            NaN  0.116280       0.665732                 NaN            NaN
  1267.66        500.000        99.0173       0.100301       0.130676                 NaN            NaN            NaN            NaN  0.111427       0.640300                 NaN            NaN
  1266.57        500.000        99.0412       0.147591       0.835615E-001            NaN            NaN            NaN            NaN  0.107410       0.620222                 NaN            NaN
  1265.47        500.000        99.0535       0.170845       0.644214E-001            NaN            NaN            NaN            NaN  0.104372       0.606812                 NaN            NaN
  1264.38        500.000        99.0503       0.197120       0.460534E-001            NaN            NaN            NaN            NaN  0.103205       0.603294                 NaN            NaN
  1263.29        500.000        99.0291       0.330474E-001  0.220450                 NaN            NaN            NaN            NaN  0.104688       0.612716                 NaN            NaN
  1262.20        500.000        98.9858       0.269946       0.924557E-002            NaN            NaN            NaN            NaN  0.107731       0.627281                 NaN            NaN
  1261.10        500.000        98.9180       0.303563                 NaN            NaN            NaN            NaN            NaN  0.114956       0.663506                 NaN            NaN
  1260.01        500.000        98.8217       0.339098                 NaN            NaN            NaN            NaN            NaN  0.125931       0.713317                 NaN            NaN
  1258.92        500.000        98.6877       0.387754                 NaN            NaN            NaN            NaN            NaN  0.141216       0.783349                 NaN            NaN
  1257.83        500.000        98.5081       0.452546                 NaN            NaN            NaN            NaN            NaN  0.160182       0.879183                 NaN            NaN
  1256.73        500.000        98.1797       0.570419                 NaN            NaN            NaN            NaN            NaN  0.197517        1.05116       0.116666E-002            NaN
  1255.64        500.000        95.6555        1.24601                 NaN            NaN            NaN            NaN            NaN  0.488679        2.49385       0.116004                 NaN
  1254.55        500.000        93.4843        1.91026                 NaN            NaN            NaN            NaN            NaN  0.720228        3.71149       0.173713                 NaN
  1253.46        500.000        98.1903       0.315470                 NaN            NaN            NaN            NaN            NaN  0.194965        1.23572       0.635878E-001            NaN
  1252.36        500.000        98.2417       0.306471                 NaN            NaN            NaN            NaN            NaN  0.189475        1.20112       0.612004E-001            NaN
  1251.27        500.000        98.2919       0.297121                 NaN            NaN            NaN            NaN            NaN  0.183825        1.16818       0.589832E-001            NaN
  1250.18        500.000        98.3389       0.288756                 NaN            NaN            NaN            NaN            NaN  0.178557        1.13687       0.568731E-001            NaN
  1249.09        500.000        98.3867       0.279956                 NaN            NaN            NaN            NaN            NaN  0.173154        1.10538       0.547885E-001            NaN
  1247.99        500.000        98.4293       0.272497                 NaN            NaN            NaN            NaN            NaN  0.168477        1.07697       0.527983E-001            NaN
  1246.90        500.000        98.4712       0.264865                 NaN            NaN            NaN            NaN            NaN  0.163849        1.04924       0.508845E-001            NaN
  1245.81        500.000        98.5136       0.257015                 NaN            NaN            NaN            NaN            NaN  0.158902        1.02135       0.490895E-001            NaN
  1244.72        500.000        98.5523       0.249467                 NaN            NaN            NaN            NaN            NaN  0.154456       0.996337       0.474089E-001            NaN
  1243.62        500.000        98.5901       0.243144                 NaN            NaN            NaN            NaN            NaN  0.150292       0.970855       0.456589E-001            NaN
  1242.53        500.000        98.6263       0.236458                 NaN            NaN            NaN            NaN            NaN  0.146193       0.947036       0.440382E-001            NaN
  1241.44        500.000        98.6608       0.230105                 NaN            NaN            NaN            NaN            NaN  0.142534       0.924191       0.424098E-001            NaN
  1240.35        500.000        98.6948       0.223513                 NaN            NaN            NaN            NaN            NaN  0.138125       0.902427       0.411141E-001            NaN
  1239.25        500.000        98.7294       0.217926                 NaN            NaN            NaN            NaN            NaN  0.134531       0.878627       0.394811E-001            NaN
  1238.16        500.000        98.7599       0.212025                 NaN            NaN            NaN            NaN            NaN  0.131060       0.858920       0.381447E-001            NaN
  1237.07        500.000        98.7903       0.206470                 NaN            NaN            NaN            NaN            NaN  0.127589       0.838813       0.368079E-001            NaN
  1235.98        500.000        98.8196       0.201037                 NaN            NaN            NaN            NaN            NaN  0.124144       0.819638       0.355717E-001            NaN
  1234.88        500.000        98.8476       0.195883                 NaN            NaN            NaN            NaN            NaN  0.120923       0.801232       0.343340E-001            NaN
  1233.79        500.000        98.8761       0.190650                 NaN            NaN            NaN            NaN            NaN  0.117739       0.782371       0.331528E-001            NaN
  1232.70        500.000        98.9015       0.186392                 NaN            NaN            NaN            NaN            NaN  0.115012       0.765210       0.319206E-001            NaN
  1231.61        500.000        98.9284       0.181045                 NaN            NaN            NaN            NaN            NaN  0.111918       0.747829       0.308458E-001            NaN
  1230.51        500.000        98.9516       0.177361                 NaN            NaN            NaN            NaN            NaN  0.109255       0.732027       0.298029E-001            NaN
  1229.42        500.000        98.9747       0.173261                 NaN            NaN            NaN            NaN            NaN  0.106880       0.716474       0.286923E-001            NaN
  1228.33        500.000        98.9995       0.168385                 NaN            NaN            NaN            NaN            NaN  0.103749       0.700576       0.278237E-001            NaN
  1227.24        500.000        99.0213       0.164676                 NaN            NaN            NaN            NaN            NaN  0.101497       0.685703       0.268007E-001            NaN
  1226.14        500.000        99.0435       0.160455                 NaN            NaN            NaN            NaN            NaN  0.988632E-001  0.671194       0.259455E-001            NaN
  1225.05        500.000        99.0643       0.156541                 NaN            NaN            NaN            NaN            NaN  0.963518E-001  0.657727       0.251142E-001            NaN
  1223.96        500.000        99.0847       0.152885                 NaN            NaN            NaN            NaN            NaN  0.941622E-001  0.643996       0.242401E-001            NaN
  1222.87        500.000        99.1044       0.149351                 NaN            NaN            NaN            NaN            NaN  0.919980E-001  0.630845       0.234132E-001            NaN
  1221.77        500.000        95.3537       0.367862                 NaN            NaN            NaN            NaN            NaN  0.352831        2.15736       0.548231E-001   1.71346     
  1220.68        500.000        91.0141       0.624420                 NaN            NaN            NaN            NaN            NaN  0.655759        3.90276       0.884577E-001   3.71448     
  1219.59        500.000        91.5537       0.594749                 NaN            NaN            NaN            NaN            NaN  0.617435        3.66022       0.810060E-001   3.49290     
  1218.50        500.000        92.0337       0.569048                 NaN            NaN            NaN            NaN            NaN  0.585000        3.44385       0.740767E-001   3.29436     
  1217.40        500.000        92.4400       0.546765                 NaN            NaN            NaN            NaN            NaN  0.556136        3.26116       0.685180E-001   3.12741     
  1216.31        500.000        92.8243       0.522947                 NaN            NaN            NaN            NaN            NaN  0.528355        3.09058       0.636733E-001   2.97012     
  1215.22        500.000        93.1134       0.511348                 NaN            NaN            NaN            NaN            NaN  0.509374        2.95747       0.590614E-001   2.84933     
  1214.13        500.000        93.3963       0.495252                 NaN            NaN            NaN            NaN            NaN  0.489275        2.83043       0.552279E-001   2.73351     
  1213.03        500.000        93.6260       0.484383                 NaN            NaN            NaN            NaN            NaN  0.473296        2.72593       0.518060E-001   2.63854     
  1211.94        500.000        93.8468       0.471874                 NaN            NaN            NaN            NaN            NaN  0.456856        2.62713       0.489870E-001   2.54834     
  1210.85        500.000        93.5704       0.454477                 NaN            NaN            NaN  0.158686E-001            NaN  0.488745        2.72534       0.460654E-001   2.69914     
  1209.76        500.000        93.6488       0.440090                 NaN            NaN            NaN  0.194129E-001            NaN  0.483015        2.68816       0.443514E-001   2.67620     
  1208.66        500.000        93.8207       0.428356                 NaN            NaN            NaN  0.190213E-001            NaN  0.467293        2.61560       0.429554E-001   2.60610     
  1207.57        500.000        93.9781       0.417907                 NaN            NaN            NaN  0.184787E-001            NaN  0.453115        2.54986       0.415797E-001   2.54101     
  1206.48        500.000        94.1162       0.408979                 NaN            NaN            NaN  0.178611E-001            NaN  0.440685        2.49268       0.403407E-001   2.48322     
  1205.39        500.000        94.2220       0.401647                 NaN            NaN            NaN  0.173915E-001            NaN  0.430634        2.44904       0.392671E-001   2.44005     
  1204.29        500.000        94.2967       0.396728                 NaN            NaN            NaN  0.170106E-001            NaN  0.422893        2.41939       0.384293E-001   2.40884     
  1203.20        500.000        84.6139                 NaN            NaN            NaN            NaN  0.143942                 NaN   1.10728        6.55147       0.111154        7.47224     
  1202.11        500.000        97.7095        1.04577                 NaN            NaN            NaN            NaN            NaN  0.289715       0.944252       0.107565E-001            NaN
