|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           Sp(TH)         an             San(TH)        ilm            q             
  1435.90        500.000        99.7191       0.154968                 NaN            NaN  0.113292       0.126181E-001            NaN            NaN            NaN            NaN            NaN
  1434.81        500.000        99.9815       0.171222E-001            NaN            NaN            NaN  0.560071E-003  0.834053E-003            NaN            NaN            NaN            NaN
  1433.72        500.000        98.9184       0.817018                 NaN            NaN  0.242844       0.217832E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        500.000        99.3955       0.387224       0.209738                 NaN            NaN  0.752265E-002            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3755       0.234580       0.383373                 NaN            NaN  0.655621E-002            NaN            NaN            NaN            NaN            NaN
  1430.44        500.000        99.9313       0.244549E-001  0.262329E-001            NaN            NaN  0.213770E-002            NaN  0.159166E-001            NaN            NaN            NaN
  1429.35        500.000        98.3246       0.814942       0.614259                 NaN            NaN  0.345556E-001            NaN  0.211618                 NaN            NaN            NaN
  1428.25        500.000        98.0222       0.631734       0.699967                 NaN            NaN  0.681745E-001            NaN  0.577891                 NaN            NaN            NaN
  1427.16        500.000        98.0141       0.634497       0.702886                 NaN            NaN  0.679998E-001            NaN  0.580504                 NaN            NaN            NaN
  1426.07        500.000        98.1683       0.585635       0.647966                 NaN            NaN  0.625110E-001            NaN  0.535606                 NaN            NaN            NaN
  1424.98        500.000        98.1561       0.652240       0.589766                 NaN            NaN  0.625029E-001            NaN  0.539406                 NaN            NaN            NaN
  1423.88        500.000        98.1965       0.576579       0.638108                 NaN            NaN  0.608344E-001            NaN  0.527946                 NaN            NaN            NaN
  1422.79        500.000        98.1078       0.604954       0.670242                 NaN            NaN  0.634139E-001            NaN  0.553582                 NaN            NaN            NaN
  1421.70        500.000        98.4066       0.509577       0.564059                 NaN            NaN  0.532072E-001            NaN  0.466590                 NaN            NaN            NaN
  1420.61        500.000        98.3117       0.597740       0.539866                 NaN            NaN  0.560407E-001            NaN  0.494683                 NaN            NaN            NaN
  1419.51        500.000        98.3471       0.528580       0.585431                 NaN            NaN  0.545516E-001            NaN  0.484351                 NaN            NaN            NaN
  1418.42        500.000        98.2075       0.632130       0.574787                 NaN            NaN  0.590512E-001            NaN  0.526489                 NaN            NaN            NaN
  1417.33        500.000        98.5861       0.452170       0.500976                 NaN            NaN  0.461582E-001            NaN  0.414620                 NaN            NaN            NaN
  1416.24        500.000        98.4457       0.497204       0.550848                 NaN            NaN  0.504293E-001            NaN  0.455801                 NaN            NaN            NaN
  1415.14        500.000        98.4766       0.487170       0.540223                 NaN            NaN  0.491553E-001            NaN  0.446854                 NaN            NaN            NaN
  1414.05        500.000        98.5053       0.530511       0.477697                 NaN            NaN  0.479574E-001            NaN  0.438563                 NaN            NaN            NaN
  1412.96        500.000        98.5335       0.468912       0.520359                 NaN            NaN  0.468107E-001            NaN  0.430372                 NaN            NaN            NaN
  1411.87        500.000        98.5623       0.459539       0.510611                 NaN            NaN  0.455367E-001            NaN  0.421985                 NaN            NaN            NaN
  1410.77        500.000        98.5875       0.451525       0.501595                 NaN            NaN  0.445308E-001            NaN  0.414802                 NaN            NaN            NaN
  1409.68        500.000        98.6142       0.492590       0.443025                 NaN            NaN  0.433015E-001            NaN  0.406892                 NaN            NaN            NaN
  1408.59        500.000        98.6391       0.483763       0.434999                 NaN            NaN  0.423694E-001            NaN  0.399778                 NaN            NaN            NaN
  1407.50        500.000        98.6624       0.427422       0.475767                 NaN            NaN  0.413234E-001            NaN  0.393057                 NaN            NaN            NaN
  1406.40        500.000        98.6876       0.419355       0.467235                 NaN            NaN  0.402601E-001            NaN  0.385507                 NaN            NaN            NaN
  1405.31        500.000        98.7093       0.459711       0.412370                 NaN            NaN  0.393800E-001            NaN  0.379192                 NaN            NaN            NaN
  1404.22        500.000        99.6099       0.138958       0.124726                 NaN            NaN  0.116812E-001            NaN  0.114699                 NaN            NaN            NaN
  1403.13        500.000        97.8803       0.676133       0.757119                 NaN            NaN  0.636123E-001            NaN  0.622786                 NaN            NaN            NaN
  1402.03        500.000        98.7729       0.391856       0.437840                 NaN            NaN  0.367741E-001            NaN  0.360653                 NaN            NaN            NaN
  1400.94        500.000        98.7955       0.384373       0.430489                 NaN            NaN  0.356935E-001            NaN  0.353927                 NaN            NaN            NaN
  1399.85        500.000        98.8129       0.424304       0.378753                 NaN            NaN  0.350404E-001            NaN  0.349034                 NaN            NaN            NaN
  1398.76        500.000        98.8347       0.371573       0.417150                 NaN            NaN  0.341129E-001            NaN  0.342503                 NaN            NaN            NaN
  1397.66        500.000        98.8522       0.411305       0.365887                 NaN            NaN  0.333244E-001            NaN  0.337330                 NaN            NaN            NaN
  1396.57        500.000        98.8698       0.405252       0.360208                 NaN            NaN  0.325365E-001            NaN  0.332181                 NaN            NaN            NaN
  1395.48        500.000        98.8881       0.399104       0.354159                 NaN            NaN  0.317960E-001            NaN  0.326823                 NaN            NaN            NaN
  1394.39        500.000        98.9048       0.348565       0.393647                 NaN            NaN  0.310722E-001            NaN  0.321914                 NaN            NaN            NaN
  1393.29        500.000        98.9225       0.342680       0.387944                 NaN            NaN  0.302580E-001            NaN  0.316664                 NaN            NaN            NaN
  1392.20        500.000        98.9381       0.337739       0.382422                 NaN            NaN  0.296004E-001            NaN  0.312095                 NaN            NaN            NaN
  1391.11        500.000        98.9549       0.376885       0.332175                 NaN            NaN  0.289569E-001            NaN  0.307114                 NaN            NaN            NaN
  1390.02        500.000        98.9680       0.327798       0.372512                 NaN            NaN  0.283678E-001            NaN  0.303288                 NaN            NaN            NaN
  1388.92        500.000        98.9855       0.322252       0.366647                 NaN            NaN  0.276097E-001            NaN  0.298022                 NaN            NaN            NaN
  1387.83        500.000        99.0012       0.317020       0.361487                 NaN            NaN  0.269168E-001            NaN  0.293393                 NaN            NaN            NaN
  1386.74        500.000        99.0143       0.312566       0.357206                 NaN            NaN  0.263192E-001            NaN  0.289575                 NaN            NaN            NaN
  1385.65        500.000        99.0283       0.352577       0.307902                 NaN            NaN  0.257446E-001            NaN  0.285462                 NaN            NaN            NaN
  1384.55        500.000        99.0426       0.303174       0.347906                 NaN            NaN  0.251620E-001            NaN  0.281159                 NaN            NaN            NaN
  1383.46        500.000        99.0558       0.298845       0.343472                 NaN            NaN  0.245898E-001            NaN  0.277293                 NaN            NaN            NaN
  1382.37        500.000        99.0685       0.294903       0.339004                 NaN            NaN  0.240293E-001            NaN  0.273596                 NaN            NaN            NaN
  1381.28        500.000        99.0825       0.289674       0.335186                 NaN            NaN  0.233777E-001            NaN  0.269254                 NaN            NaN            NaN
  1380.18        500.000        99.0932       0.331582       0.286268                 NaN            NaN  0.228327E-001            NaN  0.266111                 NaN            NaN            NaN
