|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/EETA/EETA_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.2146       0.774263       0.111127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.2146       0.774335       0.111127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.2145       0.774407       0.111127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.2144       0.774478       0.111127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.2143       0.774550       0.111127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2143       0.774622       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2142       0.774694       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2141       0.774766       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2140       0.774838       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2140       0.774910       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2139       0.774983       0.111128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2138       0.775055       0.111129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2138       0.775127       0.111129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2137       0.775200       0.111129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2136       0.775272       0.111129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2135       0.775345       0.111130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.2135       0.775417       0.111130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.2134       0.775490       0.111130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2133       0.775563       0.111131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2133       0.775636       0.111131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2132       0.775709       0.111132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.2131       0.775782       0.111132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.2130       0.775855       0.111133E-001  0.705133E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.2011       0.776011       0.111145E-001  0.117835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1892       0.776167       0.111158E-001  0.234998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1758       0.776334       0.111172E-001  0.367463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1624       0.776500       0.111186E-001  0.499970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1490       0.776667       0.111200E-001  0.632520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1355       0.776833       0.111214E-001  0.765111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1221       0.777000       0.111228E-001  0.897745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1087       0.777166       0.111242E-001  0.103042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0952       0.777332       0.111256E-001  0.116314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0818       0.777498       0.111270E-001  0.129590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0689       0.777661       0.111283E-001  0.142324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0560       0.777823       0.111296E-001  0.155063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0431       0.777985       0.111310E-001  0.167805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0302       0.778147       0.111323E-001  0.180551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0173       0.778309       0.111337E-001  0.193301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0043       0.778471       0.111350E-001  0.206055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        98.9914       0.778633       0.111364E-001  0.218813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        98.9785       0.778795       0.111377E-001  0.231575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        98.9661       0.778953       0.111390E-001  0.243803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        98.9537       0.779111       0.111403E-001  0.256035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        98.9413       0.779269       0.111416E-001  0.268270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        98.9289       0.779427       0.111429E-001  0.280510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        98.9165       0.779585       0.111442E-001  0.292752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        98.9041       0.779743       0.111455E-001  0.304999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        98.8917       0.779900       0.111468E-001  0.317249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        98.8793       0.780058       0.111481E-001  0.329502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        98.8674       0.780212       0.111494E-001  0.341218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        98.8555       0.780366       0.111506E-001  0.352937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        98.8437       0.780519       0.111518E-001  0.364660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        98.8318       0.780673       0.111531E-001  0.376386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        98.8199       0.780827       0.111543E-001  0.388116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        98.8080       0.780980       0.111556E-001  0.399849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        98.7961       0.781134       0.111568E-001  0.411585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        98.7842       0.781287       0.111581E-001  0.423324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        98.7729       0.781437       0.111593E-001  0.434538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        98.7615       0.781587       0.111605E-001  0.445756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        98.7501       0.781737       0.111617E-001  0.456976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        98.7388       0.781886       0.111629E-001  0.468199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        98.7274       0.782036       0.111641E-001  0.479426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        98.7160       0.782185       0.111653E-001  0.490655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        98.7046       0.782335       0.111665E-001  0.501888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        98.6932       0.782484       0.111677E-001  0.513124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        98.6824       0.782630       0.111688E-001  0.523841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        98.6715       0.782776       0.111700E-001  0.534560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        98.6606       0.782922       0.111711E-001  0.545283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        98.6498       0.783067       0.111723E-001  0.556008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        98.6389       0.783213       0.111734E-001  0.566737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        98.6280       0.783359       0.111746E-001  0.577468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        98.6171       0.783504       0.111758E-001  0.588202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        98.6062       0.783650       0.111769E-001  0.598939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        98.5959       0.783792       0.111780E-001  0.609155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        98.5855       0.783933       0.111791E-001  0.619374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.5751       0.784075       0.111802E-001  0.629595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
