|6.6.6
Archiving\03_Data\eq/QFM_m2.75/GRV/GRV_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.1676       0.832422                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1676       0.832421                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1676       0.832420                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1676       0.832419                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1676       0.832419                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1676       0.832418                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1676       0.832417                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1676       0.832416                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1676       0.832416                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1676       0.832415                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1676       0.832414                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1676       0.832413                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1676       0.832412                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1676       0.832412                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1676       0.832411                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1676       0.832410                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1676       0.832409                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1676       0.832408                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1676       0.832407                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1676       0.832406                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1676       0.832406                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1676       0.832405                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1676       0.832404                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1676       0.832403                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1676       0.832402                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1676       0.832401                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1676       0.832400                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1676       0.832399                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1676       0.832398                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1676       0.832397                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1676       0.832396                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1676       0.832395                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1676       0.832394                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1676       0.832393                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1676       0.832392                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1676       0.832391                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1676       0.832390                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1676       0.832389                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1676       0.832388                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1676       0.832387                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1676       0.832386                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1676       0.832385                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1676       0.832383                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1676       0.832382                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1676       0.832381                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1676       0.832380                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1676       0.832379                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1676       0.832378                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1676       0.832377                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1676       0.832375                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1676       0.832374                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1676       0.832373                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1676       0.832372                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1676       0.832370                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1676       0.832369                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1676       0.832368                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1649       0.832366       0.268724E-002            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1449       0.832365       0.227147E-001            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1249       0.832363       0.427422E-001            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1049       0.832361       0.627695E-001            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.0848       0.832360       0.827968E-001            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.0648       0.832358       0.102824                 NaN            NaN            NaN            NaN
  1801.28        2500.00        99.0448       0.832356       0.122851                 NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0248       0.832354       0.142878                 NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0047       0.832353       0.162905                 NaN            NaN            NaN            NaN
  1791.67        2500.00        98.9858       0.832351       0.181855                 NaN            NaN            NaN            NaN
  1788.46        2500.00        98.9668       0.832349       0.200805                 NaN            NaN            NaN            NaN
  1785.26        2500.00        98.9479       0.832347       0.219755                 NaN            NaN            NaN            NaN
  1782.05        2500.00        98.9289       0.832345       0.238705                 NaN            NaN            NaN            NaN
  1778.85        2500.00        98.9104       0.832343       0.257214                 NaN            NaN            NaN            NaN
  1775.64        2500.00        98.8919       0.832342       0.275722                 NaN            NaN            NaN            NaN
  1772.44        2500.00        98.8739       0.832340       0.293727                 NaN            NaN            NaN            NaN
  1769.23        2500.00        98.2419       0.832343       0.311927       0.613848                 NaN            NaN            NaN
  1766.03        2500.00        97.3847       0.832347       0.329369        1.45355                 NaN            NaN            NaN
  1762.82        2500.00        96.5276       0.832352       0.346811        2.29326                 NaN            NaN            NaN
  1759.62        2500.00        95.6704       0.832357       0.364254        3.13297                 NaN            NaN            NaN
  1756.41        2500.00        94.8132       0.832362       0.381696        3.97270                 NaN            NaN            NaN
  1753.21        2500.00        93.9561       0.832367       0.399139        4.81244                 NaN            NaN            NaN
  1750.00        2500.00        93.0989       0.832372       0.416582        5.65219                 NaN            NaN            NaN
  1746.79        2500.00        92.2417       0.832376       0.434026        6.49195                 NaN            NaN            NaN
  1743.59        2500.00        91.3844       0.832381       0.451469        7.33171                 NaN            NaN            NaN
  1740.38        2500.00        90.5189       0.832387       0.467561        8.18111                 NaN            NaN            NaN
  1737.18        2500.00        89.6534       0.832392       0.483653        9.03052                 NaN            NaN            NaN
  1733.97        2500.00        88.7879       0.832397       0.499746        9.87993                 NaN            NaN            NaN
  1730.77        2500.00        87.9224       0.832403       0.515838        10.7294                 NaN            NaN            NaN
  1727.56        2500.00        87.0569       0.832408       0.531931        11.5788                 NaN            NaN            NaN
  1724.36        2500.00        86.1913       0.832414       0.548024        12.4283                 NaN            NaN            NaN
  1721.15        2500.00        85.3257       0.832419       0.564117        13.2777                 NaN            NaN            NaN
  1717.95        2500.00        84.4602       0.832424       0.580211        14.1272                 NaN            NaN            NaN
  1714.74        2500.00        83.6116       0.832430       0.595020        14.9610                 NaN            NaN            NaN
  1711.54        2500.00        82.7629       0.832436       0.609830        15.7948                 NaN            NaN            NaN
  1708.33        2500.00        81.9143       0.832441       0.624640        16.6286                 NaN            NaN            NaN
  1705.13        2500.00        81.0657       0.832447       0.639450        17.4624                 NaN            NaN            NaN
  1701.92        2500.00        80.2170       0.832453       0.654261        18.2963                 NaN            NaN            NaN
  1698.72        2500.00        79.3683       0.832458       0.669071        19.1301                 NaN            NaN            NaN
  1695.51        2500.00        78.5197       0.832464       0.683882        19.9640                 NaN            NaN            NaN
  1692.31        2500.00        77.6710       0.832469       0.698693        20.7979                 NaN            NaN            NaN
  1689.10        2500.00        76.8530       0.832475       0.712493        21.6021                 NaN            NaN            NaN
  1685.90        2500.00        76.0349       0.832481       0.726294        22.4063                 NaN            NaN            NaN
  1682.69        2500.00        75.2169       0.832486       0.740094        23.2105                 NaN            NaN            NaN
  1679.49        2500.00        74.3989       0.832492       0.753895        24.0147                 NaN            NaN            NaN
  1676.28        2500.00        73.6006       0.832498       0.767289        24.7996                 NaN            NaN            NaN
