|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1615.38        2500.00        99.9788                 NaN  0.211504E-001  0.149857E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.8535                 NaN  0.249817E-001  0.113934       0.761109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        98.5008                 NaN   1.43165       0.675669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.0837                 NaN  0.810077       0.106224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.0656                 NaN  0.827683       0.106706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1095                 NaN  0.788748       0.101799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        99.0980                 NaN  0.800034       0.101992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.1117                 NaN  0.787084       0.101204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.1190                 NaN  0.781866       0.991666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1245                 NaN  0.777150       0.983413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.1307                 NaN  0.773537       0.957200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.1464                 NaN  0.758172       0.954334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.1514                 NaN  0.754382       0.941922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.1592                 NaN  0.747043       0.937639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.1669                 NaN  0.742336       0.907981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.1748                 NaN  0.734607       0.906043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.1820                 NaN  0.729459       0.885220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.1852                 NaN  0.723402       0.914410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        99.2029                 NaN  0.711613       0.854940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.2040                 NaN  0.709536       0.864408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.2112                 NaN  0.704278       0.844968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.2163                 NaN  0.701060       0.826557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.2246                 NaN  0.693972       0.813803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.2309                 NaN  0.688675       0.804139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.2377                 NaN  0.682784       0.794850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.2429                 NaN  0.679322       0.777614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.2473                 NaN  0.675228       0.774447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.2585                 NaN  0.665117       0.764283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.1981                 NaN  0.721102       0.808434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.7809                 NaN  0.196970       0.221122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        98.8314                 NaN   1.05059       0.117968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.2804                 NaN  0.647862       0.717058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.2859                 NaN  0.644330       0.698168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.2902                 NaN  0.641778       0.680307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        98.9592                 NaN  0.975921       0.648943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.5933                 NaN  0.368363       0.383704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3096                 NaN  0.624144       0.662748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3137                 NaN  0.620759       0.655194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.3195                 NaN  0.615625       0.648743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.3250                 NaN  0.611562       0.634109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        99.2675                 NaN  0.662356       0.701909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
