|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1615.38        2500.00        99.9812                 NaN  0.188372E-001  0.130463E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.8736                 NaN  0.222442E-001  0.991529E-001  0.496693E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        98.6647                 NaN   1.27641       0.588678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.1860                 NaN  0.721602       0.924313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.1702                 NaN  0.737002       0.928295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.2092                 NaN  0.702309       0.885210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        99.1992                 NaN  0.712128       0.886661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.2116                 NaN  0.700423       0.879372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.2182                 NaN  0.695695       0.861449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.2234                 NaN  0.691188       0.853915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.2290                 NaN  0.687936       0.830496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.2431                 NaN  0.674050       0.828015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.2477                 NaN  0.670579       0.816998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2548                 NaN  0.663953       0.812964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.2617                 NaN  0.659584       0.786874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.2690                 NaN  0.652483       0.784851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.2755                 NaN  0.647813       0.766577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.2787                 NaN  0.642143       0.791624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        99.2943                 NaN  0.631728       0.739993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.2956                 NaN  0.629628       0.747654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.3021                 NaN  0.624819       0.730585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.3068                 NaN  0.621814       0.714326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.3143                 NaN  0.615413       0.703077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.3200                 NaN  0.610548       0.694472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.3262                 NaN  0.605186       0.686169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.3309                 NaN  0.602012       0.671129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.3350                 NaN  0.598182       0.668238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.3450                 NaN  0.589088       0.659026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.2917                 NaN  0.638619       0.696866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.8066                 NaN  0.174357       0.190559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        98.9680                 NaN  0.930292       0.101662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3650                 NaN  0.573269       0.617333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.3699                 NaN  0.570029       0.600907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.3738                 NaN  0.567700       0.585255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        99.0821                 NaN  0.862305       0.556332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
