|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.152874E-001   99.8932       0.162746E-001  0.752322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.118536E-003   99.9172       0.236970E-001  0.589492E-001            NaN            NaN  0.466150E-004            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.115531E-002   98.8105       0.831129       0.357265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.573999E-003   99.3711       0.444042       0.178169                 NaN            NaN  0.614229E-002            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.415000E-003   99.3731       0.487922       0.714853E-001            NaN            NaN  0.670450E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.516027E-003   99.3919       0.182683       0.424854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.519565E-003   99.3806       0.432800       0.186064                 NaN            NaN  0.651491E-005            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.472446E-003   99.3845       0.174292       0.434900                 NaN            NaN  0.579038E-002            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.365460E-003   99.3955       0.108953       0.453350                 NaN            NaN  0.418040E-001            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.450284E-003   99.3906       0.425513       0.183412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.339599E-003   99.4013       0.119182       0.443887                 NaN            NaN  0.352766E-001            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.409145E-003   99.3964       0.181704       0.421518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.379124E-003   99.3989       0.420215       0.180521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.362364E-003   99.4018       0.179622       0.418221                 NaN            NaN  0.139114E-004            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.293092E-003   99.4098       0.426940       0.142778                 NaN            NaN  0.201886E-001            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.321148E-003   99.4081       0.414894       0.174852                 NaN            NaN  0.178367E-002            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.284033E-003   99.3714       0.456030       0.149771                 NaN            NaN  0.225635E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.224465E-003   99.4628       0.129233       0.388951                 NaN            NaN  0.187771E-001            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.129962E-003   99.4304       0.455509E-001  0.439911                 NaN            NaN  0.840309E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.201281E-003   99.4272       0.153647       0.418847                 NaN            NaN  0.109225E-003            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.233629E-003   99.4131       0.175940       0.410758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.173051E-003   99.4367       0.137429       0.407176                 NaN            NaN  0.185470E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.100065E-003   99.4392       0.844255E-001  0.427661                 NaN            NaN  0.485795E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.169614E-003   99.4294       0.399392       0.171026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.980883E-004   99.3778       0.460696       0.126969                 NaN            NaN  0.344414E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.134456E-003   99.4965       0.352566       0.150806                 NaN            NaN  0.168550E-005            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.142669E-003   99.4353       0.168601       0.395988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.9607       0.250407       0.446643                 NaN            NaN  0.805254E-001  0.261751                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.4542       0.519567       0.269664                 NaN            NaN  0.207390       0.549226                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.4763       0.261143       0.514217                 NaN            NaN  0.206587       0.541764                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4959       0.510458       0.252310                 NaN            NaN  0.206150       0.535205                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5172       0.505299       0.244076                 NaN            NaN  0.205486       0.527986                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5375       0.500472       0.236126                 NaN            NaN  0.204771       0.521146                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5509       0.227942       0.498950                 NaN            NaN  0.205079       0.517178                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5807       0.491355       0.218507                 NaN            NaN  0.203299       0.506158                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5941       0.212030       0.488540                 NaN            NaN  0.203096       0.502194                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6113       0.484994       0.205155                 NaN            NaN  0.202571       0.496026                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6302       0.481747       0.196271                 NaN            NaN  0.201975       0.489791                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.6472       0.478295       0.188862                 NaN            NaN  0.201533       0.484086                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.6641       0.474946       0.181645                 NaN            NaN  0.200961       0.478342                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6780       0.153391       0.478534                 NaN            NaN  0.213483       0.476619                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6985       0.461010       0.189864                 NaN            NaN  0.186841       0.463800                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7102       0.158860       0.466652                 NaN            NaN  0.201119       0.463185                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7327       0.459397       0.156640                 NaN            NaN  0.196989       0.454229                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7440       0.458838       0.147792                 NaN            NaN  0.198258       0.451110                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7531       0.461038       0.138754                 NaN            NaN  0.198685       0.448452                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7779       0.450315       0.136463                 NaN            NaN  0.196214       0.439072                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7869       0.129079       0.450480                 NaN            NaN  0.197020       0.436540                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8018       0.447971       0.123333                 NaN            NaN  0.195857       0.431044                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8166       0.445533       0.116179                 NaN            NaN  0.195623       0.426034                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8237       0.446999       0.110340                 NaN            NaN  0.195305       0.423669                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8471       0.105665       0.438235                 NaN            NaN  0.193661       0.415295                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.8559       0.996212E-001  0.437848                 NaN            NaN  0.194044       0.412548                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.8701       0.435042       0.942239E-001            NaN            NaN  0.193094       0.407557                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8837       0.891277E-001  0.432073                 NaN            NaN  0.192250       0.402810                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8952       0.834084E-001  0.430676                 NaN            NaN  0.191838       0.398892                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.9057       0.429993       0.769775E-001            NaN            NaN  0.191991       0.395373                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9207       0.425439       0.743388E-001            NaN            NaN  0.189798       0.389704                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9302       0.424574       0.686017E-001            NaN            NaN  0.190019       0.386574                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9409       0.422672       0.643380E-001            NaN            NaN  0.189255       0.382809                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.9541       0.420951       0.585204E-001            NaN            NaN  0.188362       0.378111                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.9654       0.541209E-001  0.418813                 NaN            NaN  0.187702       0.373994                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.9761       0.417305       0.495023E-001            NaN            NaN  0.186851       0.370248                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.9873       0.415250       0.450616E-001            NaN            NaN  0.186105       0.366323                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9970       0.413652       0.407200E-001            NaN            NaN  0.185675       0.362911                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.2213       0.287560E-001  0.319727                 NaN            NaN  0.147393       0.282786                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.8019       0.498673       0.466750E-001            NaN            NaN  0.220916       0.431840                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0286       0.290441E-001  0.407963                 NaN            NaN  0.182897       0.351458                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0385       0.245991E-001  0.407123                 NaN            NaN  0.181895       0.347867                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0474       0.406416       0.201857E-001            NaN            NaN  0.181240       0.344806                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.0555       0.406398       0.153232E-001            NaN            NaN  0.180945       0.341871                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0613       0.407217       0.114148E-001            NaN            NaN  0.180575       0.339456                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0814       0.400758       0.101445E-001            NaN            NaN  0.176172       0.331499                 NaN            NaN            NaN
