|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        99.8902                 NaN  0.587379E-001  0.510614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2194                 NaN  0.377864       0.402729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1260                 NaN  0.354384       0.519569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1294                 NaN  0.517082       0.353476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1401                 NaN  0.348856       0.511085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1415                 NaN  0.347423       0.511054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1475                 NaN  0.507399       0.345111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1515                 NaN  0.505342       0.343123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1578                 NaN  0.501231       0.340933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        97.5849                 NaN  0.930217        1.45517       0.253930E-001  0.434904E-002            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1731                 NaN  0.352851       0.474011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.9103                 NaN  0.361546E-001  0.535585E-001            NaN  0.114656E-005            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2468                 NaN  0.449944       0.303292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.1890                 NaN  0.484218       0.326777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.1928                 NaN  0.482109       0.325136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.1968                 NaN  0.323268       0.479925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.2013                 NaN  0.320724       0.477973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.2043                 NaN  0.476219       0.319437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2112                 NaN  0.471683       0.317158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.1082                 NaN  0.530438       0.361397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.3291                 NaN  0.270539       0.400353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.2234                 NaN  0.311224       0.465402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        98.8940                 NaN  0.512043       0.453063                 NaN            NaN  0.140908                 NaN            NaN            NaN            NaN
  1424.74        500.000        97.8106                 NaN  0.699003       0.917963                 NaN            NaN  0.572392                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.2091                 NaN  0.750390       0.572628                 NaN            NaN  0.467912                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.0558                 NaN  0.622021       0.814470                 NaN            NaN  0.507732                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.0832                 NaN  0.614012       0.802426                 NaN            NaN  0.500362                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.1120                 NaN  0.790181       0.605618                 NaN            NaN  0.492179                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.1392                 NaN  0.597061       0.778776                 NaN            NaN  0.484917                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.1655                 NaN  0.589062       0.767433                 NaN            NaN  0.478030                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.1924                 NaN  0.755889       0.581057                 NaN            NaN  0.470656                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.2164                 NaN  0.573320       0.745977                 NaN            NaN  0.464324                 NaN            NaN            NaN            NaN
