|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        99.9043                 NaN  0.514219E-001  0.442632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.3196                 NaN  0.331051       0.349330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2377                 NaN  0.307280       0.455057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2408                 NaN  0.452823       0.306380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2504                 NaN  0.302239       0.447383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2520                 NaN  0.300845       0.447187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2575                 NaN  0.443843       0.298704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2613                 NaN  0.441881       0.296837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2670                 NaN  0.438146       0.294810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        97.8948                 NaN  0.805579        1.27417       0.218583E-001  0.355410E-002            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2815                 NaN  0.304614       0.413894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.9221                 NaN  0.311751E-001  0.467000E-001            NaN  0.936655E-006            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.3457                 NaN  0.392602       0.261652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2958                 NaN  0.422407       0.281779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2993                 NaN  0.420417       0.280233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.3032                 NaN  0.278478       0.418356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.3074                 NaN  0.276141       0.416494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3103                 NaN  0.414811       0.274899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.3165                 NaN  0.410714       0.272803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.2275                 NaN  0.461761       0.310777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.4192                 NaN  0.232455       0.348308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.3279                 NaN  0.267305       0.404806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        99.0172                 NaN  0.445288       0.389004                 NaN            NaN  0.148496                 NaN            NaN            NaN            NaN
  1424.74        500.000        98.0001                 NaN  0.608039       0.788230                 NaN            NaN  0.603679                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.3651                 NaN  0.643749       0.497764                 NaN            NaN  0.493349                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.2256                 NaN  0.540573       0.698419                 NaN            NaN  0.535443                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.2513                 NaN  0.533363       0.687674                 NaN            NaN  0.527690                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.2783                 NaN  0.676768       0.525887                 NaN            NaN  0.519076                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.3038                 NaN  0.518199       0.666538                 NaN            NaN  0.511429                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.3283                 NaN  0.511065       0.656429                 NaN            NaN  0.504175                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.3535                 NaN  0.646159       0.503922                 NaN            NaN  0.496404                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.3760                 NaN  0.496966       0.637299                 NaN            NaN  0.489731                 NaN            NaN            NaN            NaN
  1414.54        500.000        98.4004                 NaN  0.490809       0.627034                 NaN            NaN  0.481750                 NaN            NaN            NaN            NaN
  1413.41        500.000        98.4214                 NaN  0.618983       0.484165                 NaN            NaN  0.475466                 NaN            NaN            NaN            NaN
  1412.28        500.000        98.4365                 NaN  0.479473       0.613135                 NaN            NaN  0.470843                 NaN            NaN            NaN            NaN
  1411.15        500.000        98.4722                 NaN  0.598500       0.469541                 NaN            NaN  0.459774                 NaN            NaN            NaN            NaN
  1410.01        500.000        98.4862                 NaN  0.592821       0.465540                 NaN            NaN  0.455412                 NaN            NaN            NaN            NaN
  1408.88        500.000        98.5058                 NaN  0.459738       0.585201                 NaN            NaN  0.449217                 NaN            NaN            NaN            NaN
  1407.75        500.000        98.5260                 NaN  0.576856       0.454207                 NaN            NaN  0.442935                 NaN            NaN            NaN            NaN
  1406.61        500.000        98.5449                 NaN  0.569319       0.448649                 NaN            NaN  0.437162                 NaN            NaN            NaN            NaN
  1405.48        500.000        98.5644                 NaN  0.442897       0.561401                 NaN            NaN  0.431291                 NaN            NaN            NaN            NaN
  1404.35        500.000        99.9373                 NaN  0.474245E-001            NaN            NaN  0.459623E-002  0.106617E-001            NaN            NaN            NaN            NaN
  1403.22        500.000        97.2472                 NaN   1.04765       0.869765                 NaN            NaN  0.835339                 NaN            NaN            NaN            NaN
  1402.08        500.000        98.6198                 NaN  0.434524       0.489734                 NaN  0.343217E-001  0.421648                 NaN            NaN            NaN            NaN
  1400.95        500.000        98.6268                 NaN  0.453638       0.352182                 NaN  0.127104       0.440300                 NaN            NaN            NaN            NaN
  1399.82        500.000        98.6488                 NaN  0.447133       0.341536                 NaN  0.128587       0.433927                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.6653                 NaN  0.443009       0.333753                 NaN  0.128902       0.429040                 NaN            NaN            NaN            NaN
  1397.55        500.000        98.6818                 NaN  0.438610       0.325344                 NaN  0.130045       0.424205                 NaN            NaN            NaN            NaN
  1396.42        500.000        98.6961                 NaN  0.435142       0.317596                 NaN  0.131130       0.420067                 NaN            NaN            NaN            NaN
  1395.29        500.000        98.7132                 NaN  0.309926       0.430553                 NaN  0.131594       0.414764                 NaN            NaN            NaN            NaN
  1394.16        500.000        98.7272                 NaN  0.427030       0.301996                 NaN  0.132898       0.410850                 NaN            NaN            NaN            NaN
  1393.02        500.000        98.7418                 NaN  0.422841       0.295140                 NaN  0.133820       0.406399                 NaN            NaN            NaN            NaN
  1391.89        500.000        98.7574                 NaN  0.287755       0.418888                 NaN  0.134125       0.401789                 NaN            NaN            NaN            NaN
  1390.76        500.000        98.7647                 NaN  0.417529       0.281466                 NaN  0.136560       0.399730                 NaN            NaN            NaN            NaN
  1389.63        500.000        98.7928                 NaN  0.409435       0.272105                 NaN  0.134813       0.390873                 NaN            NaN            NaN            NaN
  1388.49        500.000        98.8000                 NaN  0.408144       0.265592                 NaN  0.136951       0.389306                 NaN            NaN            NaN            NaN
  1387.36        500.000        98.8125                 NaN  0.404954       0.259150                 NaN  0.137885       0.385513                 NaN            NaN            NaN            NaN
  1386.23        500.000        98.8261                 NaN  0.251925       0.401367                 NaN  0.138934       0.381724                 NaN            NaN            NaN            NaN
  1385.09        500.000        98.8404                 NaN  0.245299       0.398080                 NaN  0.139131       0.377127                 NaN            NaN            NaN            NaN
  1383.96        500.000        98.8520                 NaN  0.395106       0.238574                 NaN  0.140332       0.373977                 NaN            NaN            NaN            NaN
  1382.83        500.000        98.8631                 NaN  0.233102       0.392080                 NaN  0.141049       0.370639                 NaN            NaN            NaN            NaN
  1381.70        500.000        98.8775                 NaN  0.226373       0.388102                 NaN  0.141786       0.366273                 NaN            NaN            NaN            NaN
  1380.56        500.000        98.8896                 NaN  0.385267       0.219690                 NaN  0.142677       0.362769                 NaN            NaN            NaN            NaN
  1379.43        500.000        98.9013                 NaN  0.213766       0.382392                 NaN  0.143332       0.359219                 NaN            NaN            NaN            NaN
  1378.30        500.000        98.9129                 NaN  0.379429       0.207797                 NaN  0.144124       0.355747                 NaN            NaN            NaN            NaN
  1377.17        500.000        98.9207                 NaN  0.377903       0.202785                 NaN  0.145025       0.353630                 NaN            NaN            NaN            NaN
  1376.03        500.000        98.9375                 NaN  0.195802       0.373231                 NaN  0.145192       0.348268                 NaN            NaN            NaN            NaN
  1374.90        500.000        98.9449                 NaN  0.371864       0.190244                 NaN  0.146545       0.346442                 NaN            NaN            NaN            NaN
  1373.77        500.000        98.9581                 NaN  0.184844       0.368308                 NaN  0.146572       0.342132                 NaN            NaN            NaN            NaN
  1372.64        500.000        98.9681                 NaN  0.179381       0.365740                 NaN  0.147509       0.339241                 NaN            NaN            NaN            NaN
  1371.50        500.000        98.9779                 NaN  0.363591       0.173743                 NaN  0.148336       0.336471                 NaN            NaN            NaN            NaN
  1370.37        500.000        98.9884                 NaN  0.169338       0.360474                 NaN  0.148683       0.333145                 NaN            NaN            NaN            NaN
  1369.24        500.000        99.1230                 NaN  0.139844       0.314369                 NaN  0.132429       0.290338                 NaN            NaN            NaN            NaN
  1368.11        500.000        98.8846                 NaN  0.181405       0.400173                 NaN  0.166790       0.366991                 NaN            NaN            NaN            NaN
  1366.97        500.000        99.0187                 NaN  0.352934       0.153669                 NaN  0.150549       0.324121                 NaN            NaN            NaN            NaN
  1365.84        500.000        99.0281                 NaN  0.148739       0.351079                 NaN  0.151015       0.321065                 NaN            NaN            NaN            NaN
  1364.71        500.000        99.0372                 NaN  0.144356       0.348758                 NaN  0.151389       0.318322                 NaN            NaN            NaN            NaN
  1363.57        500.000        99.0465                 NaN  0.346715       0.139331                 NaN  0.151949       0.315500                 NaN            NaN            NaN            NaN
  1362.44        500.000        99.0517                 NaN  0.346044       0.134693                 NaN  0.153262       0.314256                 NaN            NaN            NaN            NaN
  1361.31        500.000        99.0679                 NaN  0.340393       0.131244                 NaN  0.151834       0.308582                 NaN            NaN            NaN            NaN
  1360.18        500.000        99.0731                 NaN  0.340212       0.126259                 NaN  0.153139       0.307289                 NaN            NaN            NaN            NaN
  1359.04        500.000        99.0823                 NaN  0.337557       0.122298                 NaN  0.153381       0.304472                 NaN            NaN            NaN            NaN
  1357.91        500.000        99.0896                 NaN  0.336656       0.117097                 NaN  0.154296       0.302376                 NaN            NaN            NaN            NaN
  1356.78        500.000        99.0996                 NaN  0.114150       0.333736                 NaN  0.153656       0.298895                 NaN            NaN            NaN            NaN
  1355.65        500.000        99.1062                 NaN  0.332619       0.109083                 NaN  0.154849       0.297288                 NaN            NaN            NaN            NaN
  1354.51        500.000        99.9178                 NaN  0.230392E-001            NaN            NaN  0.280348E-001  0.311609E-001            NaN            NaN            NaN            NaN
  1353.38        500.000        98.3185                 NaN  0.191011       0.657360                 NaN  0.278651       0.554477                 NaN            NaN            NaN            NaN
  1352.25        500.000        99.1300                 NaN  0.103174       0.325736                 NaN  0.152217       0.288825                 NaN            NaN            NaN            NaN
  1351.12        500.000        99.1383                 NaN  0.325354       0.916826E-001            NaN  0.157347       0.287292                 NaN            NaN            NaN            NaN
  1349.98        500.000        99.1459                 NaN  0.920989E-001  0.322519                 NaN  0.155026       0.284485                 NaN            NaN            NaN            NaN
  1348.85        500.000        99.1533                 NaN  0.321086       0.885403E-001            NaN  0.155062       0.282002                 NaN            NaN            NaN            NaN
