|6.6.6
Archiving\03_Data\eq/QFM_m5/TIS/TIS_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1881.41        2500.00        92.1449        1.00353        6.83551       0.161111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.1236        1.00359        6.85673       0.161121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        92.1023        1.00365        6.87796       0.161130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        92.0810        1.00371        6.89919       0.161140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        92.0606        1.00376        6.91948       0.161149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        92.0403        1.00382        6.93976       0.161158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        92.0200        1.00388        6.96005       0.161167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        91.9996        1.00394        6.98034       0.161177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        91.9793        1.00399        7.00064       0.161186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        91.9589        1.00405        7.02093       0.161195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        91.9385        1.00411        7.04123       0.161204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        91.9182        1.00416        7.06153       0.161213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        91.8988        1.00422        7.08090       0.161222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        91.8793        1.00427        7.10027       0.161231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        91.8599        1.00433        7.11964       0.161240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        91.8405        1.00438        7.13901       0.161248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        91.8211        1.00444        7.15839       0.161257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        91.8016        1.00449        7.17776       0.161266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        91.7822        1.00455        7.19714       0.161275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        91.7627        1.00460        7.21653       0.161284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        91.7442        1.00465        7.23498       0.161292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        91.7257        1.00471        7.25344       0.161300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        91.7072        1.00476        7.27190       0.161309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        91.6887        1.00481        7.29037       0.161317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        91.6702        1.00486        7.30883       0.161325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        91.6517        1.00491        7.32730       0.161334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        91.6331        1.00497        7.34577       0.161342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        91.6146        1.00502        7.36424       0.161350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        91.5970        1.00507        7.38179       0.161358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        91.5794        1.00512        7.39933       0.161366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        91.5618        1.00517        7.41688       0.161374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        91.5442        1.00522        7.43443       0.161382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        91.5266        1.00527        7.45198       0.161390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        91.5090        1.00531        7.46954       0.161398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        91.4914        1.00536        7.48709       0.161406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        91.4738        1.00541        7.50465       0.161414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        91.4571        1.00546        7.52129       0.161421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        91.4404        1.00551        7.53794       0.161429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        91.4237        1.00555        7.55459       0.161436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        91.4070        1.00560        7.57123       0.161444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        91.3903        1.00565        7.58788       0.161452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        91.3736        1.00569        7.60453       0.161459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        91.3569        1.00574        7.62119       0.161467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        91.3402        1.00579        7.63784       0.161474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        91.3244        1.00583        7.65359       0.161481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        91.3086        1.00588        7.66934       0.161488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        91.2928        1.00592        7.68510       0.161495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        91.2770        1.00597        7.70085       0.161503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        91.2612        1.00601        7.71661       0.161510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        91.2454        1.00605        7.73236       0.161517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        91.2296        1.00610        7.74812       0.161524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        91.2138        1.00614        7.76388       0.161531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        91.1989        1.00618        7.77873       0.161538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        91.1840        1.00623        7.79358       0.161544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        91.1692        1.00627        7.80842       0.161551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        91.1543        1.00631        7.82327       0.161558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        91.1394        1.00635        7.83812       0.161565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        91.1245        1.00639        7.85298       0.161571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        91.1096        1.00644        7.86783       0.161578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        91.0947        1.00648        7.88268       0.161585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        91.0842        1.00651        7.89311       0.161589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        91.0738        1.00654        7.90353       0.161594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        91.0633        1.00657        7.91396       0.161599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        91.0529        1.00659        7.92439       0.161603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        91.0424        1.00662        7.93481       0.161608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        91.0319        1.00665        7.94524       0.161613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        91.0215        1.00668        7.95567       0.161618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        91.0110        1.00671        7.96610       0.161622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        90.9906        1.00677        7.98642       0.161631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        90.9703        1.00683        8.00675       0.161641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        90.9499        1.00688        8.02707       0.161650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        90.9295        1.00694        8.04740       0.161659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        90.9165        1.00698        8.06039       0.161665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        90.9035        1.00701        8.07337       0.161671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        90.8844        1.00704        8.08489       0.161676E-001  0.745148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        90.8585        1.00707        8.09497       0.161680E-001  0.233379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        90.8330        1.00710        8.10484       0.161685E-001  0.389191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        90.8075        1.00713        8.11471       0.161689E-001  0.545012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        90.7820        1.00716        8.12458       0.161693E-001  0.700841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        90.7565        1.00718        8.13445       0.161698E-001  0.856679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        90.7317        1.00721        8.14403       0.161702E-001  0.100846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        90.7070        1.00724        8.15361       0.161706E-001  0.116025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        90.6765        1.00727        8.16537       0.161712E-001  0.134709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        89.8867        1.00730        8.17457       0.161716E-001  0.133357       0.781946                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        88.1052        1.00733        8.18783       0.161722E-001  0.116717        2.56675                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        86.3236        1.00737        8.20111       0.161729E-001  0.100075        4.35169                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        84.5418        1.00741        8.21438       0.161735E-001  0.834315E-001   6.13676                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        82.7600        1.00745        8.22765       0.161741E-001  0.667871E-001   7.92198                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        81.1387        1.00748        8.23880       0.161746E-001  0.485351E-001   9.55026                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        79.5174        1.00752        8.24995       0.161752E-001  0.302819E-001   11.1786                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        77.9676        1.00755        8.26004       0.161756E-001  0.118443E-001   12.7368                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        76.4916        1.00756        8.26270       0.161247E-001            NaN   14.1749       0.470835E-001            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        75.2266        1.00753        8.25242       0.160123E-001            NaN   15.3463       0.151199                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        73.9616        1.00750        8.24214       0.158999E-001            NaN   16.5176       0.255309                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        72.6967        1.00747        8.23186       0.157875E-001            NaN   17.6888       0.359414                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        71.4318        1.00744        8.22158       0.156751E-001            NaN   18.8600       0.463512                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        70.1671        1.00741        8.21131       0.155627E-001            NaN   20.0311       0.567604                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        68.9024        1.00738        8.20103       0.154504E-001            NaN   21.2021       0.671691                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        67.6377        1.00736        8.19075       0.153380E-001            NaN   22.3730       0.775771                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        66.3732        1.00733        8.18048       0.152257E-001            NaN   23.5439       0.879846                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        65.3181        1.00728        8.16491       0.151275E-001            NaN   24.5222       0.972327                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        64.2631        1.00724        8.14935       0.150293E-001            NaN   25.5005        1.06480                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        63.2082        1.00720        8.13379       0.149311E-001            NaN   26.4786        1.15727                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        62.1534        1.00715        8.11823       0.148330E-001            NaN   27.4566        1.24972                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        61.0987        1.00711        8.10267       0.147348E-001            NaN   28.4346        1.34217                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        60.0441        1.00707        8.08712       0.146367E-001            NaN   29.4125        1.43461                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        58.9896        1.00702        8.07156       0.145385E-001            NaN   30.3903        1.52705                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        57.9351        1.00698        8.05601       0.144404E-001            NaN   31.3680        1.61947                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        56.6427        1.00697        8.05271       0.144498E-001            NaN   31.1870        1.61347        1.48267                 NaN            NaN            NaN            NaN
  1532.05        2500.00        55.1022        1.00700        8.06132       0.145340E-001            NaN   30.2000        1.53824        4.07670                 NaN            NaN            NaN            NaN
  1528.85        2500.00        53.5280        1.00703        8.07198       0.146138E-001            NaN   29.2546        1.46681        6.65692                 NaN            NaN            NaN            NaN
  1525.64        2500.00        51.9538        1.00706        8.08263       0.146935E-001            NaN   28.3092        1.39537        9.23731                 NaN            NaN            NaN            NaN
  1522.44        2500.00        50.3563        1.00710        8.09438       0.147643E-001            NaN   27.4401        1.33187        11.7555                 NaN            NaN            NaN            NaN
  1519.23        2500.00        48.4689        1.00719        8.12627       0.148280E-001            NaN   26.7803        1.27507        13.5563       0.771152                 NaN            NaN            NaN
  1516.03        2500.00        48.4689        1.00719        8.12627       0.148280E-001            NaN   26.7803        1.27507        13.5563       0.771152                 NaN            NaN            NaN
  1512.82        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1509.62        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1506.41        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1503.21        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1500.00        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1496.79        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1493.59        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1490.38        2500.00        44.6288        1.00741        8.20143       0.149433E-001            NaN   25.8533        1.17211        15.8798        3.24229                 NaN            NaN            NaN
  1487.18        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1483.97        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1480.77        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1477.56        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1474.36        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1471.15        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1467.95        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1464.74        2500.00        32.5192        1.00775        8.31976       0.151471E-001            NaN   23.8654       0.992962        11.3950        21.8848                 NaN            NaN            NaN
  1461.54        2500.00        24.1179        1.00733        8.17144       0.148429E-001            NaN   23.7592        1.28962        24.1213        17.5184                 NaN            NaN            NaN
  1458.33        2500.00        24.1179        1.00733        8.17144       0.148429E-001            NaN   23.7592        1.28962        24.1213        17.5184                 NaN            NaN            NaN
  1455.13        2500.00        24.1179        1.00733        8.17144       0.148429E-001            NaN   23.7592        1.28962        24.1213        17.5184                 NaN            NaN            NaN
  1451.92        2500.00        24.1179        1.00733        8.17144       0.148429E-001            NaN   23.7592        1.28962        24.1213        17.5184                 NaN            NaN            NaN
  1448.72        2500.00        20.8242        1.00688        8.00958       0.145049E-001            NaN   24.1183        1.61599        24.3479        20.0627                 NaN            NaN            NaN
  1445.51        2500.00        20.0905        1.00673        7.95884       0.143944E-001  0.187225E-003   24.2047        1.72278        24.3635        20.6384                 NaN            NaN            NaN
  1442.31        2500.00        19.3637        1.00656        7.89791       0.142764E-001  0.259429E-001   24.0856        1.83606        21.2001        24.5698                 NaN            NaN            NaN
  1439.10        2500.00        18.3034        1.00641        7.84415       0.140722E-001  0.543164E-001   23.7387        2.03277        21.6224        25.1208       0.263036                 NaN            NaN
  1435.90        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1432.69        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1429.49        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1426.28        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1423.08        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1419.87        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1416.67        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1413.46        2500.00        17.0678        1.00626        7.79017       0.137935E-001  0.846378E-001   23.2063        2.30117        25.9149        21.9116       0.703405                 NaN            NaN
  1410.26        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1407.05        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1403.85        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1400.64        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1397.44        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1394.23        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1391.03        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1387.82        2500.00        10.1968        1.00420        7.05930       0.109910E-001  0.342062        18.6594        4.98293        23.1503        31.1659        3.42805                 NaN            NaN
  1384.62        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1381.41        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1378.21        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1375.00        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1371.79        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1368.59        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
  1365.38        2500.00        6.00948        1.00086        5.87559       0.709292E-002  0.631797        13.2214        8.68494        35.8244        23.2632        5.48120                 NaN            NaN
