|6.6.6
Archiving\03_Data\eq/QFM_m5/TIS/TIS_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.7627       0.824513        2.40695       0.581370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.7524       0.824659        2.41716       0.581419E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.7420       0.824805        2.42736       0.581468E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.7317       0.824950        2.43757       0.581517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.7213       0.825096        2.44778       0.581566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.7109       0.825241        2.45800       0.581614E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.7006       0.825387        2.46821       0.581663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.6902       0.825532        2.47843       0.581712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.6799       0.825677        2.48865       0.581761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.6699       0.825820        2.49847       0.581808E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.6599       0.825962        2.50828       0.581856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.6500       0.826104        2.51810       0.581903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.6400       0.826246        2.52793       0.581950E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.6300       0.826389        2.53775       0.581997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.6201       0.826531        2.54758       0.582044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.6101       0.826673        2.55741       0.582092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.6001       0.826815        2.56724       0.582139E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.5906       0.826954        2.57667       0.582184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.5810       0.827093        2.58611       0.582230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.5714       0.827233        2.59555       0.582275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.5618       0.827372        2.60499       0.582321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.5522       0.827511        2.61443       0.582367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.5426       0.827650        2.62388       0.582412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.5331       0.827789        2.63333       0.582458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.5235       0.827928        2.64278       0.582504E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.5143       0.828064        2.65183       0.582548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.5051       0.828200        2.66089       0.582592E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.4959       0.828336        2.66996       0.582635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
