|6.6.6
Archiving\03_Data\Deqfrac/QFM/T13/T13_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1621.79        2500.00        99.4195       0.528117       0.523792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.23        2500.00        98.9508       0.907047       0.142109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.67        2500.00        98.9552       0.903275       0.141483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.11        2500.00        98.3577        1.41892       0.223428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.56        2500.00        99.5937       0.351652       0.546828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.6713       0.283150       0.455225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.44        2500.00        98.3224        1.45059       0.227041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.88        2500.00        99.0100       0.856341       0.133620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        98.9846       0.876539       0.138840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.76        2500.00        99.0626       0.812626       0.124789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.21        2500.00        99.0391       0.830396       0.130490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.65        2500.00        99.0500       0.822651       0.127362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.0093       0.859652       0.131082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.53        2500.00        99.5600       0.381337       0.586723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.97        2500.00        99.0302       0.843270       0.126490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        98.6786        1.14639       0.174971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.86        2500.00        99.0289       0.843140       0.127971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.1621       0.727881       0.110002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.74        2500.00        99.1118       0.771218       0.116960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00        99.1151       0.770874       0.114047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.62        2500.00        99.0431       0.834829       0.122043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.06        2500.00        99.2154       0.684018       0.100591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.51        2500.00        99.1413       0.748492       0.110251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00        99.1480       0.743467       0.108578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.39        2500.00        99.1582       0.734043       0.107746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.83        2500.00        99.1647       0.728659       0.106663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.27        2500.00        99.1711       0.723634       0.105291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.1746       0.721294       0.104106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.16        2500.00        99.1912       0.708255       0.100581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
