|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              hed           
  1605.77        2500.00       0.169550E-001   99.5853                 NaN  0.189276       0.208482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00       0.122640E-002   99.4404                 NaN  0.484087       0.743198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN   99.1748                 NaN  0.727924       0.972878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.3136                 NaN  0.605037       0.813985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.2991                 NaN  0.618929       0.819265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.3437                 NaN  0.579179       0.771520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.3272                 NaN  0.595150       0.776388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.3422                 NaN  0.581028       0.767676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.3441                 NaN  0.580383       0.754828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.3505                 NaN  0.574788       0.746760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.3569                 NaN  0.569667       0.734687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.3636                 NaN  0.563299       0.731272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN   99.3693                 NaN  0.558775       0.719103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.3747                 NaN  0.553471       0.718415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   99.3828                 NaN  0.547166       0.700051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN   99.3872                 NaN  0.543820       0.689886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN   99.3461                 NaN  0.580278       0.736302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.4448                 NaN  0.492990       0.621818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN   99.3177                 NaN  0.662232       0.200998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN   99.4908                 NaN  0.397830       0.111325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN   99.4147                 NaN  0.522190       0.631189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN   99.4194                 NaN  0.516757       0.638545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
