|6.6.6
Archiving\03_Data\DeqLP/QFM_m0.5/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.5352       0.464758                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5027       0.497252                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.4702       0.529754                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.4377       0.562264                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.4052       0.594782                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3727       0.627308                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3402       0.659842                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3076       0.692384                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2751       0.724934                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1709       0.829144                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0666       0.933390                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.9623        1.03767                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.8580        1.14199                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.7537        1.24634                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.6493        1.35073                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.5448        1.45516                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.4404        1.55962                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.0618        1.93815                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        97.6830        2.31696                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        97.3040        2.69603                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        96.9246        3.07538                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        96.5450        3.45500                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.1651        3.83489                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.7849        4.21505                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        95.4045        4.59548                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.8318        5.16818                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        94.2586        5.74143                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        93.6645        6.33495       0.545056E-003            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        93.0506        6.93574       0.136567E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        92.4307        7.54300       0.263267E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        91.8101        8.15090       0.390108E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        91.1889        8.75944       0.517089E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        90.5670        9.36862       0.644210E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        89.9615        9.96226       0.762061E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        89.3555        10.5565       0.880039E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        88.7488        11.1514       0.998144E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        88.1415        11.7468       0.111638                 NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        87.5336        12.3429       0.123473                 NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        86.9251        12.9396       0.135321                 NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        86.3160        13.5368       0.147182                 NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        85.7063        14.1347       0.159055                 NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        85.1356        14.6946       0.169885                 NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        84.5643        15.2550       0.180725                 NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        83.9925        15.8159       0.191576                 NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        83.4201        16.3774       0.202437                 NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        82.8473        16.9394       0.213310                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        82.2739        17.5019       0.224193                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        81.7000        18.0650       0.235086                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        81.1255        18.6285       0.245990                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        80.5874        19.1567       0.255953                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        80.0488        19.6853       0.265925                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        79.5098        20.2143       0.275905                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        78.9703        20.7438       0.285895                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        78.4303        21.2738       0.295894                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        77.8899        21.8042       0.305902                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        77.3491        22.3350       0.315918                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        76.8078        22.8663       0.325944                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        76.2958        23.3691       0.335143                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        75.7833        23.8723       0.344349                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        75.2705        24.3759       0.353564                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        74.7573        24.8799       0.362786                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        74.2437        25.3843       0.372015                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        73.7296        25.8891       0.381252                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        73.2152        26.3943       0.390497                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        72.7005        26.8998       0.399749                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        72.2069        27.3848       0.408280                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        71.7131        27.8701       0.416818                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        71.2189        28.3558       0.425362                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        70.7243        28.8418       0.433912                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        70.2294        29.3281       0.442469                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        69.7341        29.8148       0.451033                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        69.2386        30.3018       0.459602                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        68.7426        30.7892       0.468178                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        68.2652        31.2586       0.476175                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        67.7875        31.7283       0.484177                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        67.3095        32.1983       0.492184                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        66.8311        32.6687       0.500197                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        66.3525        33.1393       0.508215                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        65.8736        33.6101       0.516239                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        65.3944        34.0813       0.524268                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        64.9149        34.5528       0.532302                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        64.4526        35.0075       0.539851                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        63.9901        35.4625       0.547405                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        63.5273        35.9178       0.554964                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        63.0642        36.3733       0.562527                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        62.6009        36.8290       0.570094                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        62.1373        37.2850       0.577666                 NaN            NaN            NaN            NaN            NaN
