|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9595       0.393728E-001  0.109726E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.1468       0.551236       0.301985                 NaN  0.162998E-005            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1550       0.295825       0.549148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1579       0.294590       0.547532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1622       0.544905       0.292927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1691       0.290897       0.540006                 NaN  0.613672E-005            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1728       0.537705       0.289472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1801       0.286581       0.533339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1744       0.536553       0.289071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.5749       0.278009       0.144923                 NaN  0.217284E-002            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.8181       0.768287       0.413607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1996       0.280303       0.520074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2028       0.279343       0.517702                 NaN  0.191903E-003            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2093       0.264214       0.517721                 NaN  0.874018E-002            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2173       0.509269       0.273479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.2185       0.273729       0.507758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1397       0.556227       0.304021                 NaN  0.354939E-005            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.3141       0.445324       0.240597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2337       0.504207       0.250445                 NaN  0.116090E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2540       0.133296       0.528397                 NaN  0.842888E-001            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1839       0.530629       0.285510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.3116       0.460453       0.180301                 NaN  0.446246E-001  0.302331E-002            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2503       0.261716       0.487985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2522       0.486932       0.260824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.2559       0.484835       0.259271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.2597       0.258792       0.481533                 NaN  0.215121E-004            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.2634       0.256864       0.479749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2667       0.255567       0.477741                 NaN  0.100378E-005            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.2702       0.475935       0.253750                 NaN  0.140941E-003            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.2735       0.473389       0.253065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.2767       0.218025       0.483026                 NaN  0.222228E-001            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2861       0.465138       0.248804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        99.2890       0.222011       0.466985                 NaN  0.199834E-001  0.203876E-002            NaN            NaN            NaN            NaN
  1446.89        2500.00        99.2887       0.245962       0.465369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.67        2500.00        99.2890       0.465406       0.245588                 NaN  0.228696E-004            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        98.7998       0.337124       0.528946                 NaN  0.759221E-001            NaN  0.258169                 NaN            NaN            NaN
  1443.22        2500.00        98.0184       0.640546       0.428781                 NaN  0.233832                 NaN  0.678454                 NaN            NaN            NaN
  1442.00        2500.00        98.0511       0.416558       0.631964                 NaN  0.232668                 NaN  0.667729                 NaN            NaN            NaN
  1440.78        2500.00        98.0838       0.623731       0.403805                 NaN  0.231569                 NaN  0.657129                 NaN            NaN            NaN
  1439.56        2500.00        98.1090       0.617727       0.392243                 NaN  0.231710                 NaN  0.649310                 NaN            NaN            NaN
