|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1418.42        500.000        97.8193       0.110103       0.683733       0.752154                 NaN            NaN            NaN            NaN  0.634682                 NaN            NaN            NaN
  1417.33        500.000        97.8724       0.106848       0.734547       0.666857                 NaN            NaN            NaN            NaN  0.619333                 NaN            NaN            NaN
  1416.24        500.000        97.9243       0.103739       0.717472       0.650099                 NaN            NaN            NaN            NaN  0.604359                 NaN            NaN            NaN
  1415.14        500.000        97.9696       0.101211       0.635428       0.702224                 NaN            NaN            NaN            NaN  0.591526                 NaN            NaN            NaN
  1414.05        500.000        98.0235       0.979143E-001  0.618488       0.684305                 NaN            NaN            NaN            NaN  0.575827                 NaN            NaN            NaN
  1412.96        500.000        98.0652       0.952031E-001  0.670207       0.605604                 NaN            NaN            NaN            NaN  0.563803                 NaN            NaN            NaN
  1411.87        500.000        98.1087       0.928842E-001  0.655864       0.591214                 NaN            NaN            NaN            NaN  0.551350                 NaN            NaN            NaN
  1410.77        500.000        98.1506       0.901998E-001  0.578385       0.641628                 NaN            NaN            NaN            NaN  0.539215                 NaN            NaN            NaN
  1409.68        500.000        98.1894       0.878919E-001  0.565849       0.628919                 NaN            NaN            NaN            NaN  0.527924                 NaN            NaN            NaN
  1408.59        500.000        98.2285       0.855046E-001  0.615592       0.553747                 NaN            NaN            NaN            NaN  0.516669                 NaN            NaN            NaN
  1407.50        500.000        98.2651       0.832804E-001  0.602861       0.542693                 NaN            NaN            NaN            NaN  0.506076                 NaN            NaN            NaN
  1406.40        500.000        98.3017       0.810451E-001  0.590632       0.531240                 NaN            NaN            NaN            NaN  0.495427                 NaN            NaN            NaN
  1405.31        500.000        98.3344       0.790639E-001  0.520619       0.579968                 NaN            NaN            NaN            NaN  0.485963                 NaN            NaN            NaN
  1404.22        500.000        98.3673       0.770873E-001  0.568783       0.510453                 NaN            NaN            NaN            NaN  0.476388                 NaN            NaN            NaN
  1403.13        500.000        98.3988       0.753035E-001  0.557349       0.501041                 NaN            NaN            NaN            NaN  0.467537                 NaN            NaN            NaN
  1402.03        500.000        98.4336       0.730665E-001  0.546179       0.490168                 NaN            NaN            NaN            NaN  0.456982                 NaN            NaN            NaN
  1400.94        500.000        98.4603       0.714003E-001  0.482210       0.536711                 NaN            NaN            NaN            NaN  0.449380                 NaN            NaN            NaN
  1399.85        500.000        98.4879       0.697609E-001  0.473773       0.527042                 NaN            NaN            NaN            NaN  0.441522                 NaN            NaN            NaN
  1398.76        500.000        98.5184       0.678450E-001  0.464268       0.517136                 NaN            NaN            NaN            NaN  0.432354                 NaN            NaN            NaN
  1397.66        500.000        98.5441       0.663620E-001  0.456359       0.508262                 NaN            NaN            NaN            NaN  0.424964                 NaN            NaN            NaN
  1396.57        500.000        98.5699       0.647766E-001  0.448467       0.499474                 NaN            NaN            NaN            NaN  0.417409                 NaN            NaN            NaN
  1395.48        500.000        98.5957       0.631472E-001  0.490320       0.440988                 NaN            NaN            NaN            NaN  0.409872                 NaN            NaN            NaN
  1394.39        500.000        98.6192       0.616983E-001  0.433706       0.482373                 NaN            NaN            NaN            NaN  0.403024                 NaN            NaN            NaN
  1393.29        500.000        98.6435       0.602589E-001  0.474695       0.425642                 NaN            NaN            NaN            NaN  0.395901                 NaN            NaN            NaN
  1392.20        500.000        98.6667       0.587479E-001  0.465804       0.419668                 NaN            NaN            NaN            NaN  0.389069                 NaN            NaN            NaN
  1391.11        500.000        98.6874       0.574170E-001  0.459279       0.412910                 NaN            NaN            NaN            NaN  0.383035                 NaN            NaN            NaN
  1390.02        500.000        98.7076       0.561135E-001  0.452082       0.407064                 NaN            NaN            NaN            NaN  0.377158                 NaN            NaN            NaN
  1388.92        500.000        98.7350       0.544903E-001  0.441703       0.399966                 NaN            NaN            NaN            NaN  0.368869                 NaN            NaN            NaN
  1387.83        500.000        98.7522       0.534069E-001  0.394574       0.435926                 NaN            NaN            NaN            NaN  0.363931                 NaN            NaN            NaN
  1386.74        500.000        98.7710       0.522302E-001  0.388845       0.429502                 NaN            NaN            NaN            NaN  0.358425                 NaN            NaN            NaN
  1385.65        500.000        98.7909       0.509016E-001  0.383362       0.422369                 NaN            NaN            NaN            NaN  0.352497                 NaN            NaN            NaN
  1384.55        500.000        98.8088       0.497114E-001  0.415989       0.378269                 NaN            NaN            NaN            NaN  0.347204                 NaN            NaN            NaN
  1383.46        500.000        98.8296       0.485022E-001  0.408703       0.372237                 NaN            NaN            NaN            NaN  0.340984                 NaN            NaN            NaN
  1382.37        500.000        98.8462       0.474620E-001  0.402630       0.367579                 NaN            NaN            NaN            NaN  0.336148                 NaN            NaN            NaN
  1381.28        500.000        98.8612       0.465058E-001  0.397669       0.362860                 NaN            NaN            NaN            NaN  0.331787                 NaN            NaN            NaN
  1380.18        500.000        98.8820       0.451453E-001  0.390247       0.357116                 NaN            NaN            NaN            NaN  0.325457                 NaN            NaN            NaN
  1379.09        500.000        98.8966       0.442292E-001  0.385300       0.352743                 NaN            NaN            NaN            NaN  0.321175                 NaN            NaN            NaN
  1378.00        500.000        98.9131       0.431680E-001  0.378794       0.348605                 NaN            NaN            NaN            NaN  0.316310                 NaN            NaN            NaN
  1376.91        500.000        98.9280       0.421601E-001  0.373442       0.344509                 NaN            NaN            NaN            NaN  0.311893                 NaN            NaN            NaN
  1375.81        500.000        98.9441       0.411240E-001  0.367796       0.339934                 NaN            NaN            NaN            NaN  0.307057                 NaN            NaN            NaN
  1374.72        500.000        98.9584       0.401925E-001  0.335654       0.362901                 NaN            NaN            NaN            NaN  0.302822                 NaN            NaN            NaN
  1373.63        500.000        98.9733       0.391006E-001  0.332181       0.357028                 NaN            NaN            NaN            NaN  0.298345                 NaN            NaN            NaN
  1372.54        500.000        98.9859       0.384433E-001  0.352586       0.328380                 NaN            NaN            NaN            NaN  0.294730                 NaN            NaN            NaN
  1371.44        500.000        99.0027       0.372339E-001  0.323943       0.346623                 NaN            NaN            NaN            NaN  0.289518                 NaN            NaN            NaN
  1370.35        500.000        99.0146       0.364128E-001  0.320873       0.342040                 NaN            NaN            NaN            NaN  0.286045                 NaN            NaN            NaN
  1369.26        500.000        99.0277       0.356108E-001  0.317047       0.337522                 NaN            NaN            NaN            NaN  0.282074                 NaN            NaN            NaN
  1368.17        500.000        99.0411       0.347030E-001  0.313576       0.332555                 NaN            NaN            NaN            NaN  0.278092                 NaN            NaN            NaN
  1367.07        500.000        99.0530       0.338249E-001  0.310677       0.328022                 NaN            NaN            NaN            NaN  0.274487                 NaN            NaN            NaN
  1365.98        500.000        99.0644       0.329951E-001  0.324065       0.307534                 NaN            NaN            NaN            NaN  0.271030                 NaN            NaN            NaN
  1364.89        500.000        99.0763       0.331894E-001  0.319267       0.303267                 NaN            NaN            NaN            NaN  0.267993                 NaN            NaN            NaN
  1363.80        500.000        99.0943       0.310369E-001  0.300359       0.312389                 NaN            NaN            NaN            NaN  0.261867                 NaN            NaN            NaN
  1362.70        500.000        99.1012       0.305758E-001  0.310135       0.298092                 NaN            NaN            NaN            NaN  0.260037                 NaN            NaN            NaN
  1361.61        500.000        99.1116       0.299864E-001  0.306572       0.295040                 NaN            NaN            NaN            NaN  0.256845                 NaN            NaN            NaN
  1360.52        500.000        99.1241       0.289741E-001  0.301359       0.292475                 NaN            NaN            NaN            NaN  0.253057                 NaN            NaN            NaN
  1359.43        500.000        99.1341       0.282848E-001  0.297583       0.289898                 NaN            NaN            NaN            NaN  0.250090                 NaN            NaN            NaN
  1358.33        500.000        99.1447       0.275342E-001  0.293875       0.287016                 NaN            NaN            NaN            NaN  0.246880                 NaN            NaN            NaN
  1357.24        500.000        99.1549       0.267212E-001  0.289789       0.284838                 NaN            NaN            NaN            NaN  0.243736                 NaN            NaN            NaN
  1356.15        500.000        99.1646       0.261262E-001  0.285950       0.282368                 NaN            NaN            NaN            NaN  0.240922                 NaN            NaN            NaN
  1355.06        500.000        99.1749       0.254870E-001  0.279390       0.282531                 NaN            NaN            NaN            NaN  0.237696                 NaN            NaN            NaN
  1353.96        500.000        99.1811       0.246360E-001  0.278330       0.279978                 NaN            NaN            NaN            NaN  0.235912                 NaN            NaN            NaN
  1352.87        500.000        99.1969       0.237668E-001  0.274852       0.273740                 NaN            NaN            NaN            NaN  0.230746                 NaN            NaN            NaN
  1351.78        500.000        99.2047       0.231463E-001  0.272980       0.270522                 NaN            NaN            NaN            NaN  0.228621                 NaN            NaN            NaN
  1350.69        500.000        99.2126       0.225859E-001  0.271099       0.267447                 NaN            NaN            NaN            NaN  0.226239                 NaN            NaN            NaN
  1349.59        500.000        99.2213       0.218417E-001  0.269444       0.263925                 NaN            NaN            NaN            NaN  0.223528                 NaN            NaN            NaN
  1348.50        500.000        99.2299       0.212040E-001  0.260585       0.267363                 NaN            NaN            NaN            NaN  0.220962                 NaN            NaN            NaN
  1347.41        500.000        99.2397       0.205151E-001  0.265128       0.256770                 NaN            NaN            NaN            NaN  0.217913                 NaN            NaN            NaN
  1346.32        500.000        99.2474       0.198807E-001  0.253558       0.263625                 NaN            NaN            NaN            NaN  0.215577                 NaN            NaN            NaN
  1345.22        500.000        99.2554       0.192669E-001  0.250363       0.261850                 NaN            NaN            NaN            NaN  0.213125                 NaN            NaN            NaN
  1344.13        500.000        99.2636       0.185919E-001  0.247126       0.260079                 NaN            NaN            NaN            NaN  0.210574                 NaN            NaN            NaN
  1343.04        500.000        99.2714       0.179925E-001  0.258408       0.243989                 NaN            NaN            NaN            NaN  0.208200                 NaN            NaN            NaN
  1341.95        500.000        99.2792       0.173770E-001  0.240640       0.256920                 NaN            NaN            NaN            NaN  0.205866                 NaN            NaN            NaN
  1340.85        500.000        99.2867       0.166768E-001  0.255665       0.237490                 NaN            NaN            NaN            NaN  0.203467                 NaN            NaN            NaN
  1339.76        500.000        99.2943       0.161120E-001  0.234524       0.253899                 NaN            NaN            NaN            NaN  0.201135                 NaN            NaN            NaN
  1338.67        500.000        99.3017       0.154635E-001  0.252622       0.231360                 NaN            NaN            NaN            NaN  0.198833                 NaN            NaN            NaN
  1337.58        500.000        99.3087       0.149107E-001  0.228525       0.251207                 NaN            NaN            NaN            NaN  0.196696                 NaN            NaN            NaN
  1336.48        500.000        99.3158       0.143052E-001  0.225169       0.250166                 NaN            NaN            NaN            NaN  0.194537                 NaN            NaN            NaN
  1335.39        500.000        99.3220       0.138590E-001  0.248419       0.223138                 NaN            NaN            NaN            NaN  0.192592                 NaN            NaN            NaN
  1334.30        500.000        99.3302       0.130908E-001  0.219192       0.247531                 NaN            NaN            NaN            NaN  0.189991                 NaN            NaN            NaN
  1333.21        500.000        99.3363       0.126423E-001  0.246143       0.216726                 NaN            NaN            NaN            NaN  0.188205                 NaN            NaN            NaN
  1332.11        500.000        99.3425       0.120462E-001  0.245464       0.213739                 NaN            NaN            NaN            NaN  0.186294                 NaN            NaN            NaN
  1331.02        500.000        99.3492       0.113398E-001  0.210763       0.244578                 NaN            NaN            NaN            NaN  0.184121                 NaN            NaN            NaN
  1329.93        500.000        99.3552       0.108323E-001  0.208298       0.243379                 NaN            NaN            NaN            NaN  0.182245                 NaN            NaN            NaN
  1328.84        500.000        99.3614       0.102475E-001  0.242704       0.205292                 NaN            NaN            NaN            NaN  0.180321                 NaN            NaN            NaN
  1327.74        500.000        99.3674       0.969336E-002  0.202629       0.241801                 NaN            NaN            NaN            NaN  0.178442                 NaN            NaN            NaN
  1326.65        500.000        99.3732       0.915337E-002  0.240944       0.200060                 NaN            NaN            NaN            NaN  0.176649                 NaN            NaN            NaN
  1325.56        500.000        99.3787       0.850841E-002  0.197094       0.240828                 NaN            NaN            NaN            NaN  0.174918                 NaN            NaN            NaN
  1324.47        500.000        99.3850       0.801931E-002  0.239552       0.194484                 NaN            NaN            NaN            NaN  0.172922                 NaN            NaN            NaN
  1323.37        500.000        99.3887       0.774660E-002  0.192504       0.239106                 NaN            NaN            NaN            NaN  0.171925                 NaN            NaN            NaN
  1322.28        500.000        99.3977       0.682605E-002  0.237999       0.188655                 NaN            NaN            NaN            NaN  0.168863                 NaN            NaN            NaN
  1321.19        500.000        99.4012       0.637398E-002  0.237972       0.186609                 NaN            NaN            NaN            NaN  0.167872                 NaN            NaN            NaN
  1320.10        500.000        99.4063       0.582515E-002  0.237594       0.184080                 NaN            NaN            NaN            NaN  0.166234                 NaN            NaN            NaN
  1319.00        500.000        99.4116       0.544387E-002  0.181723       0.236627                 NaN            NaN            NaN            NaN  0.164643                 NaN            NaN            NaN
  1317.91        500.000        99.4152       0.463080E-002  0.177941       0.238529                 NaN            NaN            NaN            NaN  0.163665                 NaN            NaN            NaN
  1316.82        500.000        99.4232       0.418555E-002  0.176553       0.235324                 NaN            NaN            NaN            NaN  0.160705                 NaN            NaN            NaN
  1315.73        500.000        99.4263       0.371121E-002  0.173866       0.236161                 NaN            NaN            NaN            NaN  0.159928                 NaN            NaN            NaN
  1314.63        500.000        99.4313       0.327507E-002  0.171861       0.235200                 NaN            NaN            NaN            NaN  0.158408                 NaN            NaN            NaN
  1313.54        500.000        99.4361       0.263941E-002  0.168625       0.235810                 NaN            NaN            NaN            NaN  0.156858                 NaN            NaN            NaN
  1312.45        500.000        99.4401       0.203334E-002  0.166134       0.236196                 NaN            NaN            NaN            NaN  0.155538                 NaN            NaN            NaN
  1311.36        500.000        99.4437       0.147711E-002  0.163484       0.236833                 NaN            NaN            NaN            NaN  0.154516                 NaN            NaN            NaN
  1310.26        500.000        99.4502       0.102028E-002  0.234911       0.161663                 NaN            NaN            NaN            NaN  0.152194                 NaN            NaN            NaN
  1309.17        500.000        99.4537       0.540176E-003  0.158699       0.235837                 NaN            NaN            NaN            NaN  0.151267                 NaN            NaN            NaN
  1308.08        500.000        99.4573       0.132460E-003  0.156073       0.236354                 NaN            NaN            NaN            NaN  0.150176                 NaN            NaN            NaN
  1306.99        500.000        99.4591       0.420380E-002  0.223862       0.162406                 NaN            NaN            NaN            NaN  0.150407                 NaN            NaN            NaN
  1305.89        500.000        99.3795       0.714447E-001  0.417122E-001  0.297632                 NaN            NaN            NaN            NaN  0.209756                 NaN            NaN            NaN
  1304.80        500.000        99.5145                 NaN  0.234367       0.139129                 NaN            NaN            NaN            NaN  0.112014                 NaN            NaN            NaN
  1303.71        500.000        99.4752                 NaN  0.148925       0.230844                 NaN            NaN            NaN            NaN  0.145053                 NaN            NaN            NaN
  1302.62        500.000        99.4780                 NaN  0.147859       0.229952                 NaN            NaN            NaN            NaN  0.144216                 NaN            NaN            NaN
  1301.52        500.000        99.4815                 NaN  0.146400       0.228841                 NaN            NaN            NaN            NaN  0.143232                 NaN            NaN            NaN
  1300.43        500.000        99.4865                 NaN  0.144891       0.226819                 NaN            NaN            NaN            NaN  0.141802                 NaN            NaN            NaN
  1299.34        500.000        98.9988       0.283130       0.351538                 NaN            NaN            NaN            NaN            NaN  0.366579                 NaN            NaN            NaN
  1298.25        500.000        99.7230                 NaN  0.223309                 NaN            NaN            NaN            NaN            NaN  0.536607E-001            NaN            NaN            NaN
  1297.15        500.000        99.6015                 NaN  0.292331                 NaN            NaN            NaN            NaN            NaN  0.106194                 NaN            NaN            NaN
  1296.06        500.000        99.5397                 NaN  0.190841       0.143440                 NaN            NaN            NaN            NaN  0.126036                 NaN            NaN            NaN
  1294.97        500.000        99.5104                 NaN  0.135435       0.218802                 NaN            NaN            NaN            NaN  0.135386                 NaN            NaN            NaN
  1293.88        500.000        99.5135                 NaN  0.218372       0.133694                 NaN            NaN            NaN            NaN  0.134461                 NaN            NaN            NaN
  1292.78        500.000        99.5179                 NaN  0.132307       0.216653                 NaN            NaN            NaN            NaN  0.133136                 NaN            NaN            NaN
  1291.69        500.000        99.5203                 NaN  0.216494       0.130699                 NaN            NaN            NaN            NaN  0.132552                 NaN            NaN            NaN
  1290.60        500.000        99.5199                 NaN  0.216581       0.130722                 NaN            NaN            NaN            NaN  0.132815                 NaN            NaN            NaN
  1289.51        500.000        99.5291                 NaN  0.214713       0.126422                 NaN            NaN            NaN            NaN  0.129773                 NaN            NaN            NaN
  1288.42        500.000        99.5305                 NaN  0.126108       0.213786                 NaN            NaN            NaN            NaN  0.129653                 NaN            NaN            NaN
  1287.32        500.000        99.5331                 NaN  0.124253       0.213724                 NaN            NaN            NaN            NaN  0.128910                 NaN            NaN            NaN
  1286.23        500.000        99.5356                 NaN  0.213444       0.122769                 NaN            NaN            NaN            NaN  0.128212                 NaN            NaN            NaN
  1285.14        500.000        96.1837                 NaN  0.773587       0.464174                 NaN            NaN            NaN            NaN  0.484153        2.09443                 NaN            NaN
  1284.05        500.000        94.5413                 NaN  0.629606        1.04244                 NaN            NaN            NaN            NaN  0.656586        3.13006                 NaN            NaN
  1282.95        500.000        94.8353                 NaN  0.597274       0.990192                 NaN            NaN            NaN            NaN  0.624086        2.95319                 NaN            NaN
  1281.86        500.000        95.1711                 NaN  0.563400       0.924464                 NaN            NaN            NaN            NaN  0.585739        2.75530                 NaN            NaN
  1280.77        500.000        95.4165                 NaN  0.878761       0.537065                 NaN            NaN            NaN            NaN  0.558226        2.60945                 NaN            NaN
  1279.68        500.000        95.6641                 NaN  0.511639       0.830288                 NaN            NaN            NaN            NaN  0.529954        2.46403                 NaN            NaN
  1278.58        500.000        95.8796                 NaN  0.793576       0.484688                 NaN            NaN            NaN            NaN  0.505476        2.33664                 NaN            NaN
  1277.49        500.000        96.0675                 NaN  0.461894       0.761349                 NaN            NaN            NaN            NaN  0.484120        2.22509                 NaN            NaN
  1276.40        500.000        96.2525                 NaN  0.732425       0.436123                 NaN            NaN            NaN            NaN  0.462978        2.11599                 NaN            NaN
  1275.31        500.000        96.4196                 NaN  0.413109       0.705025                 NaN            NaN            NaN            NaN  0.443688        2.01858                 NaN            NaN
  1274.21        500.000        96.5682                 NaN  0.384885       0.689545                 NaN            NaN            NaN            NaN  0.426712        1.93069                 NaN            NaN
  1273.12        500.000        96.7072                 NaN  0.355573       0.677495                 NaN            NaN            NaN            NaN  0.410695        1.84908                 NaN            NaN
  1272.03        500.000        96.8350                 NaN  0.613357       0.382107                 NaN            NaN            NaN            NaN  0.395675        1.77388                 NaN            NaN
  1270.94        500.000        96.2921                 NaN   1.08354                 NaN            NaN            NaN            NaN            NaN  0.458195        2.07908       0.870770E-001            NaN
  1269.84        500.000        95.9154                 NaN   1.13763                 NaN            NaN            NaN            NaN            NaN  0.500266        2.29137       0.155365                 NaN
  1268.75        500.000        96.1133                 NaN   1.08147                 NaN            NaN            NaN            NaN            NaN  0.476331        2.18104       0.147885                 NaN
  1267.66        500.000        96.3006                 NaN   1.02917                 NaN            NaN            NaN            NaN            NaN  0.451921        2.07667       0.141599                 NaN
  1266.57        500.000        96.4595                 NaN  0.987471                 NaN            NaN            NaN            NaN            NaN  0.435722        1.98416       0.133156                 NaN
  1265.47        500.000        96.6127                 NaN  0.943622                 NaN            NaN            NaN            NaN            NaN  0.416098        1.89981       0.127774                 NaN
  1264.38        500.000        96.7538                 NaN  0.903394                 NaN            NaN            NaN            NaN            NaN  0.397935        1.82209       0.122743                 NaN
  1263.29        500.000        96.8861                 NaN  0.866089                 NaN            NaN            NaN            NaN            NaN  0.381907        1.74854       0.117357                 NaN
  1262.20        500.000        97.0004                 NaN  0.835992                 NaN            NaN            NaN            NaN            NaN  0.368569        1.68304       0.111966                 NaN
  1261.10        500.000        97.1153                 NaN  0.802145                 NaN            NaN            NaN            NaN            NaN  0.352931        1.62130       0.108289                 NaN
  1260.01        500.000        97.2158                 NaN  0.776046                 NaN            NaN            NaN            NaN            NaN  0.342060        1.56322       0.102898                 NaN
  1258.92        500.000        97.3169                 NaN  0.746318                 NaN            NaN            NaN            NaN            NaN  0.328231        1.50898       0.996079E-001            NaN
  1257.83        500.000        97.4058                 NaN  0.723101                 NaN            NaN            NaN            NaN            NaN  0.318693        1.45767       0.947852E-001            NaN
  1256.73        500.000        97.4933                 NaN  0.698484                 NaN            NaN            NaN            NaN            NaN  0.307809        1.40933       0.910339E-001            NaN
  1255.64        500.000        97.5730                 NaN  0.675599                 NaN            NaN            NaN            NaN            NaN  0.296150        1.36671       0.885520E-001            NaN
  1254.55        500.000        97.6533                 NaN  0.652203                 NaN            NaN            NaN            NaN            NaN  0.285777        1.32329       0.853811E-001            NaN
  1253.46        500.000        97.7222                 NaN  0.634595                 NaN            NaN            NaN            NaN            NaN  0.278418        1.28336       0.814249E-001            NaN
  1252.36        500.000        97.7995                 NaN  0.610976                 NaN            NaN            NaN            NaN            NaN  0.268008        1.24278       0.787358E-001            NaN
  1251.27        500.000        97.8535                 NaN  0.598771                 NaN            NaN            NaN            NaN            NaN  0.261943        1.21036       0.754329E-001            NaN
  1250.18        500.000        97.9198                 NaN  0.579526                 NaN            NaN            NaN            NaN            NaN  0.252740        1.17492       0.730510E-001            NaN
  1249.09        500.000        97.9804                 NaN  0.561927                 NaN            NaN            NaN            NaN            NaN  0.244975        1.14222       0.704925E-001            NaN
  1247.99        500.000        98.0367                 NaN  0.546193                 NaN            NaN            NaN            NaN            NaN  0.237657        1.11149       0.680077E-001            NaN
  1246.90        500.000        98.0919                 NaN  0.531427                 NaN            NaN            NaN            NaN            NaN  0.232369        1.07972       0.646266E-001            NaN
  1245.81        500.000        98.1415                 NaN  0.517646                 NaN            NaN            NaN            NaN            NaN  0.224221        1.05344       0.632133E-001            NaN
  1244.72        500.000        98.1899                 NaN  0.504242                 NaN            NaN            NaN            NaN            NaN  0.218361        1.02666       0.608097E-001            NaN
  1243.62        500.000        98.2385                 NaN  0.490716                 NaN            NaN            NaN            NaN            NaN  0.212408       0.999809       0.585448E-001            NaN
  1242.53        500.000        98.2837                 NaN  0.477021                 NaN            NaN            NaN            NaN            NaN  0.205206       0.976882       0.572339E-001            NaN
  1241.44        500.000        98.3259                 NaN  0.466307                 NaN            NaN            NaN            NaN            NaN  0.200120       0.952668       0.549606E-001            NaN
  1240.35        500.000        98.3684                 NaN  0.454109                 NaN            NaN            NaN            NaN            NaN  0.194706       0.929703       0.530781E-001            NaN
  1239.25        500.000        98.4074                 NaN  0.443525                 NaN            NaN            NaN            NaN            NaN  0.190093       0.907932       0.510458E-001            NaN
  1238.16        500.000        98.4475                 NaN  0.431754                 NaN            NaN            NaN            NaN            NaN  0.183400       0.887415       0.499685E-001            NaN
  1237.07        500.000        98.4813                 NaN  0.423576                 NaN            NaN            NaN            NaN            NaN  0.179979       0.867314       0.478014E-001            NaN
  1235.98        500.000        98.5175                 NaN  0.413497                 NaN            NaN            NaN            NaN            NaN  0.175117       0.847682       0.462406E-001            NaN
  1234.88        500.000        98.5506                 NaN  0.404203                 NaN            NaN            NaN            NaN            NaN  0.170305       0.829966       0.449170E-001            NaN
  1233.79        500.000        98.5832                 NaN  0.395678                 NaN            NaN            NaN            NaN            NaN  0.166627       0.811417       0.431257E-001            NaN
  1232.70        500.000        98.6164                 NaN  0.386395                 NaN            NaN            NaN            NaN            NaN  0.162546       0.793172       0.415309E-001            NaN
  1231.61        500.000        98.6456                 NaN  0.378482                 NaN            NaN            NaN            NaN            NaN  0.158391       0.777245       0.403167E-001            NaN
  1230.51        500.000        98.6755                 NaN  0.370394                 NaN            NaN            NaN            NaN            NaN  0.154829       0.760504       0.387911E-001            NaN
  1229.42        500.000        98.7057                 NaN  0.361310                 NaN            NaN            NaN            NaN            NaN  0.150572       0.744749       0.376632E-001            NaN
  1228.33        500.000        98.7287                 NaN  0.356241                 NaN            NaN            NaN            NaN            NaN  0.147434       0.731212       0.364330E-001            NaN
  1227.24        500.000        98.7588                 NaN  0.347114                 NaN            NaN            NaN            NaN            NaN  0.142656       0.715838       0.355795E-001            NaN
  1226.14        500.000        98.7816                 NaN  0.341846                 NaN            NaN            NaN            NaN            NaN  0.140617       0.701937       0.340203E-001            NaN
  1225.05        500.000        98.8084                 NaN  0.333824                 NaN            NaN            NaN            NaN            NaN  0.136843       0.687902       0.330062E-001            NaN
  1223.96        500.000        98.8349                 NaN  0.325236                 NaN            NaN            NaN            NaN            NaN  0.132528       0.675011       0.323237E-001            NaN
  1222.87        500.000        98.8528                 NaN  0.322814                 NaN            NaN            NaN            NaN            NaN  0.130870       0.662580       0.308937E-001            NaN
  1221.77        500.000        98.8759                 NaN  0.315748                 NaN            NaN            NaN            NaN            NaN  0.127487       0.650877       0.300296E-001            NaN
  1220.68        500.000        98.8975                 NaN  0.310650                 NaN            NaN            NaN            NaN            NaN  0.124804       0.638027       0.289948E-001            NaN
  1219.59        500.000        89.2769                 NaN   1.41186                 NaN            NaN            NaN            NaN            NaN  0.870362        4.21049       0.118018        4.11237     
  1218.50        500.000        86.9720                 NaN   1.73039                 NaN            NaN            NaN            NaN            NaN   1.05229        5.02558       0.132221        5.08754     
  1217.40        500.000        87.0752                 NaN   1.77096                 NaN            NaN            NaN            NaN            NaN   1.04754        4.94797       0.124333        5.03399     
  1216.31        500.000        87.1316                 NaN   1.81453                 NaN            NaN            NaN            NaN            NaN   1.04512        4.89094       0.117752        5.00001     
