|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Sp(TH)         San(TH)        ilm            q             
  1384.62        500.000        99.9490       0.337507E-001  0.172261E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1383.66        500.000        99.7754       0.327541E-001  0.513536E-001  0.140481                 NaN            NaN            NaN            NaN            NaN
  1382.69        500.000        98.4592       0.198122       0.471049       0.307666       0.564009                 NaN            NaN            NaN            NaN
  1381.73        500.000        99.1465       0.231594       0.258925       0.363017                 NaN            NaN            NaN            NaN            NaN
  1380.76        500.000        98.9427       0.729987E-003  0.274036       0.531916       0.250568                 NaN            NaN            NaN            NaN
  1379.80        500.000        99.0563       0.768859E-001  0.257397       0.295339       0.314036                 NaN            NaN            NaN            NaN
  1378.84        500.000        99.0653       0.104809       0.258981       0.298433       0.272455                 NaN            NaN            NaN            NaN
  1377.87        500.000        99.0736       0.105056       0.256756       0.296052       0.268576                 NaN            NaN            NaN            NaN
  1376.91        500.000        99.0811       0.105728       0.254697       0.294008       0.264460                 NaN            NaN            NaN            NaN
  1375.94        500.000        99.0839       0.106855       0.254067       0.293425       0.261756                 NaN            NaN            NaN            NaN
  1374.98        500.000        99.1025       0.106017       0.248704       0.254941       0.287835                 NaN            NaN            NaN            NaN
  1374.02        500.000        99.1022       0.109743       0.249660       0.289154       0.249225                 NaN            NaN            NaN            NaN
  1373.05        500.000        99.0815       0.109568       0.254282       0.294533       0.260078                 NaN            NaN            NaN            NaN
  1372.09        500.000        99.1550       0.103937       0.234572       0.234607       0.271896                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.1269       0.108994       0.242490       0.240120       0.281518                 NaN            NaN            NaN            NaN
  1370.16        500.000        99.1366       0.108901       0.239656       0.278443       0.236411                 NaN            NaN            NaN            NaN
  1369.20        500.000        99.1424       0.109772       0.238176       0.277030       0.232627                 NaN            NaN            NaN            NaN
  1368.23        500.000        99.1499       0.110169       0.236237       0.274874       0.228788                 NaN            NaN            NaN            NaN
  1367.27        500.000        99.1568       0.110817       0.234325       0.273057       0.225024                 NaN            NaN            NaN            NaN
  1366.30        500.000        99.1625       0.111256       0.232757       0.271702       0.221803                 NaN            NaN            NaN            NaN
  1365.34        500.000        99.1715       0.111524       0.230426       0.217794       0.268797                 NaN            NaN            NaN            NaN
  1364.38        500.000        99.1775       0.110408       0.228525       0.216770       0.266779                 NaN            NaN            NaN            NaN
  1363.41        500.000        99.1833       0.114323       0.227296       0.208651       0.266435                 NaN            NaN            NaN            NaN
  1362.45        500.000        99.2555       0.211292       0.223421       0.309820                 NaN            NaN            NaN            NaN            NaN
  1361.48        500.000        99.1326       0.939440E-002  0.224409       0.214373       0.419187                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.2030       0.118657       0.222522       0.194589       0.261203                 NaN            NaN            NaN            NaN
  1359.56        500.000        99.2100       0.114054       0.219925       0.258475       0.197591                 NaN            NaN            NaN            NaN
  1358.59        500.000        99.2159       0.114417       0.218231       0.194830       0.256578                 NaN            NaN            NaN            NaN
  1357.63        500.000        99.2219       0.114988       0.216695       0.191355       0.255108                 NaN            NaN            NaN            NaN
  1356.67        500.000        99.2276       0.115405       0.215105       0.188303       0.253546                 NaN            NaN            NaN            NaN
  1355.70        500.000        99.2333       0.116036       0.213674       0.251970       0.185048                 NaN            NaN            NaN            NaN
  1354.74        500.000        99.2388       0.116543       0.212022       0.181867       0.250734                 NaN            NaN            NaN            NaN
  1353.77        500.000        99.1161       0.137605       0.246232       0.291786       0.208243                 NaN            NaN            NaN            NaN
  1352.81        500.000        99.3789       0.959604E-001  0.172894       0.203696       0.148530                 NaN            NaN            NaN            NaN
  1351.85        500.000        99.2578       0.116477       0.206596       0.245365       0.173758                 NaN            NaN            NaN            NaN
  1350.88        500.000        99.2615       0.117625       0.205799       0.244239       0.170793                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.2675       0.117789       0.204039       0.168168       0.242467                 NaN            NaN            NaN            NaN
  1348.95        500.000        99.2729       0.118397       0.202731       0.164718       0.241220                 NaN            NaN            NaN            NaN
  1347.99        500.000        99.2768       0.118676       0.201607       0.163087       0.239842                 NaN            NaN            NaN            NaN
  1347.03        500.000        99.2842       0.118273       0.199384       0.237984       0.160149                 NaN            NaN            NaN            NaN
  1346.06        500.000        99.2887       0.118914       0.198245       0.236833       0.157331                 NaN            NaN            NaN            NaN
  1345.10        500.000        99.2936       0.119208       0.196887       0.235454       0.154839                 NaN            NaN            NaN            NaN
  1344.13        500.000        99.2982       0.119385       0.195563       0.152483       0.234338                 NaN            NaN            NaN            NaN
  1343.17        500.000        99.3029       0.119810       0.194270       0.232949       0.150049                 NaN            NaN            NaN            NaN
  1342.21        500.000        99.3074       0.119768       0.193005       0.231467       0.148366                 NaN            NaN            NaN            NaN
  1341.24        500.000        99.3138       0.120069       0.191156       0.144854       0.230137                 NaN            NaN            NaN            NaN
  1340.28        500.000        99.3178       0.120265       0.190103       0.143067       0.228754                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.3223       0.120891       0.188904       0.140190       0.227713                 NaN            NaN            NaN            NaN
  1338.35        500.000        99.3274       0.120148       0.187286       0.225978       0.139237                 NaN            NaN            NaN            NaN
  1337.39        500.000        99.3316       0.121062       0.186263       0.225000       0.136111                 NaN            NaN            NaN            NaN
  1336.42        500.000        99.3353       0.121354       0.185245       0.133841       0.224246                 NaN            NaN            NaN            NaN
  1335.46        500.000        99.3420       0.120561       0.183243       0.221975       0.132255                 NaN            NaN            NaN            NaN
  1334.49        500.000        99.2544       0.138893       0.207648       0.252444       0.146632                 NaN            NaN            NaN            NaN
  1333.53        500.000        99.4409       0.103297       0.155534       0.111262       0.189024                 NaN            NaN            NaN            NaN
  1332.57        500.000        99.3545       0.120771       0.179560       0.218972       0.126197                 NaN            NaN            NaN            NaN
  1331.60        500.000        99.3582       0.120976       0.178576       0.124779       0.217472                 NaN            NaN            NaN            NaN
  1330.64        500.000        99.3619       0.121736       0.177642       0.122552       0.216166                 NaN            NaN            NaN            NaN
  1329.67        500.000        99.3659       0.120874       0.176239       0.121434       0.215582                 NaN            NaN            NaN            NaN
  1328.71        500.000        99.3706       0.121024       0.175052       0.213845       0.119497                 NaN            NaN            NaN            NaN
  1327.75        500.000        99.3752       0.120777       0.173620       0.212802       0.117552                 NaN            NaN            NaN            NaN
  1326.78        500.000        99.3778       0.121153       0.172908       0.211890       0.116281                 NaN            NaN            NaN            NaN
  1325.82        500.000        99.3828       0.121147       0.171542       0.210634       0.113854                 NaN            NaN            NaN            NaN
  1324.85        500.000        99.3354       0.211211E-001  0.170401       0.159347       0.313773                 NaN            NaN            NaN            NaN
  1323.89        500.000        99.4199       0.175554       0.168757       0.235815                 NaN            NaN            NaN            NaN            NaN
  1322.93        500.000        99.4157       0.166002       0.168626       0.193608E-001  0.230312                 NaN            NaN            NaN            NaN
  1321.96        500.000        99.3964       0.120847       0.167625       0.108358       0.206802                 NaN            NaN            NaN            NaN
  1321.00        500.000        99.4022       0.119443       0.165535       0.107773       0.205095                 NaN            NaN            NaN            NaN
  1320.03        500.000        99.4051       0.119737       0.164854       0.106498       0.203838                 NaN            NaN            NaN            NaN
  1319.07        500.000        99.4086       0.120198       0.163941       0.104292       0.202926                 NaN            NaN            NaN            NaN
  1318.11        500.000        99.4129       0.119257       0.162545       0.103621       0.201672                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.4154       0.117784       0.161647       0.104954       0.200195                 NaN            NaN            NaN            NaN
  1316.18        500.000        99.4199       0.120111       0.160573       0.200338       0.991105E-001            NaN            NaN            NaN            NaN
  1315.21        500.000        99.4231       0.118375       0.159478       0.198644       0.100445                 NaN            NaN            NaN            NaN
  1314.25        500.000        99.4262       0.118204       0.158559       0.992721E-001  0.197752                 NaN            NaN            NaN            NaN
  1313.29        500.000        99.4297       0.117738       0.157460       0.984860E-001  0.196613                 NaN            NaN            NaN            NaN
  1312.32        500.000        99.4330       0.117606       0.156507       0.971981E-001  0.195647                 NaN            NaN            NaN            NaN
  1311.36        500.000        99.4363       0.117073       0.155455       0.965925E-001  0.194532                 NaN            NaN            NaN            NaN
  1310.40        500.000        99.4322       0.118132       0.156724       0.196242       0.967217E-001            NaN            NaN            NaN            NaN
  1309.43        500.000        99.4502       0.114753       0.151231       0.190280       0.935182E-001            NaN            NaN            NaN            NaN
  1308.47        500.000        99.4460       0.116184       0.152616       0.191785       0.934551E-001            NaN            NaN            NaN            NaN
  1307.50        500.000        99.4489       0.114941       0.151552       0.190275       0.943659E-001            NaN            NaN            NaN            NaN
  1306.54        500.000        99.4532       0.115061       0.150503       0.188731       0.925198E-001            NaN            NaN            NaN            NaN
  1305.58        500.000        99.4527       0.115047       0.150587       0.188683       0.929405E-001            NaN            NaN            NaN            NaN
  1304.61        500.000        99.4606       0.111623       0.147607       0.186295       0.938699E-001            NaN            NaN            NaN            NaN
  1303.65        500.000        99.4617       0.113027       0.147689       0.913494E-001  0.186239                 NaN            NaN            NaN            NaN
  1302.68        500.000        99.4645       0.112618       0.146896       0.909381E-001  0.185089                 NaN            NaN            NaN            NaN
  1301.72        500.000        99.4673       0.111373       0.145774       0.912140E-001  0.184308                 NaN            NaN            NaN            NaN
  1300.76        500.000        99.4699       0.111298       0.145070       0.183588       0.901482E-001            NaN            NaN            NaN            NaN
  1299.79        500.000        99.4729       0.110007       0.144025       0.182210       0.908632E-001            NaN            NaN            NaN            NaN
