|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Sp(TH)         San(TH)        ilm            q             
  1384.62        500.000        99.9562       0.261257E-001  0.176284E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1383.66        500.000        99.8041       0.253524E-001  0.525614E-001  0.117938                 NaN            NaN            NaN            NaN            NaN
  1382.69        500.000        98.6392       0.153233       0.482545       0.258452       0.466610                 NaN            NaN            NaN            NaN
  1381.73        500.000        99.2518       0.178761       0.264924       0.304513                 NaN            NaN            NaN            NaN            NaN
  1380.76        500.000        99.0698       0.562653E-003  0.280351       0.439151       0.210117                 NaN            NaN            NaN            NaN
  1379.80        500.000        99.1711       0.591862E-001  0.263201       0.247449       0.259021                 NaN            NaN            NaN            NaN
  1378.84        500.000        99.1802       0.805789E-001  0.264718       0.249890       0.224564                 NaN            NaN            NaN            NaN
  1377.87        500.000        99.1881       0.806631E-001  0.262339       0.247721       0.221179                 NaN            NaN            NaN            NaN
  1376.91        500.000        99.1954       0.810760E-001  0.260131       0.245829       0.217601                 NaN            NaN            NaN            NaN
  1375.94        500.000        99.1985       0.818245E-001  0.259384       0.245144       0.215182                 NaN            NaN            NaN            NaN
  1374.98        500.000        99.2153       0.810924E-001  0.253803       0.209444       0.240351                 NaN            NaN            NaN            NaN
  1374.02        500.000        99.2156       0.838231E-001  0.254675       0.241296       0.204595                 NaN            NaN            NaN            NaN
  1373.05        500.000        99.1983       0.835611E-001  0.259288       0.245595       0.213303                 NaN            NaN            NaN            NaN
  1372.09        500.000        99.2629       0.791793E-001  0.239074       0.192265       0.226584                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.2389       0.829228E-001  0.247052       0.196630       0.234445                 NaN            NaN            NaN            NaN
  1370.16        500.000        99.2480       0.827448E-001  0.244060       0.231722       0.193437                 NaN            NaN            NaN            NaN
  1369.20        500.000        99.2537       0.832907E-001  0.242450       0.230377       0.190175                 NaN            NaN            NaN            NaN
  1368.23        500.000        99.2608       0.834854E-001  0.240373       0.228442       0.186898                 NaN            NaN            NaN            NaN
  1367.27        500.000        99.2674       0.838650E-001  0.238324       0.226779       0.183667                 NaN            NaN            NaN            NaN
  1366.30        500.000        99.2730       0.840671E-001  0.236627       0.225458       0.180882                 NaN            NaN            NaN            NaN
  1365.34        500.000        99.2812       0.841921E-001  0.234154       0.177485       0.222926                 NaN            NaN            NaN            NaN
  1364.38        500.000        99.2871       0.832345E-001  0.232120       0.176502       0.221086                 NaN            NaN            NaN            NaN
  1363.41        500.000        99.2928       0.860779E-001  0.230770       0.169741       0.220646                 NaN            NaN            NaN            NaN
  1362.45        500.000        99.3581       0.158854       0.226706       0.256356                 NaN            NaN            NaN            NaN            NaN
  1361.48        500.000        99.2475       0.705401E-002  0.227649       0.177301       0.340504                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.3116       0.889680E-001  0.225618       0.157909       0.215859                 NaN            NaN            NaN            NaN
  1359.56        500.000        99.3180       0.854126E-001  0.222883       0.213458       0.160228                 NaN            NaN            NaN            NaN
  1358.59        500.000        99.3238       0.855697E-001  0.221065       0.157839       0.211731                 NaN            NaN            NaN            NaN
  1357.63        500.000        99.3294       0.858928E-001  0.219408       0.154905       0.210357                 NaN            NaN            NaN            NaN
  1356.67        500.000        99.3350       0.860879E-001  0.217697       0.152308       0.208921                 NaN            NaN            NaN            NaN
  1355.70        500.000        99.3404       0.864283E-001  0.216148       0.207476       0.149551                 NaN            NaN            NaN            NaN
  1354.74        500.000        99.3457       0.867084E-001  0.214376       0.146862       0.206328                 NaN            NaN            NaN            NaN
  1353.77        500.000        99.2410       0.102205       0.248872       0.239909       0.167999                 NaN            NaN            NaN            NaN
  1352.81        500.000        99.4672       0.711914E-001  0.174616       0.167316       0.119714                 NaN            NaN            NaN            NaN
  1351.85        500.000        99.3637       0.863068E-001  0.208592       0.201451       0.139957                 NaN            NaN            NaN            NaN
  1350.88        500.000        99.3674       0.870282E-001  0.207689       0.200385       0.137459                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.3732       0.870468E-001  0.205813       0.135213       0.198763                 NaN            NaN            NaN            NaN
  1348.95        500.000        99.3783       0.873867E-001  0.204395       0.132346       0.197617                 NaN            NaN            NaN            NaN
  1347.99        500.000        99.3822       0.874446E-001  0.203164       0.130900       0.196326                 NaN            NaN            NaN            NaN
  1347.03        500.000        99.3890       0.870770E-001  0.200825       0.194660       0.128461                 NaN            NaN            NaN            NaN
  1346.06        500.000        99.3933       0.874188E-001  0.199580       0.193590       0.126088                 NaN            NaN            NaN            NaN
  1345.10        500.000        99.3981       0.875168E-001  0.198115       0.192312       0.123981                 NaN            NaN            NaN            NaN
  1344.13        500.000        99.4025       0.875283E-001  0.196685       0.121993       0.191264                 NaN            NaN            NaN            NaN
  1343.17        500.000        99.4071       0.877072E-001  0.195288       0.189970       0.119934                 NaN            NaN            NaN            NaN
  1342.21        500.000        99.4114       0.875635E-001  0.193919       0.188620       0.118485                 NaN            NaN            NaN            NaN
  1341.24        500.000        99.4173       0.876938E-001  0.191964       0.115597       0.187412                 NaN            NaN            NaN            NaN
  1340.28        500.000        99.4213       0.877107E-001  0.190811       0.114066       0.186135                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.4256       0.880463E-001  0.189511       0.111686       0.185160                 NaN            NaN            NaN            NaN
  1338.35        500.000        99.4304       0.873864E-001  0.187793       0.183591       0.110818                 NaN            NaN            NaN            NaN
  1337.39        500.000        99.4345       0.879616E-001  0.186672       0.182674       0.108240                 NaN            NaN            NaN            NaN
  1336.42        500.000        99.4381       0.880451E-001  0.185557       0.106364       0.181918                 NaN            NaN            NaN            NaN
  1335.46        500.000        99.4442       0.873696E-001  0.183457       0.179935       0.104995                 NaN            NaN            NaN            NaN
  1334.49        500.000        99.3709       0.100518       0.207797       0.204475       0.116303                 NaN            NaN            NaN            NaN
  1333.53        500.000        99.5286       0.746329E-001  0.155533       0.881923E-001  0.153007                 NaN            NaN            NaN            NaN
  1332.57        500.000        99.4563       0.871671E-001  0.179491       0.177103       0.999331E-001            NaN            NaN            NaN            NaN
  1331.60        500.000        99.4599       0.871894E-001  0.178414       0.987217E-001  0.175745                 NaN            NaN            NaN            NaN
