|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000       0.797540E-003   99.9583       0.238396E-001  0.170490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000                 NaN   99.5269       0.393262       0.797943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000                 NaN   99.4400       0.554597       0.541031E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000                 NaN   99.4416       0.554165       0.425783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000                 NaN   99.4454       0.553230       0.136641E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000                 NaN   99.4511       0.545081       0.383258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000                 NaN   99.4558       0.527535       0.166219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000                 NaN   99.4573       0.542675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000                 NaN   99.4631       0.520206       0.166794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000                 NaN   99.4679       0.495815       0.362821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000                 NaN   99.4682       0.531832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000                 NaN   99.4716       0.518429       0.997706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000                 NaN   99.4545       0.545517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000                 NaN   99.5674       0.428315       0.430970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000                 NaN   99.4195       0.477505       0.102967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000                 NaN   99.4898       0.510175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000                 NaN   99.4719       0.528089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000                 NaN   99.8467       0.606111E-001            NaN  0.926668E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000                 NaN   99.1324       0.867570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000                 NaN   99.4964       0.503643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000                 NaN   99.4305       0.455598                 NaN  0.113921                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000                 NaN   99.6605       0.203928E-001            NaN  0.319076                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000                 NaN   99.5320                 NaN            NaN  0.467971                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000                 NaN   98.9959       0.828331E-001            NaN  0.921292                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000                 NaN   99.3847       0.272458E-001            NaN  0.588062                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.3872       0.250829E-001            NaN  0.587679                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000                 NaN   99.3845       0.246323E-001            NaN  0.590854                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000                 NaN   99.3848       0.219613E-001            NaN  0.593279                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000                 NaN   99.3111       0.216585E-001            NaN  0.667221                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000                 NaN   99.4595       0.141539E-001  0.194391E-004  0.526302                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000                 NaN   99.3764                 NaN            NaN  0.623617                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000                 NaN   99.3922       0.275271E-001            NaN  0.580281                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000                 NaN   99.3653       0.888318E-002            NaN  0.625771                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000                 NaN   99.4063       0.390622E-002            NaN  0.589775                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000                 NaN   99.3847       0.181588E-002            NaN  0.613461                 NaN            NaN            NaN            NaN            NaN            NaN
