|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1596.15        500.000        99.5783                 NaN  0.391838       0.298968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.1584                 NaN  0.840879       0.725004E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.1676                 NaN  0.831521       0.829827E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.1729                 NaN  0.811199       0.158653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.1941                 NaN  0.780481       0.254639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.1945                 NaN  0.783592       0.219298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.2035                 NaN  0.774406       0.220964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.2122                 NaN  0.767004       0.207698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.2219                 NaN  0.758005       0.201039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.2276                 NaN  0.753580       0.188701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.2353                 NaN  0.745565       0.191198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.2430                 NaN  0.740189       0.168241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.2513                 NaN  0.731501       0.171960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.2601                 NaN  0.723248       0.166654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.2656                 NaN  0.718983       0.154447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.2721                 NaN  0.712008       0.159266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.2820                 NaN  0.703623       0.143481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.2862                 NaN  0.700817       0.129684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.2919                 NaN  0.695610       0.125359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.3014                 NaN  0.686819       0.118017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.3077                 NaN  0.678596       0.137393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.5435                 NaN  0.456049       0.459886E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.0817                 NaN  0.907360       0.109419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3264                 NaN  0.653334       0.203006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.2593                 NaN  0.733371       0.733998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.4140                 NaN  0.539306       0.466830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3427                 NaN  0.657340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.3494                 NaN  0.650585       0.884551E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.3275                 NaN  0.672461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.3864                 NaN  0.603236       0.103704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.3654                 NaN  0.620656       0.139476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        99.3738                 NaN  0.625108       0.109454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.3762                 NaN  0.623811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.3828                 NaN  0.605771       0.114667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        99.3884                 NaN  0.599110       0.124904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
