|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.25/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1592.95        500.000        99.6540       0.346015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000        99.0331       0.966904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000        99.0455       0.954533       0.156117E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000        99.0564       0.943637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000        99.0626       0.937426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000        99.0732       0.914598       0.122393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000        99.0822       0.917771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000        99.0928       0.875532       0.316679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000        99.1014       0.870408       0.281857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000        99.1099       0.863273       0.268192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000        99.1186       0.854069       0.272957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000        99.1283       0.846544       0.251236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000        99.1191       0.856813       0.240856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000        99.1584       0.818047       0.235911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000        99.1528       0.825345       0.218672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000        99.1592       0.819180       0.215922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000        99.1632       0.817708       0.190545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000        99.1763       0.804050       0.196420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
