|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5396       0.460388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5396       0.460387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5396       0.460387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5396       0.460386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5396       0.460386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5396       0.460386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5396       0.460385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5396       0.460385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5396       0.460384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5396       0.460384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5396       0.460383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5396       0.460383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5396       0.460382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.5396       0.460382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.5396       0.460382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.5396       0.460381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.5396       0.460381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.5396       0.460380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.5396       0.460380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.5396       0.460379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.5396       0.460379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.5396       0.460378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.5396       0.460378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.5396       0.460377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.5396       0.460377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.5396       0.460376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.5396       0.460376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.5396       0.460375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.5396       0.460374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.5396       0.460374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.5396       0.460373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.5396       0.460373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.5396       0.460372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.5396       0.460372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.8099       0.460373       0.729769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.9910       0.460375        1.54863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.1721       0.460376        2.36750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        96.3674       0.460378        3.17219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        95.5627       0.460379        3.97689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.9089       0.255443        5.45718       0.378522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        92.0541                 NaN   7.09559       0.850331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        91.2953                 NaN   7.85434       0.850334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        90.5366                 NaN   8.61309       0.850337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.7778                 NaN   9.37184       0.850340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        89.0191                 NaN   10.1306       0.850343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        88.2785                 NaN   10.8711       0.850346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.5380                 NaN   11.6117       0.850349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.8062                 NaN   12.3434       0.850352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        86.0529                 NaN   13.0811       0.850355       0.156828E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        85.3298                 NaN   13.7876       0.850358       0.322960E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.6066                 NaN   14.4941       0.850361       0.489093E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        83.8835                 NaN   15.2006       0.850364       0.655227E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        83.1604                 NaN   15.9071       0.850367       0.821362E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.4372                 NaN   16.6137       0.850370       0.987499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        81.7140                 NaN   17.3202       0.850373       0.115364                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        80.9909                 NaN   18.0268       0.850376       0.131978                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        80.2677                 NaN   18.7333       0.850379       0.148592                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        79.5773                 NaN   19.4084       0.850383       0.163909                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        78.8869                 NaN   20.0835       0.850386       0.179226                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        78.1965                 NaN   20.7585       0.850389       0.194543                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        77.5061                 NaN   21.4336       0.850392       0.209861                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        76.8157                 NaN   22.1087       0.850395       0.225178                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        76.1253                 NaN   22.7838       0.850399       0.240496                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        75.4349                 NaN   23.4589       0.850402       0.255814                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        74.7445                 NaN   24.1340       0.850405       0.271132                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        74.0814                 NaN   24.7829       0.850408       0.285236                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        73.4184                 NaN   25.4318       0.850411       0.299341                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        72.7554                 NaN   26.0807       0.850415       0.313446                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        72.0924                 NaN   26.7297       0.850418       0.327552                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        71.4293                 NaN   27.3786       0.850421       0.341657                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        70.7663                 NaN   28.0275       0.850425       0.355762                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        70.1033                 NaN   28.6764       0.850428       0.369868                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        69.4402                 NaN   29.3254       0.850431       0.383973                 NaN            NaN            NaN            NaN            NaN            NaN
