|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000       0.471398E-004   99.2943                 NaN  0.645356       0.602824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000                 NaN   99.1442                 NaN  0.855757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000                 NaN   99.1515                 NaN  0.848487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000                 NaN   99.1597                 NaN  0.840077       0.267105E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000                 NaN   99.1699                 NaN  0.830130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000                 NaN   99.1755                 NaN  0.824095       0.438356E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000                 NaN   99.1874                 NaN  0.811306       0.131676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000                 NaN   99.1012                 NaN  0.789002       0.109811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000                 NaN   99.3166                 NaN  0.626302       0.570621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000                 NaN   99.2105                 NaN  0.789499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000                 NaN   99.2234                 NaN  0.776576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000                 NaN   99.2278                 NaN  0.772176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000                 NaN   99.2326                 NaN  0.767351       0.842078E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000                 NaN   99.2473                 NaN  0.752660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000                 NaN   99.2502                 NaN  0.749802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000                 NaN   99.2590                 NaN  0.740968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000                 NaN   99.2621                 NaN  0.733058       0.483304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000                 NaN   99.2735                 NaN  0.726538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000                 NaN   99.2844                 NaN  0.699361       0.162189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000                 NaN   99.2859                 NaN  0.714096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000                 NaN   99.2918                 NaN  0.708166       0.624403E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000                 NaN   99.3007                 NaN  0.696891       0.244866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000                 NaN   99.3098                 NaN  0.660801       0.294120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000                 NaN   99.3146                 NaN  0.685413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
