|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000       0.741350E-004   99.1910                 NaN  0.738451       0.705102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000                 NaN   99.0209                 NaN  0.979090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000                 NaN   99.0291                 NaN  0.970901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000                 NaN   99.0382                 NaN  0.961439       0.312457E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000                 NaN   99.0495                 NaN  0.950452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000                 NaN   99.0558                 NaN  0.943705       0.513223E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000                 NaN   99.0692                 NaN  0.929308       0.154199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000                 NaN   98.9672                 NaN  0.904153       0.128630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000                 NaN   99.2150                 NaN  0.718100       0.669180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000                 NaN   99.0948                 NaN  0.905151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000                 NaN   99.1093                 NaN  0.890669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000                 NaN   99.1142                 NaN  0.885840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000                 NaN   99.1194                 NaN  0.880480       0.989153E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000                 NaN   99.1360                 NaN  0.863987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000                 NaN   99.1392                 NaN  0.860831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
