|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1464.74        2500.00       0.311881E-001   97.9876        1.41065       0.570514                 NaN  0.668191E-004            NaN            NaN            NaN            NaN
  1463.58        2500.00       0.111961E-002   99.2402       0.227624       0.531000                 NaN  0.700167E-005            NaN            NaN            NaN            NaN
  1462.41        2500.00       0.107272E-002   99.2438       0.226674       0.528422                 NaN  0.100995E-005            NaN            NaN            NaN            NaN
  1461.25        2500.00       0.933560E-003   99.2530       0.171512       0.542628                 NaN  0.318964E-001            NaN            NaN            NaN            NaN
  1460.08        2500.00       0.884685E-003   99.2468       0.551092       0.162821                 NaN  0.384241E-001            NaN            NaN            NaN            NaN
  1458.92        2500.00       0.825954E-003   99.2724       0.531118       0.159119                 NaN  0.365068E-001            NaN            NaN            NaN            NaN
  1457.75        2500.00       0.799939E-003   99.2658       0.535628       0.161438                 NaN  0.363800E-001            NaN            NaN            NaN            NaN
  1456.59        2500.00       0.761731E-003   99.2664       0.161245       0.535446                 NaN  0.361618E-001            NaN            NaN            NaN            NaN
  1455.42        2500.00       0.729075E-003   99.2753       0.526662       0.162713                 NaN  0.346016E-001            NaN            NaN            NaN            NaN
  1454.26        2500.00       0.691979E-003   99.2764       0.526384       0.162176                 NaN  0.343416E-001            NaN            NaN            NaN            NaN
  1453.09        2500.00       0.658150E-003   99.2799       0.523528       0.162215                 NaN  0.336856E-001            NaN            NaN            NaN            NaN
  1451.93        2500.00       0.606080E-003   99.2843       0.153736       0.523007                 NaN  0.383390E-001            NaN            NaN            NaN            NaN
  1450.76        2500.00       0.643595E-003   99.2378       0.551008       0.181450                 NaN  0.290512E-001            NaN            NaN            NaN            NaN
  1449.60        2500.00       0.521211E-003   99.3371       0.480627       0.152233                 NaN  0.294801E-001            NaN            NaN            NaN            NaN
  1448.43        2500.00       0.528724E-003   99.2933       0.163044       0.512164                 NaN  0.310108E-001            NaN            NaN            NaN            NaN
  1447.27        2500.00       0.497922E-003   99.2961       0.163407       0.509674                 NaN  0.303178E-001            NaN            NaN            NaN            NaN
  1446.10        2500.00       0.468936E-003   99.2949       0.164655       0.509988                 NaN  0.299597E-001            NaN            NaN            NaN            NaN
  1444.94        2500.00       0.185202E-003   99.7047       0.688477E-001  0.213799                 NaN  0.124288E-001            NaN            NaN            NaN            NaN
  1443.77        2500.00       0.680330E-003   98.9070       0.258303       0.789100                 NaN  0.448784E-001            NaN            NaN            NaN            NaN
  1442.61        2500.00       0.378955E-003   99.3066       0.164090       0.501283                 NaN  0.276318E-001            NaN            NaN            NaN            NaN
  1441.44        2500.00       0.374181E-003   99.2673       0.174526       0.528617                 NaN  0.291407E-001            NaN            NaN            NaN            NaN
  1440.28        2500.00       0.307580E-003   99.3571       0.464180       0.153644                 NaN  0.248134E-001            NaN            NaN            NaN            NaN
  1439.12        2500.00       0.208604E-003   99.3228       0.102563       0.511114                 NaN  0.633019E-001            NaN            NaN            NaN            NaN
  1437.95        2500.00       0.339345E-003   99.3161       0.477705       0.205846                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.79        2500.00       0.285884E-003   99.3146       0.187338       0.485351                 NaN  0.124651E-001            NaN            NaN            NaN            NaN
  1435.62        2500.00       0.229040E-003   99.3298       0.163623       0.482461                 NaN  0.238525E-001            NaN            NaN            NaN            NaN
  1434.46        2500.00       0.214347E-003   99.3264       0.165368       0.484428                 NaN  0.235538E-001            NaN            NaN            NaN            NaN
  1433.29        2500.00       0.189160E-003   99.3290       0.165463       0.482470                 NaN  0.229187E-001            NaN            NaN            NaN            NaN
  1432.13        2500.00       0.178689E-003   99.2201       0.191950       0.559976                 NaN  0.278376E-001            NaN            NaN            NaN            NaN
  1430.96        2500.00       0.136509E-003   99.4454       0.397224       0.140511                 NaN  0.167334E-001            NaN            NaN            NaN            NaN
  1429.80        2500.00       0.111372E-002   99.0640       0.508995       0.207639                 NaN  0.841112E-001  0.134140                 NaN            NaN            NaN
  1428.63        2500.00                 NaN   98.2697       0.617485       0.312742                 NaN  0.273080       0.527003                 NaN            NaN            NaN
  1427.47        2500.00                 NaN   98.2904       0.612615       0.302829                 NaN  0.273370       0.520830                 NaN            NaN            NaN
  1426.30        2500.00                 NaN   98.3133       0.607868       0.292685                 NaN  0.272339       0.513790                 NaN            NaN            NaN
  1425.14        2500.00                 NaN   98.3326       0.282349       0.604325                 NaN  0.272688       0.508051                 NaN            NaN            NaN
  1423.97        2500.00                 NaN   98.3545       0.599293       0.272360                 NaN  0.272307       0.501564                 NaN            NaN            NaN
  1422.81        2500.00                 NaN   98.3745       0.263003       0.594908                 NaN  0.272116       0.495428                 NaN            NaN            NaN
  1421.64        2500.00                 NaN   98.3946       0.590385       0.253716                 NaN  0.271822       0.489437                 NaN            NaN            NaN
  1420.48        2500.00                 NaN   98.4133       0.244368       0.586794                 NaN  0.271729       0.483820                 NaN            NaN            NaN
  1419.31        2500.00                 NaN   98.4309       0.234875       0.583915                 NaN  0.271772       0.478584                 NaN            NaN            NaN
  1418.15        2500.00                 NaN   98.4501       0.226341       0.579332                 NaN  0.271559       0.472700                 NaN            NaN            NaN
  1416.98        2500.00                 NaN   98.4682       0.576062       0.217179                 NaN  0.271233       0.467365                 NaN            NaN            NaN
  1415.82        2500.00                 NaN   98.4845       0.208186       0.573611                 NaN  0.271423       0.462318                 NaN            NaN            NaN
  1414.66        2500.00                 NaN   98.5008       0.570155       0.200408                 NaN  0.271364       0.457283                 NaN            NaN            NaN
  1413.49        2500.00                 NaN   98.5196       0.566443       0.191628                 NaN  0.270623       0.451673                 NaN            NaN            NaN
  1412.33        2500.00                 NaN   98.5311       0.181440       0.566530                 NaN  0.272485       0.448420                 NaN            NaN            NaN
  1411.16        2500.00                 NaN   99.6534       0.856985E-001  0.104172                 NaN  0.607600E-001  0.959532E-001            NaN            NaN            NaN
  1410.00        2500.00                 NaN   97.4733        1.02828       0.241145                 NaN  0.477202       0.780116                 NaN            NaN            NaN
  1408.83        2500.00                 NaN   98.5826       0.554302       0.160649                 NaN  0.270038       0.432385                 NaN            NaN            NaN
  1407.67        2500.00                 NaN   98.6001       0.152824       0.550046                 NaN  0.269846       0.427224                 NaN            NaN            NaN
  1406.50        2500.00                 NaN   98.6138       0.144637       0.548809                 NaN  0.269804       0.422993                 NaN            NaN            NaN
  1405.34        2500.00                 NaN   98.6281       0.137883       0.545850                 NaN  0.269558       0.418561                 NaN            NaN            NaN
  1404.17        2500.00                 NaN   98.6424       0.131002       0.543138                 NaN  0.269265       0.414187                 NaN            NaN            NaN
  1403.01        2500.00                 NaN   98.6563       0.541988       0.122310                 NaN  0.269386       0.410053                 NaN            NaN            NaN
  1401.84        2500.00                 NaN   98.6711       0.116617       0.538538                 NaN  0.268469       0.405309                 NaN            NaN            NaN
  1400.68        2500.00                 NaN   98.6762       0.543255       0.100140                 NaN  0.275299       0.405140                 NaN            NaN            NaN
  1399.51        2500.00                 NaN   98.7069       0.112828       0.525837                 NaN  0.261560       0.392913                 NaN            NaN            NaN
  1398.35        2500.00                 NaN   98.7105       0.531039       0.970179E-001            NaN  0.268172       0.393268                 NaN            NaN            NaN
  1397.18        2500.00                 NaN   98.7237       0.529766       0.901801E-001            NaN  0.267303       0.389033                 NaN            NaN            NaN
  1396.02        2500.00                 NaN   98.7363       0.528363       0.832269E-001            NaN  0.267000       0.385075                 NaN            NaN            NaN
  1394.85        2500.00                 NaN   98.7451       0.527355       0.774526E-001            NaN  0.267664       0.382466                 NaN            NaN            NaN
  1393.69        2500.00                 NaN   98.7591       0.525632       0.701404E-001            NaN  0.267091       0.378030                 NaN            NaN            NaN
  1392.52        2500.00                 NaN   98.7740       0.666891E-001  0.521576                 NaN  0.264670       0.373040                 NaN            NaN            NaN
  1391.36        2500.00                 NaN   98.7840       0.520817       0.597019E-001            NaN  0.265280       0.370186                 NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.7928       0.520386       0.540360E-001            NaN  0.265425       0.367318                 NaN            NaN            NaN
  1389.03        2500.00                 NaN   98.8078       0.474017E-001  0.518238                 NaN  0.263876       0.362660                 NaN            NaN            NaN
  1387.87        2500.00                 NaN   98.8149       0.518901       0.412290E-001            NaN  0.264620       0.360309                 NaN            NaN            NaN
  1386.70        2500.00                 NaN   98.8293       0.515232       0.375240E-001            NaN  0.262362       0.355552                 NaN            NaN            NaN
  1385.54        2500.00                 NaN   98.8394       0.321759E-001  0.513113                 NaN  0.262595       0.352731                 NaN            NaN            NaN
  1384.37        2500.00                 NaN   98.8501       0.257070E-001  0.513041                 NaN  0.261869       0.349304                 NaN            NaN            NaN
  1383.21        2500.00                 NaN   98.8599       0.511449       0.218199E-001            NaN  0.260904       0.345919                 NaN            NaN            NaN
  1382.04        2500.00                 NaN   98.8691       0.511336       0.162761E-001            NaN  0.260339       0.342956                 NaN            NaN            NaN
  1380.88        2500.00                 NaN   98.8800       0.508053       0.129044E-001            NaN  0.259551       0.339487                 NaN            NaN            NaN
  1379.71        2500.00                 NaN   98.8895       0.684419E-002  0.508559                 NaN  0.258724       0.336407                 NaN            NaN            NaN
  1378.55        2500.00                 NaN   98.9002       0.506782       0.241763E-002            NaN  0.257615       0.333006                 NaN            NaN            NaN
  1377.38        2500.00                 NaN   98.9047       0.504013                 NaN            NaN  0.259287       0.331985                 NaN            NaN            NaN
  1376.22        2500.00                 NaN   98.9169       0.500161       0.257731E-002            NaN  0.253292       0.327094                 NaN            NaN            NaN
  1375.05        2500.00                 NaN   98.9328       0.492722                 NaN            NaN  0.252507       0.321986                 NaN            NaN            NaN
  1373.89        2500.00                 NaN   98.9379       0.491824                 NaN            NaN  0.250227       0.320011                 NaN            NaN            NaN
