|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1573.72        2500.00        99.7254       0.207108       0.675347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        2500.00        99.3397       0.588959       0.713247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        2500.00        99.3433       0.586978       0.697031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.3471       0.583653       0.692508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        2500.00        99.3519       0.580729       0.673667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3640       0.568637       0.673616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        2500.00        99.3640       0.569494       0.665012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        2500.00        99.3704       0.564065       0.655593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        2500.00        99.3638       0.569871       0.663743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00        99.3905       0.547369       0.621639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        2500.00        99.3824       0.554706       0.628506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00        99.3884       0.530279       0.813239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        2500.00        99.3652       0.589520       0.452314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4282       0.513760       0.580864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        2500.00        99.4023       0.537465       0.602086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4071       0.535323       0.575758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        2500.00        99.4113       0.531175       0.575661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        2500.00        99.4164       0.526646       0.569197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        2500.00        99.4200       0.524142       0.558141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        2500.00        99.4236       0.521225       0.551540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        2500.00        99.4286       0.516808       0.545664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.4321       0.513688       0.542232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        2500.00        99.4364       0.511000       0.525966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        2500.00        99.4367       0.512503       0.507736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        2500.00        99.3571       0.586419       0.565287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00        99.5305       0.431935       0.375797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        2500.00        99.4481       0.502113       0.497773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        2500.00        99.1067       0.818176       0.751447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        2500.00        99.8113       0.171404       0.173214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.4613       0.492165       0.465403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        2500.00        99.4642       0.490853       0.449340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        2500.00        99.4663       0.490295       0.434011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
