|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1573.72        2500.00        99.7610       0.181154       0.578039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        2500.00        99.4237       0.515214       0.610577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        2500.00        99.4270       0.513342       0.596427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.4305       0.510233       0.592199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        2500.00        99.4347       0.507664       0.576132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.4456       0.496871       0.575621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        2500.00        99.4457       0.497519       0.568064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        2500.00        99.4514       0.492636       0.559907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        2500.00        99.4458       0.497577       0.566652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00        99.4693       0.477715       0.530336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        2500.00        99.4624       0.483991       0.535949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00        99.4681       0.462552       0.693176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        2500.00        99.4474       0.514066       0.385381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.5027       0.447814       0.494656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        2500.00        99.4803       0.468437       0.512611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4845       0.466493       0.490135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        2500.00        99.4883       0.462731       0.489770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        2500.00        99.4929       0.458672       0.484136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        2500.00        99.4962       0.456313       0.474448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        2500.00        99.4995       0.453652       0.468649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        2500.00        99.5040       0.449662       0.463416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.5072       0.446803       0.460396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        2500.00        99.5110       0.444359       0.446329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        2500.00        99.5114       0.445582       0.430664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        2500.00        99.4421       0.509931       0.479369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00        99.5929       0.375296       0.318521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        2500.00        99.5216       0.436183       0.421817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        2500.00        99.2255       0.710903       0.636129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        2500.00        99.8366       0.148735       0.146573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.5335       0.427144       0.393865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        2500.00        99.5361       0.425925       0.380090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        2500.00        99.5379       0.425427       0.367002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        2500.00        99.5450       0.417555       0.374858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00        99.5458       0.417712       0.364927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        2500.00        99.5486       0.415109       0.362658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.0423       0.878614       0.790509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        2500.00        99.9833       0.624200E-002  0.104427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00        99.6457       0.337279       0.170032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00        99.5610       0.406116       0.328565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00        99.5629       0.404902       0.322104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        2500.00        99.5645       0.404422       0.310912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        2500.00        99.5687       0.400447       0.308411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        2500.00        99.5700       0.401092       0.289544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        2500.00        99.5727       0.398840       0.285004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        2500.00        99.5756       0.395766       0.286326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        2500.00        99.5777       0.394384       0.279332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
