|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        2500.00        99.6179       0.221931       0.160132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.3027       0.611800       0.854755E-001  0.225845E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00        99.3061       0.610793       0.830714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00        99.1599       0.772364       0.677439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00        99.4662       0.448800       0.849630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.3338       0.586700       0.795451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00        99.3349       0.585177       0.798743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00        98.8340        1.02125       0.144714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00        99.8523       0.129480       0.182555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.4623       0.475227       0.624796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00        99.2600       0.652854       0.871021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00        99.3648       0.561151       0.740082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00        99.3545       0.570569       0.748859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.6021       0.351728       0.461278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00        99.1716       0.734186       0.942304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00        99.3874       0.543801       0.688050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00        99.3920       0.537678       0.703453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.4028       0.528469       0.687398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00        99.4053       0.526849       0.678149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00        99.4097       0.522746       0.675782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
