|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        San(TH)        q             
  1451.92        500.000        97.7624        1.26666       0.820056       0.150928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2377       0.460171       0.292738       0.943058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2440       0.299976       0.456012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.3691       0.505494                 NaN  0.125390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1449       0.388254       0.412314       0.181418E-001  0.363797E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2788       0.435410       0.285789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2635       0.444599       0.291940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2687       0.442037       0.289271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2605       0.447265       0.292248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2891       0.429276       0.281589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2830       0.433407       0.283599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2891       0.280613       0.430275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2921       0.279270       0.428592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2959       0.277497       0.426619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.3015       0.423498       0.274982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.3053       0.421427       0.273241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.3098       0.271418       0.418790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.3132       0.416561       0.270232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3182       0.267868       0.413884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.3220       0.411716       0.266245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.3265       0.264354       0.409123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.3299       0.262383       0.407747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        98.2602       0.682658       0.554353                 NaN            NaN  0.502832                 NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        98.1410       0.564179       0.729188                 NaN            NaN  0.565598                 NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        98.1642       0.557887       0.719208                 NaN            NaN  0.558708                 NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        98.1939       0.549044       0.707487                 NaN            NaN  0.549550                 NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        98.2208       0.541726       0.696072                 NaN            NaN  0.541444                 NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        98.2479       0.533959       0.684985                 NaN            NaN  0.533149                 NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        98.2729       0.526897       0.674927                 NaN            NaN  0.525232                 NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        98.3018       0.663157       0.518613                 NaN            NaN  0.516380                 NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.3271       0.653181       0.510999                 NaN            NaN  0.508757                 NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.3499       0.643786       0.504670                 NaN            NaN  0.501687                 NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.3735       0.497704       0.634439                 NaN            NaN  0.494334                 NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.3967       0.491085       0.625181                 NaN            NaN  0.486995                 NaN            NaN            NaN            NaN            NaN
