|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        San(TH)        q             
  1451.92        500.000        97.4370        1.44393       0.944301       0.174721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.1251       0.525956       0.338004       0.109483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1322       0.346476       0.521308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2761       0.578169                 NaN  0.145682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.0146       0.448636       0.471482       0.210750E-001  0.442404E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1711       0.498324       0.330618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1532       0.508980       0.337839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1589       0.506211       0.334924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1491       0.512382       0.338541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.1817       0.491916       0.326359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.1744       0.496811       0.328782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1811       0.325518       0.493426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1842       0.324120       0.491682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.1882       0.322203       0.489571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.1944       0.486186       0.319451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.1984       0.484009       0.317584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.2032       0.315620       0.481139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.2069       0.478751       0.314399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.2123       0.311805       0.475897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2163       0.473559       0.310112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.2212       0.308036       0.470756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.2247       0.305921       0.469364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        98.0889       0.795928       0.637973                 NaN            NaN  0.477244                 NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        97.9633       0.649419       0.850498                 NaN            NaN  0.536750                 NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        97.9881       0.642403       0.839327                 NaN            NaN  0.530193                 NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        98.0197       0.632555       0.826255                 NaN            NaN  0.521491                 NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        98.0484       0.624393       0.813433                 NaN            NaN  0.513790                 NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        98.0774       0.615696       0.800999                 NaN            NaN  0.505912                 NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        98.1040       0.607830       0.789788                 NaN            NaN  0.498396                 NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        98.1350       0.776434       0.598543                 NaN            NaN  0.489998                 NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.1619       0.765310       0.590043                 NaN            NaN  0.482767                 NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.1861       0.754775       0.583018                 NaN            NaN  0.476063                 NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.2114       0.575217       0.744326                 NaN            NaN  0.469093                 NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.2360       0.567848       0.733965                 NaN            NaN  0.462139                 NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.2603       0.560376       0.723867                 NaN            NaN  0.455484                 NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.2842       0.713857       0.552770                 NaN            NaN  0.449142                 NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.3065       0.704357       0.546282                 NaN            NaN  0.442823                 NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        98.3285       0.539411       0.695217                 NaN            NaN  0.436889                 NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.3461       0.534837       0.687017                 NaN            NaN  0.432030                 NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.3726       0.525968       0.676929                 NaN            NaN  0.424464                 NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.3904       0.668522       0.521386                 NaN            NaN  0.419670                 NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.4102       0.514385       0.661306                 NaN            NaN  0.414144                 NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.4316       0.507585       0.652690                 NaN            NaN  0.408157                 NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.4524       0.501260       0.643902                 NaN  0.646002E-005  0.402467                 NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.4653       0.511349       0.553966                 NaN  0.608557E-001  0.408556                 NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.4781       0.408297       0.530201                 NaN  0.162252       0.421154                 NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.4956       0.526557       0.394407                 NaN  0.166477       0.416967                 NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.5118       0.522585       0.384772                 NaN  0.168100       0.412693                 NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.5331       0.516109       0.374514                 NaN  0.169103       0.407188                 NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        98.5417       0.365985       0.514685                 NaN  0.172324       0.405294                 NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.5664       0.507438       0.357477                 NaN  0.170976       0.397676                 NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        98.5818       0.502510       0.348532                 NaN  0.172904       0.394285                 NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        98.6010       0.498894       0.336634                 NaN  0.174721       0.388755                 NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.6092       0.497187       0.329120                 NaN  0.176955       0.387521                 NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.6295       0.490538       0.321745                 NaN  0.176804       0.381374                 NaN            NaN            NaN            NaN            NaN
