|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/YM20/YM20_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1544.87        500.000       0.266917E-003   99.7039                 NaN  0.295822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.50        500.000                 NaN   99.4136                 NaN  0.534049       0.523509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.14        500.000                 NaN   98.4550       0.293969        1.20731       0.437165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.9684                 NaN  0.315826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.41        500.000                 NaN   99.4505                 NaN  0.549547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        500.000                 NaN   99.4284                 NaN  0.571637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.68        500.000                 NaN   99.4331                 NaN  0.566894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.31        500.000                 NaN   99.4379                 NaN  0.549137       0.129245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.95        500.000                 NaN   99.4364                 NaN  0.536195       0.274128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000                 NaN   99.4547                 NaN  0.521804       0.234874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        500.000                 NaN   99.4502                 NaN  0.525484       0.243490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        500.000                 NaN   99.4530                 NaN  0.525405       0.215622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.48        500.000                 NaN   99.4616                 NaN  0.516086       0.222939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        500.000                 NaN   99.4631                 NaN  0.514934       0.219480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   99.4663                 NaN  0.511401       0.223250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.39        500.000                 NaN   99.0709                 NaN  0.893526       0.355365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.02        500.000                 NaN   99.8568                 NaN  0.138236       0.495312E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.65        500.000                 NaN   99.4992                 NaN  0.482820       0.179449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.29        500.000                 NaN   99.4774                 NaN  0.506022       0.165860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.4876                 NaN  0.494038       0.183370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.56        500.000                 NaN   99.4398                 NaN  0.538650       0.215092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
