|6.6.6
Archiving\03_Data\eq/QFM_m5/ALH/ALH_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        90.8654       0.861792        8.27284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        90.8410       0.861851        8.29714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        90.8167       0.861910        8.32144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        90.7923       0.861968        8.34574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        90.7679       0.862027        8.37005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        90.7436       0.862086        8.39436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        90.7192       0.862145        8.41867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        90.6948       0.862203        8.44299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        90.6704       0.862262        8.46731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        90.6467       0.862319        8.49097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        90.6230       0.862377        8.51463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        90.5993       0.862434        8.53829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        90.5755       0.862491        8.56196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        90.5518       0.862548        8.58563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        90.5281       0.862605        8.60931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        90.5044       0.862662        8.63299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        90.4806       0.862720        8.65667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        90.4575       0.862775        8.67971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        90.4344       0.862831        8.70275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        90.4113       0.862887        8.72580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        90.3882       0.862942        8.74885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        90.3651       0.862998        8.77190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        90.3420       0.863054        8.79495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        90.3189       0.863109        8.81801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        90.2958       0.863165        8.84107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        90.2733       0.863219        8.86350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        90.2508       0.863273        8.88592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        90.2283       0.863327        8.90835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        90.2058       0.863382        8.93079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        90.1833       0.863436        8.95322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        90.1608       0.863490        8.97566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        90.1384       0.863544        8.99811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        90.1159       0.863598        9.02055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        90.0938       0.863651        9.04253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        90.0718       0.863704        9.06451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        90.0498       0.863757        9.08649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        90.0277       0.863811        9.10847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.0059       0.863863        9.13023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        89.9841       0.863916        9.15200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.9624       0.863968        9.17366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        89.5546       0.863978        9.17777       0.403688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.9878       0.863959        9.16968       0.978546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        88.4211       0.863940        9.16159        1.55338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        87.8544       0.863921        9.15350        2.12819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        87.2877       0.863902        9.14542        2.70297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        86.7211       0.863883        9.13733        3.27772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        86.1544       0.863864        9.12925        3.85245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        85.5878       0.863844        9.12116        4.42716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        85.0213       0.863825        9.11308        5.00184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.4880       0.863788        9.09738        5.55088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        83.9547       0.863750        9.08168        6.09987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        83.4215       0.863713        9.06598        6.64881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.8883       0.863675        9.05028        7.19770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        82.3552       0.863638        9.03458        7.74655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
