|6.6.6
Archiving\03_Data\eq/QFM_m5/ALH/ALH_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        95.8494       0.728705        3.42189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        95.8389       0.728854        3.43220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        95.8285       0.729003        3.44252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        95.8180       0.729151        3.45284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        95.8075       0.729300        3.46317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        95.7971       0.729449        3.47350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        95.7866       0.729597        3.48383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        95.7761       0.729746        3.49417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        95.7656       0.729895        3.50450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        95.7554       0.730041        3.51457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        95.7452       0.730188        3.52464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        95.7350       0.730335        3.53471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        95.7247       0.730482        3.54478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        95.7145       0.730628        3.55485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        95.7043       0.730775        3.56493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        95.6941       0.730921        3.57502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        95.6838       0.731068        3.58510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.6739       0.731213        3.59492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.6639       0.731358        3.60474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.6539       0.731502        3.61457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.6440       0.731647        3.62440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.6340       0.731792        3.63423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        95.6240       0.731936        3.64406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        95.6140       0.732081        3.65390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.6040       0.732226        3.66374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.5943       0.732369        3.67331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        95.5846       0.732511        3.68289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        95.5749       0.732654        3.69247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        95.5651       0.732797        3.70206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.5554       0.732940        3.71164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.5457       0.733082        3.72123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.5360       0.733225        3.73082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.5262       0.733368        3.74042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.5167       0.733509        3.74982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        95.5071       0.733651        3.75922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        95.4976       0.733792        3.76863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.4880       0.733933        3.77804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        95.4786       0.734074        3.78736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        95.4691       0.734215        3.79668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        95.4597       0.734355        3.80596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        95.0645       0.734606        3.80871       0.392147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        94.5093       0.734889        3.80670       0.949156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        93.9536       0.735172        3.80469        1.50657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        93.3975       0.735453        3.80267        2.06439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        92.8410       0.735733        3.80064        2.62261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        92.2842       0.736013        3.79860        3.18123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        91.7269       0.736291        3.79655        3.74025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        91.1693       0.736568        3.79450        4.29966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        90.6112       0.736844        3.79245        4.85947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        90.0846       0.737086        3.78712        5.39118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
