|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         San(TH)        ilm            q             
  1423.08        500.000        99.9886       0.114077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5951       0.150873       0.254066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.5011       0.325725       0.173163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.5055       0.322970       0.171531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.5077       0.170596       0.321655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.5003       0.174143       0.320567                 NaN            NaN  0.500146E-002            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.5804       0.406967       0.553776                 NaN            NaN  0.458817                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.5973       0.547283       0.401815                 NaN            NaN  0.453555                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.6007       0.545387       0.401556                 NaN            NaN  0.452341       0.157204E-005            NaN            NaN            NaN            NaN
  1413.54        500.000        98.6626       0.383257       0.521588                 NaN            NaN  0.432506       0.287136E-004            NaN            NaN            NaN            NaN
  1412.48        500.000        98.6589       0.383828       0.523226                 NaN            NaN  0.433863       0.174863E-003            NaN            NaN            NaN            NaN
  1411.42        500.000        98.6773       0.515787       0.378920                 NaN            NaN  0.427984                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.6568       0.523157       0.385469                 NaN            NaN  0.434570                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.7511       0.357678       0.486996                 NaN            NaN  0.404183                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.7114       0.359506       0.511907                 NaN            NaN  0.417182                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.7562       0.476903       0.363915                 NaN            NaN  0.403012                 NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.7724       0.478707       0.351922                 NaN            NaN  0.396930                 NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.7770       0.447438       0.357859                 NaN            NaN  0.399737       0.180019E-001            NaN            NaN            NaN            NaN
