|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.2163       0.783672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.7845       0.212154       0.182745E-003  0.314011E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        98.5468        1.45318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1862       0.800639       0.395263E-002  0.917679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1813       0.790173                 NaN  0.285282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1867       0.785965                 NaN  0.273369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.1914       0.782507                 NaN  0.261347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.1977       0.777655                 NaN  0.246705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.2008       0.775328                 NaN  0.238634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2060       0.771120                 NaN  0.228829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.2099       0.768672                 NaN  0.214530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.2115       0.767357                 NaN  0.211618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.2210       0.759557                 NaN  0.194561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2194       0.762505                 NaN  0.180848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.2273       0.755910                 NaN  0.168108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.2307       0.752940                 NaN  0.163767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.0242       0.774852E-001            NaN  0.269310E-001  0.871399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.1413                 NaN            NaN            NaN  0.858708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.0399                 NaN  0.257435E-002            NaN  0.957550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.0093                 NaN  0.747409E-002            NaN  0.983205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.9049                 NaN  0.814834E-002  0.355500E-003   1.08660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        99.8809                 NaN  0.870418E-003  0.401543E-004  0.118171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.1576                 NaN  0.132658E-001            NaN   1.82918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.9464                 NaN  0.737877E-002  0.113364E-005   1.04626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.9139                 NaN  0.737174E-002            NaN   1.07869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        99.4788                 NaN  0.337078E-002            NaN  0.517870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.1790                 NaN  0.113669E-001            NaN   1.80965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.5101                 NaN  0.703486E-002            NaN  0.747321       0.735568                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.3395                 NaN  0.662890E-002            NaN   1.31804       0.335870                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.3627                 NaN  0.648884E-002            NaN   1.30031       0.330472                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.3743                 NaN  0.586631E-002  0.119134       0.582805E-001   1.44244                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.3936                 NaN  0.561422E-002  0.155831        1.44498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.4172                 NaN  0.548516E-002  0.155584        1.42168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.4442                 NaN  0.531501E-002  0.157047        1.39343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.4656                 NaN  0.521807E-002  0.150117        1.37910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.4866                 NaN  0.511323E-002  0.146970        1.36128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.2696                 NaN  0.580454E-002  0.175324        1.54930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.7762                 NaN  0.404186E-002  0.118434        1.10135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.5571                 NaN  0.465381E-002  0.148841        1.28937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.5749                 NaN  0.462220E-002  0.134810       0.155860E-001   1.27005                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.5967                 NaN  0.445507E-002  0.139498        1.25931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.6176                 NaN  0.433266E-002  0.139282        1.23877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.6337                 NaN  0.424226E-002  0.132710        1.22289       0.646983E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.6536                 NaN  0.412588E-002  0.132035        1.21020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.6677                 NaN  0.405409E-002  0.125585        1.18067       0.219612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        99.4598                 NaN  0.162689E-002  0.510988E-001  0.318151E-002  0.484334                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        97.9290                 NaN  0.618021E-002  0.191195        1.81442       0.591763E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.7200                 NaN  0.375707E-002  0.117038        1.11680       0.423633E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.7321                 NaN  0.366050E-002  0.115085        1.10870       0.404785E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.7532                 NaN  0.355398E-002  0.112448       0.468979E-001   1.08386                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.7594                 NaN  0.352174E-002  0.106907        1.06396       0.662415E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.7882                 NaN  0.332908E-002  0.111109        1.05545       0.419356E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.7763                 NaN  0.331226E-002  0.107294        1.05356       0.595474E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        99.2823                 NaN  0.208804E-002  0.368254E-001  0.537317       0.141476                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.3679                 NaN  0.421552E-002  0.157504       0.309975E-001   1.43940                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.8435                 NaN  0.294345E-002  0.107601       0.380759E-001   1.00789                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.8515                 NaN  0.292262E-002  0.969869E-001  0.972899       0.756991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.8648                 NaN  0.283803E-002  0.948958E-001  0.798886E-001  0.957587                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.8772                 NaN  0.275805E-002  0.929184E-001  0.943410       0.836659E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.8715                 NaN  0.274120E-002  0.924929E-001  0.944996       0.882381E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.9150                 NaN  0.256623E-002  0.866020E-001  0.950117E-001  0.900863                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        98.9100                 NaN  0.249959E-002  0.890041E-001  0.917527       0.809640E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.9336                 NaN  0.243162E-002  0.845572E-001  0.968971E-001  0.882555                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.9363                 NaN  0.236596E-002  0.836138E-001  0.980632E-001  0.879640                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.9473                 NaN  0.230147E-002  0.817883E-001  0.102290       0.866296                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.9578                 NaN  0.222607E-002  0.801358E-001  0.103462       0.856404                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.9671                 NaN  0.216240E-002  0.784935E-001  0.845853       0.106411                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.9800                 NaN  0.208864E-002  0.766926E-001  0.832406       0.108850                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.9884                 NaN  0.202212E-002  0.751129E-001  0.822187       0.112282                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        98.9992                 NaN  0.194997E-002  0.734336E-001  0.114214       0.811209                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        99.0076                 NaN  0.189229E-002  0.719491E-001  0.801119       0.117460                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        99.0156                 NaN  0.182127E-002  0.701257E-001  0.794324       0.118139                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        99.0296                 NaN  0.175494E-002  0.691020E-001  0.119614       0.779929                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.0357                 NaN  0.170122E-002  0.674204E-001  0.123345       0.771818                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        99.0326                 NaN  0.168038E-002  0.560887E-001  0.756180       0.153476                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        99.0666                 NaN  0.152099E-002  0.743263E-001  0.759727       0.977926E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        99.0610                 NaN  0.151172E-002  0.641560E-001  0.126139       0.747195                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.0709                 NaN  0.146781E-002  0.606192E-001  0.733957       0.133009                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        99.0704                 NaN  0.141418E-002  0.607069E-001  0.133209       0.734240                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        99.0933                 NaN  0.134571E-002  0.587300E-001  0.134287       0.712290                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        99.0936                 NaN  0.129745E-002  0.577395E-001  0.135587       0.711754                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        99.0998                 NaN  0.124911E-002  0.565691E-001  0.705580       0.136792                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        99.1080                 NaN  0.119907E-002  0.553349E-001  0.695826       0.139658                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        99.1145                 NaN  0.114382E-002  0.537944E-001  0.140036       0.690491                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.1190                 NaN  0.108023E-002  0.537317E-001  0.135611       0.690594                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.1335                 NaN  0.104799E-002  0.509580E-001  0.144333       0.670156                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.1334                 NaN  0.100229E-002  0.502623E-001  0.669969       0.145408                 NaN            NaN            NaN            NaN            NaN            NaN
