|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9771       0.229347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5691       0.354556E-001  0.395409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4437       0.813453E-002  0.548215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4456       0.112861E-002  0.553237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4497       0.290738E-002  0.547344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4529       0.344891E-002  0.543635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4585       0.113643E-001  0.530169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.1458       0.779001E-004  0.854100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.7933       0.697926E-001  0.136876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4678       0.832292E-002  0.523925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4793       0.835339E-001  0.437206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4756                 NaN  0.524390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4509                 NaN  0.549138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5068                 NaN  0.493165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4844                 NaN  0.515560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.4864       0.938469E-003  0.512705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4702       0.117348E-002  0.528649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.8041       0.191187E-002  0.193975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.2025                 NaN  0.778466       0.190316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.3786                 NaN  0.459123E-001  0.575455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.3790                 NaN  0.427207E-001  0.578249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.3803                 NaN  0.399380E-001  0.579798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3804                 NaN  0.380155E-001  0.581615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3830                 NaN  0.355069E-001  0.581520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3381                 NaN  0.358473E-001  0.626060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4300                 NaN  0.280625E-001  0.541948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3847                 NaN  0.547892E-001  0.560518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.3827                 NaN            NaN  0.617320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3906                 NaN  0.215212E-001  0.587851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.3865                 NaN  0.203399E-001  0.593138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3862                 NaN  0.178070E-001  0.596027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.3895                 NaN  0.144303E-001  0.596113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
