|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1917.29        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.8923                 NaN            NaN  0.107738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4607                 NaN            NaN  0.539343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4557                 NaN            NaN  0.544334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4707                 NaN            NaN  0.529303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4669                 NaN            NaN  0.533146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4713                 NaN            NaN  0.528702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4687                 NaN            NaN  0.526074                 NaN  0.520372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4668                 NaN            NaN  0.522713                 NaN  0.104912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4689                 NaN            NaN  0.520656                 NaN  0.104600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4730                 NaN            NaN  0.516571                 NaN  0.103926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4742                 NaN            NaN  0.515430                 NaN  0.103829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4768                 NaN            NaN  0.512838                 NaN  0.103548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4788                 NaN            NaN  0.510869                 NaN  0.103100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4803                 NaN            NaN  0.509420                 NaN  0.102848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4824                 NaN            NaN  0.507325                 NaN  0.102512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4858                 NaN            NaN  0.503971                 NaN  0.101869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4849                 NaN            NaN  0.504887                 NaN  0.102271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4898                 NaN            NaN  0.500090                 NaN  0.101068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4889                 NaN            NaN  0.500923                 NaN  0.101524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4921                 NaN            NaN  0.497830                 NaN  0.100661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4937                 NaN            NaN  0.496292                 NaN  0.100324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4939                 NaN            NaN  0.496085                 NaN  0.100242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4960                 NaN            NaN  0.494043                 NaN  0.998553E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4969                 NaN            NaN  0.493161                 NaN  0.995375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4978                 NaN            NaN  0.492314                 NaN  0.993297E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4984                 NaN            NaN  0.491723                 NaN  0.990662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5000                 NaN            NaN  0.490127                 NaN  0.986564E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5004                 NaN            NaN  0.489768                 NaN  0.985194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4991                 NaN            NaN  0.490991                 NaN  0.987346E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5043                 NaN            NaN  0.486010                 NaN  0.973463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5027                 NaN            NaN  0.487518                 NaN  0.975835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5105                 NaN            NaN  0.479850                 NaN  0.962256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4994                 NaN            NaN  0.490753                 NaN  0.980667E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4995                 NaN            NaN  0.490814                 NaN  0.969060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5041                 NaN            NaN  0.486242                 NaN  0.964138E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5034                 NaN            NaN  0.486921                 NaN  0.963623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5041                 NaN            NaN  0.486283                 NaN  0.958040E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5038                 NaN            NaN  0.486597                 NaN  0.957067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5042                 NaN            NaN  0.486302                 NaN  0.954383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5037                 NaN            NaN  0.486826                 NaN  0.951979E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5032                 NaN            NaN  0.487342                 NaN  0.949538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5030                 NaN            NaN  0.487518                 NaN  0.946905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5466                 NaN            NaN  0.444703                 NaN  0.871582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4581                 NaN            NaN  0.531694                 NaN  0.101855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.8450                 NaN            NaN   1.13345                 NaN  0.215738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.9993                 NaN            NaN            NaN            NaN  0.731295E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6528                 NaN            NaN  0.341463                 NaN  0.578540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4956                 NaN            NaN  0.494994                 NaN  0.940915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5002                 NaN            NaN  0.490568                 NaN  0.926899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4989                 NaN            NaN  0.491907                 NaN  0.923963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4957                 NaN            NaN  0.495040                 NaN  0.925521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4961                 NaN            NaN  0.494676                 NaN  0.922033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4915                 NaN            NaN  0.499219                 NaN  0.924069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4954                 NaN            NaN  0.495466                 NaN  0.914561E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4914                 NaN            NaN  0.499470                 NaN  0.916677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4903                 NaN            NaN  0.500594                 NaN  0.915417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4874                 NaN            NaN  0.503393                 NaN  0.915811E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4884                 NaN            NaN  0.502495                 NaN  0.907825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4858                 NaN            NaN  0.505108                 NaN  0.907538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4841                 NaN            NaN  0.506831                 NaN  0.908425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4836                 NaN            NaN  0.507355                 NaN  0.902902E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4808                 NaN            NaN  0.510167                 NaN  0.902804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4949                 NaN            NaN  0.496392                 NaN  0.874764E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4621                 NaN            NaN  0.528694                 NaN  0.925383E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4742                 NaN            NaN  0.516852                 NaN  0.899759E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4195                 NaN            NaN  0.570621                 NaN  0.990086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5494                 NaN            NaN  0.443005                 NaN  0.762051E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4498                 NaN            NaN  0.540982                 NaN  0.925289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4671                 NaN            NaN  0.523978                 NaN  0.891378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4675                 NaN            NaN  0.523651                 NaN  0.886457E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4645                 NaN            NaN  0.526672                 NaN  0.887043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4627                 NaN            NaN  0.528468                 NaN  0.884511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4607                 NaN            NaN  0.530493                 NaN  0.882696E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4578                 NaN            NaN  0.533393                 NaN  0.884127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4718                 NaN            NaN  0.519593                 NaN  0.855766E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4412                 NaN            NaN  0.549774                 NaN  0.901955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4538                 NaN            NaN  0.537393                 NaN  0.876515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4516                 NaN            NaN  0.539668                 NaN  0.873421E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4515                 NaN            NaN  0.539753                 NaN  0.870487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4473                 NaN            NaN  0.544011                 NaN  0.873161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4445                 NaN            NaN  0.546773                 NaN  0.873471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4473                 NaN            NaN  0.544096                 NaN  0.863303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4471                 NaN            NaN  0.544338                 NaN  0.860212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4401                 NaN            NaN  0.551172                 NaN  0.869380E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4424                 NaN            NaN  0.548989                 NaN  0.859645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4383                 NaN            NaN  0.553053                 NaN  0.862252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4397                 NaN            NaN  0.551697                 NaN  0.857029E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.6560                 NaN            NaN  0.338751                 NaN  0.524922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2181                 NaN            NaN  0.770012                 NaN  0.118757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.9732                 NaN            NaN  0.267633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        98.8983                 NaN            NaN   1.08474                 NaN  0.169980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4354                 NaN            NaN  0.556171                 NaN  0.847424E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4342                 NaN            NaN  0.557275                 NaN  0.847635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4312                 NaN            NaN  0.560300                 NaN  0.847857E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4338                 NaN            NaN  0.557803                 NaN  0.842004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.4327                 NaN            NaN  0.558907                 NaN  0.841531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.4283                 NaN            NaN  0.563275                 NaN  0.844209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3787                 NaN            NaN  0.612068                 NaN  0.919625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4900                 NaN            NaN  0.502484                 NaN  0.749379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4320                 NaN            NaN  0.559649                 NaN  0.834537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4285                 NaN            NaN  0.563190                 NaN  0.830519E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4384                 NaN            NaN  0.553280                 NaN  0.828350E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.4338                 NaN            NaN  0.557943                 NaN  0.827391E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4351                 NaN            NaN  0.556703                 NaN  0.823743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4355                 NaN            NaN  0.556244                 NaN  0.822155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2808                 NaN            NaN  0.708713                 NaN  0.105241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.5948                 NaN            NaN  0.399385                 NaN  0.586058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4387                 NaN            NaN  0.553200                 NaN  0.814721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.4413                 NaN            NaN  0.550593                 NaN  0.811242E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4427                 NaN            NaN  0.549168                 NaN  0.809375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4438                 NaN            NaN  0.548113                 NaN  0.806906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4401                 NaN            NaN  0.551826                 NaN  0.811065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4541                 NaN            NaN  0.538052                 NaN  0.789650E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4506                 NaN            NaN  0.541378                 NaN  0.797190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4521                 NaN            NaN  0.539979                 NaN  0.794338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4546                 NaN            NaN  0.537483                 NaN  0.793108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4584                 NaN            NaN  0.533749                 NaN  0.786750E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4603                 NaN            NaN  0.531886                 NaN  0.784775E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.0372                 NaN            NaN  0.267360                 NaN            NaN  0.695475                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.7501                 NaN            NaN  0.786226E-001            NaN            NaN   1.17125                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7704                 NaN            NaN  0.756680E-001            NaN            NaN   1.15392                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7915                 NaN            NaN  0.730481E-001            NaN            NaN   1.13541                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.8130                 NaN            NaN  0.713488E-001            NaN            NaN   1.11566                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8311                 NaN            NaN  0.676757E-001            NaN            NaN   1.10122                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8547                 NaN            NaN  0.661794E-001            NaN            NaN   1.07911                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8716                 NaN            NaN  0.627598E-001            NaN            NaN   1.06564                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8895                 NaN            NaN  0.601259E-001            NaN            NaN   1.05035                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.9074                 NaN            NaN  0.570551E-001            NaN            NaN   1.03555                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.9237                 NaN            NaN  0.543343E-001            NaN            NaN   1.02196                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9382                 NaN            NaN  0.511404E-001            NaN            NaN   1.01061                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9613                 NaN            NaN  0.504472E-001            NaN            NaN  0.988256                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9729                 NaN            NaN  0.466150E-001            NaN            NaN  0.980489                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9883                 NaN            NaN  0.447785E-001            NaN            NaN  0.966966                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.0046                 NaN            NaN  0.435849E-001            NaN            NaN  0.951776                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.0181                 NaN            NaN  0.409529E-001            NaN            NaN  0.940920                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.0358                 NaN            NaN  0.392251E-001            NaN            NaN  0.924960                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.0456                 NaN            NaN  0.341334E-001            NaN            NaN  0.920222                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0621                 NaN            NaN  0.354951E-001            NaN            NaN  0.902454                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0703                 NaN            NaN  0.296775E-001            NaN            NaN  0.899976                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0870                 NaN            NaN  0.284204E-001            NaN            NaN  0.884536                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0965                 NaN            NaN  0.184058E-001            NaN            NaN  0.885046                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.1075                 NaN            NaN  0.295242E-001            NaN            NaN  0.862928                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.1223                 NaN            NaN  0.221488E-001            NaN            NaN  0.855529                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1347                 NaN            NaN  0.216299E-001            NaN            NaN  0.843718                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.1416                 NaN            NaN  0.160769E-001            NaN            NaN  0.842278                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.1557                 NaN            NaN  0.178267E-001            NaN            NaN  0.826455                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.1670                 NaN            NaN  0.122970E-001            NaN            NaN  0.820655                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.1742                 NaN            NaN  0.108943E-001            NaN            NaN  0.814863                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.1858                 NaN            NaN  0.964243E-002            NaN            NaN  0.804581                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.1908                 NaN            NaN  0.194149E-002            NaN            NaN  0.807245                 NaN            NaN            NaN            NaN            NaN            NaN
