|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/K22/K22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.4246       0.575448                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3699       0.630132                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3152       0.684831                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2605       0.739545                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2057       0.794273                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1510       0.849016                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0962       0.903773                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.0415       0.958545                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.9867        1.01333                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.7700        1.22998                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.5533        1.44674                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.3364        1.66360                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.1194        1.88055                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.9024        2.09761                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.6852        2.31478                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.4680        2.53204                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.2506        2.74940                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.7653        3.23469                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.2796        3.72037                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.7936        4.20644                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.3071        4.69290                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.7336        5.26638                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.1418        5.85659       0.164314E-002            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        93.5237        6.46445       0.118069E-001            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.9051        7.07291       0.219812E-001            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.2789        7.68689       0.342230E-001            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        91.6520        8.30149       0.464777E-001            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        91.0246        8.91669       0.587452E-001            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        90.3965        9.53250       0.710255E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        89.7678        10.1489       0.833185E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        89.1384        10.7659       0.956241E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        88.5085        11.3836       0.107942                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        87.8780        12.0018       0.120273                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        87.2821        12.5864       0.131457                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        86.6857        13.1716       0.142651                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        86.0887        13.7574       0.153857                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        85.4912        14.3437       0.165073                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        84.8932        14.9305       0.176300                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        84.2946        15.5178       0.187538                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        83.6955        16.1057       0.198787                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        83.0958        16.6941       0.210046                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        82.5375        17.2422       0.220304                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        81.9787        17.7907       0.230571                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        81.4194        18.3397       0.240847                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        80.8597        18.8892       0.251132                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        80.2995        19.4391       0.261426                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        79.7389        19.9894       0.271729                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        79.1778        20.5402       0.282042                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        78.6162        21.0914       0.292363                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        78.0884        21.6097       0.301854                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        77.5603        22.1284       0.311352                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        77.0317        22.6474       0.320859                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        76.5027        23.1669       0.330373                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        75.9734        23.6867       0.339894                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        75.4436        24.2070       0.349424                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        74.9135        24.7276       0.358960                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        74.3829        25.2486       0.368505                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        73.8807        25.7420       0.377289                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        73.3781        26.2358       0.386080                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        72.8751        26.7300       0.394878                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        72.3719        27.2245       0.403682                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        71.8682        27.7193       0.412492                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        71.3643        28.2144       0.421309                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        70.8600        28.7099       0.430132                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        70.3554        29.2057       0.438961                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        69.8740        29.6789       0.447120                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        69.3923        30.1524       0.455283                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        68.9104        30.6262       0.463452                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        68.4281        31.1002       0.471627                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        67.9456        31.5746       0.479806                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        67.4628        32.0492       0.487991                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        66.9797        32.5241       0.496182                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        66.4963        32.9993       0.504377                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        66.0320        33.4560       0.512005                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        65.5674        33.9130       0.519637                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        65.1025        34.3702       0.527274                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        64.6374        34.8277       0.534915                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        64.1721        35.2854       0.542561                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        63.7065        35.7433       0.550211                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        63.2407        36.2015       0.557865                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        62.7746        36.6599       0.565524                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        62.3284        37.0989       0.572697                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        61.8820        37.5381       0.579874                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        61.4354        37.9776       0.587055                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        60.9885        38.4172       0.594239                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        60.5415        38.8571       0.601427                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        60.0943        39.2971       0.608618                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        59.6469        39.7373       0.615813                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        59.1993        40.1777       0.623011                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        58.7719        40.5984       0.629746                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        58.3443        41.0193       0.636484                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        57.9165        41.4403       0.643225                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        57.4886        41.8615       0.649968                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        57.0605        42.2828       0.656714                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        56.6323        42.7043       0.663463                 NaN            NaN            NaN            NaN            NaN
