|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1628.21        2500.00        99.0357                 NaN  0.901186       0.630885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00        98.9498                 NaN  0.977317       0.728622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00        98.9460                 NaN  0.912913       0.141061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        98.9569                 NaN  0.904595       0.138480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00        98.9684                 NaN  0.894264       0.137356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00        98.9777                 NaN  0.886085       0.136247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00        98.9915                 NaN  0.875378       0.133120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00        99.0003                 NaN  0.867856       0.131856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00        99.0117                 NaN  0.857829       0.130470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.0204                 NaN  0.850997       0.128579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        96.4359       0.711269E-001   3.01484       0.478128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00       100.0000                 NaN            NaN  0.114205E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.7871                 NaN  0.183498       0.294068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00        99.0717                 NaN  0.808341       0.119914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00        99.0785                 NaN  0.805477       0.116002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00        99.0788                 NaN  0.799689       0.121465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.1053                 NaN  0.780455       0.114273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00        99.1054                 NaN  0.780855       0.113735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00        99.1091                 NaN  0.779529       0.111374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00        99.1260                 NaN  0.764443       0.109573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00        99.3490                 NaN  0.567117       0.838989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00        98.9197                 NaN  0.945214       0.135054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00        99.1448                 NaN  0.749932       0.105273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00        99.1505                 NaN  0.744698       0.104809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
