|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1628.21        2500.00        99.1364                 NaN  0.808631       0.549762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00        99.0596                 NaN  0.876902       0.634764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00        99.0582                 NaN  0.818914       0.122858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        99.0681                 NaN  0.811296       0.120576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00        99.0787                 NaN  0.801801       0.119535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00        99.0873                 NaN  0.794159       0.118522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00        99.0998                 NaN  0.784460       0.115753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00        99.1079                 NaN  0.777519       0.114615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00        99.1183                 NaN  0.768313       0.113366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.1264                 NaN  0.761961       0.111646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        96.8044       0.731500E-001   2.70517       0.417308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00       100.0000                 NaN            NaN  0.987844E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.8105                 NaN  0.164029       0.254788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00        99.1732                 NaN  0.722847       0.103904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00        99.1794                 NaN  0.720155       0.100485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00        99.1802                 NaN  0.714670       0.105168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.2038                 NaN  0.697318       0.988661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00        99.2040                 NaN  0.697593       0.983921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00        99.2075                 NaN  0.696212       0.963138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00        99.2227                 NaN  0.682575       0.947000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00        99.4218                 NaN  0.505780       0.724583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00        99.0396                 NaN  0.843705       0.116655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00        99.2400                 NaN  0.669146       0.908775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00        99.2455                 NaN  0.664099       0.904029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00        99.2595                 NaN  0.651216       0.892895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00        99.2634                 NaN  0.648792       0.878444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00        98.8660                 NaN  0.998498       0.135538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00        99.6845                 NaN  0.277660       0.378870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.2829                 NaN  0.624924       0.921822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00        99.2881                 NaN  0.636687       0.751700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00        99.2971                 NaN  0.620562       0.823541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
