|6.6.6
Archiving\03_Data\eqLP/QFM_m5/ALH/ALH_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        95.7565       0.725698        3.51780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        95.7459       0.725849        3.52826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        95.7353       0.726001        3.53873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        95.7246       0.726152        3.54920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        95.7140       0.726303        3.55967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        95.7034       0.726454        3.57015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        95.6928       0.726605        3.58063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        95.6821       0.726756        3.59111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        95.6715       0.726907        3.60160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        95.6611       0.727056        3.61180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.6508       0.727205        3.62201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.6404       0.727354        3.63223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.6301       0.727503        3.64244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.6197       0.727652        3.65266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.6093       0.727801        3.66288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.5989       0.727950        3.67311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.5886       0.728099        3.68334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.5785       0.728246        3.69329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.5684       0.728393        3.70326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.5582       0.728540        3.71322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.5481       0.728687        3.72319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
