|6.6.6
Archiving\03_Data\DeqLP/QFM_m0.5/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.6810       0.318958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.6684       0.331591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.6558       0.344226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.6431       0.356864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.6305       0.369505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.6179       0.382148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.6052       0.394794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5926       0.407444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5799       0.420095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5558       0.444158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5318       0.468225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5077       0.492299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.4836       0.516378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4595       0.540463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4354       0.564553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.4114       0.588649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3872       0.612751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3210       0.679013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2547       0.745294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1884       0.811595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1221       0.877915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0557       0.944254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9894        1.01061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9230        1.07699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.8566        1.14339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.6843        1.31572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
