|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/K22/K22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.3923       0.607742                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3418       0.658239                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2913       0.708736                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2408       0.759232                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1903       0.809728                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1398       0.860224                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0893       0.910720                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.0388       0.961215                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.9883        1.01171                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.7923        1.20771                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.5963        1.40372                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.4003        1.59973                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.2043        1.79573                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.0083        1.99174                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.8123        2.18774                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.6163        2.38374                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.4203        2.57975                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.9577        3.04225                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.4952        3.50476                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.0327        3.96727                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.5702        4.42978                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.9747        5.01308       0.122576E-001            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.3610        5.60723       0.317521E-001            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        93.7146        6.23454       0.508317E-001            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        93.0682        6.86187       0.699117E-001            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.4076        7.50472       0.877247E-001            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        91.7469        8.14758       0.105538                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        91.0862        8.79046       0.123352                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        90.4255        9.43335       0.141166                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        89.7648        10.0763       0.158980                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        89.1040        10.7192       0.176795                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        88.4433        11.3621       0.194610                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        87.7825        12.0050       0.212425                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        87.1493        12.6221       0.228599                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        86.5160        13.2393       0.244772                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        85.8827        13.8564       0.260946                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        85.2493        14.4735       0.277120                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        84.6160        15.0907       0.293295                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        83.9826        15.7079       0.309470                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        83.3493        16.3251       0.325646                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        82.7159        16.9423       0.341821                 NaN            NaN            NaN            NaN            NaN
