|6.6.6
Archiving\03_Data\DfracLP/QFM_m1.25/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        500.000        99.9765       0.235317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.9765       0.235317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.9765       0.235316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.9765       0.235315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.9765       0.235315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.9765       0.235314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.9765       0.235313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.9765       0.235313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.9765       0.235312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.9765       0.235312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.9765       0.235311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.9765       0.235310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.9765       0.235310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.9765       0.235309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.5598       0.435979E-002  0.435862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.8007                 NaN  0.199283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3039                 NaN  0.696116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3056                 NaN  0.694434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3109                 NaN  0.689067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3126                 NaN  0.687372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.6522                 NaN   1.34782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3302                 NaN  0.669786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3343                 NaN  0.665650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3389                 NaN  0.661071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3458                 NaN  0.654174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3475                 NaN  0.652517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3525                 NaN  0.647532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3467                 NaN  0.646577       0.667745E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3670                 NaN  0.632975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3500                 NaN  0.649988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4236                 NaN  0.569275       0.712614E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2058                 NaN  0.778223       0.159812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4635                 NaN  0.521916       0.145522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3651                 NaN  0.620266       0.146064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3663                 NaN  0.619041       0.146187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3693                 NaN  0.616073       0.146235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3739                 NaN  0.611601       0.144750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3748                 NaN  0.610760       0.144799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3762                 NaN  0.609257       0.145082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.8611                 NaN  0.136998       0.193244E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        98.9027                 NaN   1.07051       0.267469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3836                 NaN  0.602073       0.143521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3864                 NaN  0.599286       0.142969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3885                 NaN  0.597238       0.142634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.0787                 NaN  0.899688       0.216149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4910                 NaN  0.496701       0.122684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6543                 NaN  0.338134       0.758211E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3396                 NaN  0.644980       0.153810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3992                 NaN  0.586843       0.139890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3961                 NaN  0.589843       0.140869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3967                 NaN  0.589287       0.140325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3974                 NaN  0.588606       0.140304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3983                 NaN  0.587671       0.139910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2237                 NaN  0.758043       0.182408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5731                 NaN  0.417163       0.974938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3935                 NaN  0.592440       0.140682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4030                 NaN  0.583222       0.137600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3227                 NaN  0.661480       0.157829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4757                 NaN  0.512388       0.119446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3982                 NaN  0.588039       0.138079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3974                 NaN  0.588781       0.137896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3965                 NaN  0.589711       0.137885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5088                 NaN  0.479949       0.112849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.2813                 NaN  0.702518       0.162047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3912                 NaN  0.594989       0.137697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3941                 NaN  0.592231       0.136743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3917                 NaN  0.594624       0.136537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3874                 NaN  0.598883       0.137169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3882                 NaN  0.598193       0.135929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3854                 NaN  0.600922       0.136366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3842                 NaN  0.602240       0.136048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5370                 NaN  0.455787       0.724717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.2208                 NaN  0.759245       0.199860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3779                 NaN  0.608592       0.135475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3742                 NaN  0.612210       0.135559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3695                 NaN  0.616915       0.135829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3700                 NaN  0.616489       0.135087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3654                 NaN  0.621056       0.135303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3627                 NaN  0.623763       0.135243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3570                 NaN  0.629476       0.135511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3561                 NaN  0.630400       0.134887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3518                 NaN  0.634694       0.134802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4139                 NaN  0.573927       0.121621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.2803                 NaN  0.704886       0.148503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3423                 NaN  0.644287       0.134539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3361                 NaN  0.650428       0.134951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
