|6.6.6
Archiving\03_Data\DfracLP/QFM_m1.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        500.000        99.9914       0.855963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.9914       0.855987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.9914       0.856012E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.9914       0.856037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.9914       0.856062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.9914       0.856087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.9914       0.856112E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.9914       0.856137E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.9914       0.856163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.9914       0.856188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.9914       0.856213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.9914       0.856239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.9914       0.856264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.9914       0.856290E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.5980       0.158702E-002  0.400370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.8124                 NaN  0.187584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3447                 NaN  0.655322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3464                 NaN  0.653552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3516                 NaN  0.648357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3535                 NaN  0.646511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.7327                 NaN   1.26733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3706                 NaN  0.629365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3747                 NaN  0.625257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3793                 NaN  0.620720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3860                 NaN  0.614044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3876                 NaN  0.612396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3925                 NaN  0.607488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3890                 NaN  0.606461       0.458147E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4066                 NaN  0.593425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3910                 NaN  0.608983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4618                 NaN  0.533315       0.488441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2604                 NaN  0.728671       0.109530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.5015                 NaN  0.488505       0.996736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4096                 NaN  0.580366       0.100029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4111                 NaN  0.578890       0.100074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4140                 NaN  0.575952       0.100095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4186                 NaN  0.571510       0.990126E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4197                 NaN  0.570444       0.989818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4213                 NaN  0.568801       0.991402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.8709                 NaN  0.127792       0.131995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        98.9829                 NaN  0.998806       0.182700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4289                 NaN  0.561346       0.979919E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4318                 NaN  0.558483       0.975543E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4340                 NaN  0.556312       0.972940E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1474                 NaN  0.837851       0.147461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5298                 NaN  0.461889       0.835066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6803                 NaN  0.314515       0.516334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3899                 NaN  0.599608       0.104720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4452                 NaN  0.545306       0.952179E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4426                 NaN  0.547856       0.958437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4434                 NaN  0.547030       0.954293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4443                 NaN  0.546146       0.953761E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4455                 NaN  0.545024       0.950711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2850                 NaN  0.702562       0.123938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6069                 NaN  0.386432       0.661935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4420                 NaN  0.548446       0.954269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4510                 NaN  0.539713       0.933428E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3774                 NaN  0.611915       0.107061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5183                 NaN  0.473601       0.809482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4474                 NaN  0.543264       0.935301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4470                 NaN  0.543645       0.933751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4465                 NaN  0.544190       0.933318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5498                 NaN  0.442566       0.763569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3414                 NaN  0.647614       0.109584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4427                 NaN  0.548005       0.930632E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4453                 NaN  0.545455       0.923963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4437                 NaN  0.547088       0.921990E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4400                 NaN  0.550740       0.925701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4412                 NaN  0.549609       0.916780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4389                 NaN  0.551896       0.919754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4381                 NaN  0.552761       0.917075E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5771                 NaN  0.417988       0.488141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.2906                 NaN  0.695941       0.134620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4333                 NaN  0.557564       0.911846E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4305                 NaN  0.560420       0.912063E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4266                 NaN  0.564304       0.913232E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4273                 NaN  0.563642       0.908055E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4235                 NaN  0.567377       0.909009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4214                 NaN  0.569561       0.908454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4167                 NaN  0.574201       0.909690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4162                 NaN  0.574765       0.904867E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4128                 NaN  0.578190       0.903745E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4692                 NaN  0.522646       0.815197E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3484                 NaN  0.641616       0.995536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4052                 NaN  0.585806       0.900908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4002                 NaN  0.590780       0.903181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3983                 NaN  0.592658       0.899638E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3942                 NaN  0.596827       0.899503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3910                 NaN  0.599936       0.902539E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3894                 NaN  0.601612       0.895219E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4029                 NaN  0.588383       0.870180E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3573                 NaN  0.633377       0.933032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3777                 NaN  0.613370       0.893914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3717                 NaN  0.619355       0.896196E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3722                 NaN  0.618907       0.891186E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3605                 NaN  0.630490       0.903854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3585                 NaN  0.632525       0.897680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3589                 NaN  0.632216       0.892233E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4044                 NaN  0.587349       0.823498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2962                 NaN  0.694163       0.966800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3466                 NaN  0.644500       0.892065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3418                 NaN  0.649254       0.893996E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3416                 NaN  0.649557       0.889054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3313                 NaN  0.659762       0.897601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3316                 NaN  0.659483       0.893304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3273                 NaN  0.663770       0.892548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3636                 NaN  0.628015       0.838582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2778                 NaN  0.712745       0.946420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
