|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        93.5486        3.97470        2.47669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.8341       0.620013E-001  0.103857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.7137       0.480056       0.806202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2811       0.450474       0.268408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2819       0.450373       0.267743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2926       0.263219       0.444223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2953       0.262230       0.442489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3037       0.259275       0.437019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2891       0.264423       0.446443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3260       0.250378       0.423658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3153       0.254782       0.429964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3198       0.252649       0.427588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.3243       0.424966       0.250755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.3263       0.420919       0.251762                 NaN  0.100432E-002            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.3348       0.245980       0.419212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.3370       0.417618       0.245369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        98.6167       0.539485       0.526170                 NaN            NaN  0.317682                 NaN            NaN            NaN            NaN
  1432.67        500.000        98.0486       0.750017       0.589995                 NaN            NaN  0.611374                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.9847       0.610023       0.773715                 NaN            NaN  0.631541                 NaN            NaN            NaN            NaN
  1430.40        500.000        98.0177       0.760916       0.599881                 NaN            NaN  0.621502                 NaN            NaN            NaN            NaN
  1429.27        500.000        98.0542       0.745449       0.590291                 NaN            NaN  0.610015                 NaN            NaN            NaN            NaN
  1428.13        500.000        98.0803       0.582389       0.735052                 NaN            NaN  0.602227                 NaN            NaN            NaN            NaN
  1427.00        500.000        98.1248       0.569933       0.717486                 NaN            NaN  0.587790                 NaN            NaN            NaN            NaN
  1425.87        500.000        98.1486       0.563181       0.707638                 NaN            NaN  0.580532                 NaN            NaN            NaN            NaN
  1424.74        500.000        98.1778       0.696051       0.554709                 NaN            NaN  0.571451                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.2071       0.684080       0.546502                 NaN            NaN  0.562344                 NaN            NaN            NaN            NaN
  1422.47        500.000        99.9901       0.628083E-002            NaN            NaN            NaN  0.361537E-002            NaN            NaN            NaN            NaN
  1421.34        500.000        96.5180        1.32500        1.06588                 NaN            NaN   1.09112                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.2894       0.522638       0.651532                 NaN            NaN  0.536466                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.3155       0.515236       0.641055                 NaN            NaN  0.528160                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.3391       0.508388       0.631516                 NaN            NaN  0.521044                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.3663       0.500259       0.621251                 NaN            NaN  0.512146                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.3887       0.612398       0.493660                 NaN            NaN  0.505235                 NaN            NaN            NaN            NaN
  1414.54        500.000        98.4122       0.603178       0.486747                 NaN            NaN  0.497848                 NaN            NaN            NaN            NaN
  1413.41        500.000        98.4345       0.479868       0.594663                 NaN            NaN  0.490943                 NaN            NaN            NaN            NaN
