|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        92.6233        4.52548        2.85120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.8085       0.721014E-001  0.119412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.5166       0.557578       0.925870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1699       0.517964       0.312166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1704       0.518031       0.311544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1823       0.306508       0.511159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1852       0.305431       0.509344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1946       0.302148       0.503248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1774       0.308298       0.514302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2196       0.292113       0.488287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2069       0.297388       0.495671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2118       0.295040       0.493172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2167       0.490307       0.292972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2183       0.485849       0.294323                 NaN  0.154131E-002            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2282       0.287716       0.484080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2305       0.482415       0.287130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        98.4583       0.623096       0.615793                 NaN            NaN  0.302789                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.8579       0.878046       0.681562                 NaN            NaN  0.582521                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.7869       0.705028       0.906375                 NaN            NaN  0.601704                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.8221       0.892079       0.693701                 NaN            NaN  0.592170                 NaN            NaN            NaN            NaN
  1429.27        500.000        97.8612       0.874581       0.682956                 NaN            NaN  0.581261                 NaN            NaN            NaN            NaN
  1428.13        500.000        97.8890       0.674144       0.862954                 NaN            NaN  0.573874                 NaN            NaN            NaN            NaN
  1427.00        500.000        97.9367       0.660142       0.843036                 NaN            NaN  0.560163                 NaN            NaN            NaN            NaN
  1425.87        500.000        97.9619       0.652687       0.832092                 NaN            NaN  0.553285                 NaN            NaN            NaN            NaN
  1424.74        500.000        97.9930       0.819082       0.643205                 NaN            NaN  0.544677                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.0243       0.805608       0.634075                 NaN            NaN  0.536045                 NaN            NaN            NaN            NaN
  1422.47        500.000        99.9891       0.741290E-002            NaN            NaN            NaN  0.345253E-002            NaN            NaN            NaN            NaN
  1421.34        500.000        96.1658        1.55991        1.23587                 NaN            NaN   1.03841                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.1120       0.607459       0.769042                 NaN            NaN  0.511539                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.1398       0.599213       0.757259                 NaN            NaN  0.503678                 NaN            NaN            NaN            NaN
  1417.94        500.000        98.1649       0.591583       0.746545                 NaN            NaN  0.496951                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.1940       0.582476       0.734972                 NaN            NaN  0.488528                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.2177       0.725099       0.575183                 NaN            NaN  0.481999                 NaN            NaN            NaN            NaN
  1414.54        500.000        98.2428       0.714717       0.567463                 NaN            NaN  0.475018                 NaN            NaN            NaN            NaN
  1413.41        500.000        98.2666       0.559781       0.705137                 NaN            NaN  0.468497                 NaN            NaN            NaN            NaN
  1412.28        500.000        98.2898       0.552733       0.695463                 NaN            NaN  0.462034                 NaN            NaN            NaN            NaN
