|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1519.23        500.000        99.9817       0.182654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.93        500.000        99.6221       0.887436E-001  0.289109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.63        500.000        99.5150       0.872203E-002  0.476323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.33        500.000        99.5167       0.810266E-002  0.475213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.02        500.000        99.5200       0.788782E-002  0.472115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        500.000        99.5211       0.657983E-002  0.472342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.42        500.000        99.9720       0.608131E-005  0.279549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        500.000        99.0857       0.143402E-001  0.899914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.82        500.000        99.5327       0.759736E-002  0.459744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        500.000        99.5344       0.539606E-002  0.460169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.22        500.000        99.5373       0.516959E-002  0.457577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.92        500.000        99.5392       0.394617E-002  0.456811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.61        500.000        99.5425       0.408854E-002  0.453406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        500.000        99.5444       0.306597E-002  0.452559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        500.000        99.5478       0.393274E-002  0.448262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        500.000        99.5500       0.135321E-002  0.448661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.41        500.000        99.5527       0.219483E-002  0.445092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        500.000        99.5544                 NaN  0.445574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.81        500.000        99.5631       0.678966E-001  0.368984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        500.000        99.5656                 NaN  0.434378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000        99.5625                 NaN  0.437476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000        99.5634                 NaN  0.436583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.60        500.000        99.5665                 NaN  0.433522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.5680                 NaN  0.431999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.00        500.000        99.5442       0.980195E-003  0.454786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.8447       0.736997E-001  0.815529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.40        500.000        99.8052       0.199391E-001  0.174908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.1179                 NaN  0.882073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        500.000        99.5783                 NaN  0.421717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.5818                 NaN  0.418186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.19        500.000        99.5829                 NaN  0.417145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        500.000        99.5850                 NaN  0.414977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.59        500.000        99.5516                 NaN  0.448418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.29        500.000        99.6224       0.867520E-005  0.377552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.98        500.000        99.5895                 NaN  0.410521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.5901                 NaN  0.409899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.38        500.000        99.5945                 NaN  0.405496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.08        500.000        99.5057                 NaN            NaN  0.494341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000        99.7590                 NaN  0.241010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
