|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm            hed           
  1592.95        500.000       0.103977E-001   99.4776       0.512039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000                 NaN   99.1305       0.866144       0.331301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000                 NaN   99.1425       0.804220       0.533079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000                 NaN   99.1470       0.800655       0.523578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000                 NaN   99.1633       0.785577       0.511144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000                 NaN   99.1677       0.783170       0.491305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000                 NaN   99.1762       0.775528       0.482615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000                 NaN   99.1831       0.769902       0.469586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000                 NaN   99.1952       0.757200       0.476280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000                 NaN   99.1997       0.751478       0.488025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000                 NaN   99.2122       0.743638       0.441526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000                 NaN   99.2134       0.744646       0.419573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000                 NaN   99.2267       0.730465       0.428464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000                 NaN   99.2320       0.727164       0.408123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000                 NaN   99.2399       0.720049       0.400096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000                 NaN   99.2434       0.719309       0.373110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000                 NaN   99.2294       0.728369       0.422003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000                 NaN   99.2873       0.676356       0.363248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000                 NaN   99.2645       0.699759       0.357716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000                 NaN   99.2766       0.688618       0.347943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000                 NaN   99.2796       0.685331       0.351133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000                 NaN   99.2860       0.681754       0.322103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000                 NaN   99.2935       0.674235       0.322326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000                 NaN   99.2988       0.669985       0.312319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000                 NaN   99.3055       0.663479       0.309774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000                 NaN   99.3113       0.658474       0.301852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000                 NaN   99.3191       0.652486       0.284564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000                 NaN   99.3214       0.649816       0.287707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000                 NaN   99.2775       0.693055       0.294946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000                 NaN   99.3889       0.587631       0.235076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000                 NaN   99.3396       0.635587       0.248246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN   99.3468       0.629772       0.234075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN   99.3503       0.627508       0.221472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000                 NaN   99.3559       0.622021       0.220390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000                 NaN   99.3612       0.618319       0.204447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000                 NaN   99.3641       0.615828       0.200934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000                 NaN   99.3721       0.610092       0.177753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000                 NaN   99.3751       0.606226       0.186746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000                 NaN   99.3820       0.600366       0.176531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN   99.3840       0.600818       0.151840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000                 NaN   99.3909       0.592584       0.164823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000                 NaN   99.3960       0.588564       0.154292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000                 NaN   99.3984       0.588988       0.125968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000                 NaN   98.7322        1.25330       0.145005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000                 NaN   99.9055       0.924133E-001  0.211712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN   99.5817       0.411058       0.722330E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000                 NaN   99.4159       0.575240       0.881331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000                 NaN   99.4199       0.572092       0.798231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000                 NaN   99.4241       0.567684       0.817835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN   99.5427       0.449172       0.811545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000                 NaN   99.3193       0.672935       0.781069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000                 NaN   99.4363       0.558723       0.498477E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000                 NaN   99.4397       0.555872       0.441742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.4427       0.554199       0.309817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000                 NaN   99.4475       0.548816       0.365545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000                 NaN   99.4512       0.547132       0.162280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000                 NaN   99.4531       0.542356       0.455858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN   99.4620       0.536805       0.118660E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000                 NaN   99.4611       0.527192       0.116717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.4607       0.539250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000                 NaN   99.4753       0.522289       0.242736E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000                 NaN   99.4767       0.481460       0.418536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000                 NaN   99.4761       0.523945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000                 NaN   99.4776       0.522422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000                 NaN   99.4809       0.519067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
