|6.6.6
Archiving\03_Data\eqfrac/QFM/KHA22/KHA22_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         Sp(TH)         ne             lc             ilm           
  1580.13        2500.00        99.8250       0.685459E-001  0.106486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        2500.00        99.7860       0.193490       0.205134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        2500.00        99.0098       0.898128       0.921051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00        99.4045       0.539974       0.555100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        2500.00        99.4035       0.542008       0.544544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.4846       0.467694       0.477477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        2500.00        99.3081       0.637806       0.541422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00        99.4808       0.459110       0.601367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        2500.00        99.4285       0.521289       0.501620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00        99.4253       0.526633       0.480365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        2500.00        99.4403       0.509872       0.498543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        2500.00        99.4524       0.499427       0.481878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        2500.00        99.4419       0.508265       0.498112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.8919       0.989813E-001  0.916690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        2500.00        99.0272       0.889287       0.834917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        2500.00        99.4633       0.489817       0.468918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        2500.00        99.4701       0.484486       0.454334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00        99.4708       0.484618       0.446187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        2500.00        99.4760       0.480416       0.435503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00        99.4136       0.538395       0.480159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        2500.00        99.5504       0.412541       0.370141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.4882       0.469756       0.420293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        2500.00        99.4913       0.467820       0.408795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        2500.00        99.4969       0.462395       0.407265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        2500.00        99.4993       0.461325       0.393371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00        99.5022       0.458843       0.389832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        2500.00        99.5093       0.452690       0.379646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        99.4359       0.522377       0.417458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        2500.00        99.5120       0.447479       0.405477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.8470       0.141231       0.117525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        2500.00        99.2713       0.675038       0.536828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        2500.00        99.5248       0.440523       0.346872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        2500.00        99.3419       0.646743       0.113576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00        99.7185       0.227784       0.537285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00        99.5347       0.432150       0.331915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00        99.5386       0.429954       0.314205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.5414       0.427344       0.312125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00        99.5437       0.434675       0.216718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        2500.00        99.5438       0.416724       0.395123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00        99.5538       0.417372       0.287784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00        99.5060       0.462192       0.318338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00        99.6057       0.369341       0.249962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00        99.5522       0.424060       0.237521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00        99.5703       0.397404       0.322651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00        99.5650       0.410540       0.244191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00        99.5660       0.409649       0.243920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00        99.5687       0.407927       0.234020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00        99.5728       0.404167       0.230632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00        99.5762       0.400647       0.231103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.5774       0.400228       0.224022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00        99.9761                 NaN  0.238772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00        99.1871       0.794622       0.182652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00        99.5848       0.395377       0.197887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00        99.5873       0.391921       0.207828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00        99.5903       0.391592       0.181505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00        99.5915       0.390959       0.175805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00        99.5899       0.394285       0.158582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00        99.5978       0.385676       0.165133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00        99.5988       0.385253       0.159537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00        99.5994       0.386292       0.143464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00        99.4904       0.492413       0.171798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00        99.8833       0.112363       0.430851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00        99.8958       0.100334       0.382430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00        99.1495       0.824649       0.258188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.6095       0.379159       0.113895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00        99.6113       0.377792       0.108921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00        99.6117       0.379021       0.926469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00        99.6151       0.376142       0.878032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00        99.6162       0.375633       0.813895E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00        99.3836       0.280781       0.300709E-001  0.305502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00        99.2579       0.224483       0.423542E-001  0.475233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00        99.2629       0.224201       0.410395E-001  0.471849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00        99.2723       0.220456       0.405767E-001  0.466661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00        99.2781       0.218847       0.397595E-001  0.463275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00        99.2847       0.217193       0.388982E-001  0.459160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00        99.2913       0.214798       0.384426E-001  0.455490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00        99.2970       0.213928       0.371881E-001  0.451915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00        99.5002                 NaN  0.423038E-001  0.263275       0.194242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.72        2500.00        99.0871       0.299426       0.110955E-001  0.602330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.27        2500.00        99.3149       0.210386       0.340587E-001  0.440693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.81        2500.00        99.3216       0.208198       0.334926E-001  0.436744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.36        2500.00        99.3268       0.207330       0.324712E-001  0.433442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.91        2500.00        99.3216       0.154227       0.252182E-001  0.786272E-001  0.420345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
