|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00        99.8471       0.143355       0.959425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.2413       0.655120       0.101997       0.163138E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00        99.2469       0.660192       0.928830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.2525       0.653603       0.939071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00        99.2587       0.647966       0.933382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.2643       0.644315       0.914209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00        99.2731       0.636810       0.900653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.0591       0.823289       0.117633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00        99.4754       0.460208       0.643891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00        99.3196       0.597357       0.830574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00        99.2956       0.619204       0.852010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.2988       0.618654       0.825154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00        99.2908       0.622342       0.868364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.3346       0.584666       0.807123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00        99.3223       0.596370       0.812914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00        99.3239       0.594734       0.813494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00        99.3339       0.587726       0.783567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.3369       0.584913       0.781833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00        99.3423       0.580862       0.768495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
